names,edhrec
Aerial Modification,482
Aeronaut Admiral,715
Aether Inspector,125
Aethergeode Miner,268
Airdrop Aeronauts,96
Alley Evasion,169
Audacious Infiltrator,92
Bastion Enforcer,37
Call for Unity,1241
Caught in the Brights,289
Consulate Crackdown,1037
Conviction,855
Countless Gears Renegade,155
Dawnfeather Eagle,114
Deadeye Harpooner,344
Decommission,181
Deft Dismissal,18
Exquisite Archangel,1525
Felidar Guardian,6209
Ghirapur Osprey,12
Restoration Specialist,1904
Solemn Recruit,797
"Sram, Senior Edificer",7267
Sram's Expertise,1369
Thopter Arrest,385
Aether Swooper,194
Aethertide Whale,367
"Baral, Chief of Compliance",10477
Baral's Expertise,3385
Bastion Inventor,48
Disallow,21280
Dispersal Technician,19
Efficient Construction,4164
Hinterland Drake,14
Ice Over,160
Illusionist's Stratagem,2669
Leave in the Dust,116
Mechanized Production,5074
Metallic Rebuke,496
Quicksmith Spy,383
Reverse Engineer,1865
Salvage Scuttler,54
Shielded Aether Thief,263
Shipwreck Moray,65
Skyship Plunderer,530
Take into Custody,71
Trophy Mage,10596
Whir of Invention,12103
Wind-Kin Raiders,20
Aether Poisoner,176
Alley Strangler,35
Battle at the Bridge,513
Cruel Finality,39
Daring Demolition,89
Defiant Salvager,184
Fatal Push,2542
Fen Hauler,11
Foundry Hornet,44
Fourth Bridge Prowler,143
Gifted Aetherborn,3701
Glint-Sleeve Siphoner,532
Gonti's Machinations,476
Herald of Anguish,1348
Ironclad Revolutionary,33
Midnight Entourage,46
Night Market Aeronaut,19
Perilous Predicament,105
Renegade's Getaway,169
Resourceful Return,301
Secret Salvage,1168
Sly Requisitioner,369
Vengeful Rebel,82
"Yahenni, Undying Partisan",13915
Yahenni's Expertise,1858
Aether Chaser,144
Chandra's Revolution,128
Destructive Tampering,123
Embraal Gear-Smasher,51
Enraged Giant,33
Freejam Regent,121
Frontline Rebel,18
Gremlin Infestation,22
Hungry Flames,196
Indomitable Creativity,1048
Invigorated Rampage,1728
"Kari Zev, Skyship Raider",1771
Kari Zev's Expertise,2226
Lathnu Sailback,10
Lightning Runner,491
Pia's Revolution,1589
Precise Strike,35
Quicksmith Rebel,129
Ravenous Intruder,55
Reckless Racer,242
Release the Gremlins,1399
Scrapper Champion,102
Shock,2064
Siege Modification,555
Sweatworks Brawler,18
Wrangle,453
Aether Herder,88
Aetherstream Leopard,74
Aetherwind Basker,520
Aid from the Cowl,2219
Druid of the Cowl,2023
Greenbelt Rampager,286
Greenwheel Liberator,101
Heroic Intervention,26966
Hidden Herbalists,72
Highspire Infusion,95
Lifecraft Awakening,48
Lifecraft Cavalry,56
Lifecrafter's Gift,511
Maulfist Revolutionary,215
Monstrous Onslaught,563
Narnam Renegade,515
Natural Obsolescence,91
Peema Aether-Seer,238
Ridgescale Tusker,957
"Rishkar, Peema Renegade",9204
Rishkar's Expertise,21009
Scrounging Bandar,485
Silkweaver Elite,71
Unbridled Growth,906
Ajani Unyielding,4070
Dark Intimations,1574
Hidden Stockpile,2211
Maverick Thopterist,765
Oath of Ajani,2676
Outland Boar,47
Renegade Rallier,1436
Renegade Wheelsmith,799
Rogue Refiner,441
Spire Patrol,89
Tezzeret the Schemer,1156
Tezzeret's Touch,216
Weldfast Engineer,9
Winding Constrictor,6561
Aegis Automaton,99
Aethersphere Harvester,1042
Augmenting Automaton,18
Barricade Breaker,130
Cogwork Assembler,353
Consulate Dreadnought,848
Consulate Turret,263
Crackdown Construct,221
Daredevil Dragster,840
Filigree Crawler,66
Foundry Assembler,97
Gonti's Aether Heart,1119
Heart of Kiran,1308
Hope of Ghirapur,4142
Implement of Combustion,401
Implement of Examination,319
Implement of Ferocity,308
Implement of Improvement,366
Implement of Malice,156
Inspiring Statuary,3582
Irontread Crusher,419
Lifecrafter's Bestiary,18138
Merchant's Dockhand,521
Metallic Mimic,10141
Mobile Garrison,1453
Night Market Guard,46
Ornithopter,6563
Pacification Array,362
Paradox Engine,9164
Peacewalker Colossus,1090
Planar Bridge,5775
Prizefighter Construct,20
Renegade Map,2464
Reservoir Walker,107
Scrap Trawler,8573
Servo Schematic,474
Treasure Keeper,1989
Universal Solvent,524
Untethered Express,1401
Verdant Automaton,31
Walking Ballista,12667
Watchful Automaton,58
Welder Automaton,78
Spire of Industry,7307
"Ajani, Valiant Protector",546
Inspiring Roar,111
Ajani's Comrade,32
Ajani's Aid,82
"Tezzeret, Master of Metal",761
Tezzeret's Betrayal,81
Pendulum of Patterns,15
Tezzeret's Simulacrum,42
