names,edhrec
Ardent Plea,571
Aven Mimeomancer,438
Ethercaste Knight,423
Ethersworn Shieldmage,114
Fieldmist Borderpost,692
Filigree Angel,1290
Glassdust Hulk,172
Meddling Mage,481
Offering to Asha,49
Sanctum Plowbeast,424
Shield of the Righteous,81
Sovereigns of Lost Alara,2235
Stormcaller's Boon,85
Talon Trooper,23
Unbender Tine,494
Wall of Denial,3709
Architects of Will,282
Brainbite,54
Deny Reality,320
Etherium Abomination,12
Illusory Demon,3
Jhessian Zombies,583
Kathari Remnant,225
Lich Lord of Unx,2155
Mask of Riddles,822
Mind Funeral,1621
Mistvein Borderpost,783
Nemesis of Reason,1411
Soul Manipulation,1960
Soulquake,108
Time Sieve,2305
Vedalken Ghoul,70
Anathemancer,1004
Bituminous Blast,830
Breath of Malfegor,270
Deathbringer Thoctar,2244
Defiler of Souls,292
Demonic Dread,172
Demonspine Whip,97
Igneous Pouncer,260
Kathari Bomber,109
Lightning Reaver,524
Monstrous Carabid,140
Sanity Gnawers,23
Singe-Mind Ogre,39
Terminate,20951
Thought Hemorrhage,3
Veinfire Borderpost,609
Blitz Hellion,91
Bloodbraid Elf,2686
Colossal Might,277
Deadshot Minotaur,82
Dragon Broodmother,2725
Firewild Borderpost,580
Godtracker of Jund,41
Gorger Wurm,48
Mage Slayer,1973
Predatory Advantage,188
Rhox Brute,15
Spellbreaker Behemoth,2491
Valley Rannet,268
Vengeful Rebirth,354
Violent Outburst,203
Vithian Renegades,189
Behemoth Sledge,2556
Captured Sunlight,94
Dauntless Escort,3440
Enlisted Wurm,380
Grizzled Leotau,468
Knight of New Alara,967
Knotvine Paladin,251
Leonin Armorguard,52
Mycoid Shepherd,167
Pale Recluse,242
Qasali Pridemage,6114
Reborn Hope,495
Sigil Captain,985
Sigil of the Nayan Gods,366
Sigiled Behemoth,96
Wildfield Borderpost,469
Identity Crisis,192
Necromancer's Covenant,1311
Tainted Sigil,742
Vectis Dominator,25
Zealous Persecution,371
Cloven Casting,320
Double Negative,293
Magefire Wings,43
Skyclaw Thrash,331
Spellbound Dragon,668
Lord of Extinction,2477
Maelstrom Pulse,4301
Marrow Chomper,106
Morbid Bloom,374
Putrid Leech,60
Cerodon Yearling,98
Fight to the Death,239
Glory of Warfare,711
Intimidation Bolt,839
Stun Sniper,111
Lorescale Coatl,1968
Nulltread Gargantuan,40
Sages of the Anima,175
Vedalken Heretic,95
Winged Coatl,773
Enigma Sphinx,1827
Esper Sojourners,223
Etherwrought Page,166
Sen Triplets,542
Sphinx of the Steel Wind,1895
Drastic Revelation,53
Grixis Sojourners,63
Thraximundar,895
"Unscythe, Killer of Kings",331
Dragon Appeasement,82
Jund Sojourners,33
"Karrthus, Tyrant of Jund",1120
Lavalanche,2015
Madrush Cyclops,272
Gloryscale Viashino,104
Mayael's Aria,1378
Naya Sojourners,43
Retaliator Griffin,142
"Uril, the Miststalker",101
Bant Sojourners,102
Finest Hour,2531
Flurry of Wings,476
"Jenara, Asura of War",387
Wargate,3241
Maelstrom Nexus,2135
Arsenal Thresher,23
Esper Stormblade,72
Thopter Foundry,2597
Grixis Grimblade,103
Sewn-Eye Drake,13
Slave of Bolas,1496
Giant Ambush Beetle,26
Jund Hackblade,49
Sangrite Backlash,10
Marisi's Twinclaws,105
Naya Hushblade,78
Trace of Abundance,986
Bant Sureblade,72
Crystallization,92
Messenger Falcons,76
