names,edhrec
Angel of Sanctions,2965
Anointed Procession,19587
Anointer Priest,1593
Approach of the Second Sun,9827
Aven Mindcensor,14805
Binding Mummy,784
Cartouche of Solidarity,690
Cast Out,4981
Compulsory Rest,163
Devoted Crop-Mate,194
Djeru's Resolve,299
Fan Bearer,90
Forsake the Worldly,3513
Gideon of the Trials,2041
Gideon's Intervention,694
Glory-Bound Initiate,267
Gust Walker,47
Impeccable Timing,76
In Oketra's Name,109
Mighty Leap,277
Oketra the True,3176
Oketra's Attendant,304
Protection of the Hekma,97
Regal Caracal,2379
Renewed Faith,331
Rhet-Crop Spearmaster,22
Sacred Cat,1258
Seraph of the Suns,169
Sparring Mummy,55
Supply Caravan,17
Tah-Crop Elite,151
Those Who Serve,10
Time to Reflect,97
Trial of Solidarity,66
Trueheart Duelist,119
Unwavering Initiate,68
Vizier of Deferment,231
Vizier of Remedies,1280
Winged Shepherd,145
Ancient Crab,96
Angler Drake,92
As Foretold,5414
Aven Initiate,56
Cartouche of Knowledge,781
Censor,968
Compelling Argument,250
Cryptic Serpent,229
Curator of Mysteries,1999
Decision Paralysis,45
Drake Haven,1693
Floodwaters,71
Galestrike,96
Glyph Keeper,931
Hekma Sentinels,46
Hieroglyphic Illumination,1694
Illusory Wrappings,76
Kefnet the Mindful,3691
Labyrinth Guardian,45
Lay Claim,991
Naga Oracle,94
New Perspectives,1490
Open into Wonder,1450
Pull from Tomorrow,13275
River Serpent,241
Sacred Excavation,246
Scribe of the Mindful,538
Seeker of Insight,63
Shimmerscale Drake,122
Slither Blade,4180
Tah-Crop Skirmisher,39
Trial of Knowledge,775
Vizier of Many Faces,4766
Vizier of Tumbling Sands,2712
Winds of Rebuke,1727
Zenith Seeker,46
Archfiend of Ifnir,6342
Baleful Ammit,431
Blighted Bat,356
Bone Picker,300
Bontu the Glorified,2847
Cartouche of Ambition,611
Cruel Reality,1571
Cursed Minotaur,276
Dispossess,32
Doomed Dissenter,2860
Dread Wanderer,861
Dune Beetle,25
Faith of the Devoted,2380
Festering Mummy,825
Final Reward,224
Gravedigger,2695
Grim Strider,70
Horror of the Broken Lands,562
Lay Bare the Heart,131
"Liliana, Death's Majesty",6128
Liliana's Mastery,3517
Lord of the Accursed,5125
Miasmic Mummy,426
Nest of Scarabs,3921
Painful Lesson,985
Pitiless Vizier,148
Plague Belcher,3474
Ruthless Sniper,473
Scarab Feast,588
Shadow of the Grave,2113
Soulstinger,826
Splendid Agony,1084
Stir the Sands,366
Supernatural Stamina,1764
Trespasser's Curse,1916
Trial of Ambition,154
Unburden,184
Wander in Death,705
Wasteland Scorpion,225
Ahn-Crop Crasher,545
Battlefield Scavenger,53
Bloodlust Inciter,492
Bloodrage Brawler,371
Brute Strength,1640
By Force,6297
Cartouche of Zeal,429
Combat Celebrant,5978
Consuming Fervor,122
Deem Worthy,158
Desert Cerodon,200
Electrify,121
Emberhorn Minotaur,210
Flameblade Adept,169
Glorious End,493
Glorybringer,2276
Harsh Mentor,4982
Hazoret the Fervent,1302
Hazoret's Favor,359
Heart-Piercer Manticore,1054
Hyena Pack,11
Limits of Solidarity,267
Magma Spray,358
Manticore of the Gauntlet,38
Minotaur Sureshot,251
Nef-Crop Entangler,32
Nimble-Blade Khenra,53
Pathmaker Initiate,87
Pursue Glory,121
Soul-Scar Mage,1286
Sweltering Suns,2123
Thresher Lizard,11
Tormenting Voice,10544
Trial of Zeal,29
Trueheart Twins,66
Violent Impact,244
Warfire Javelineer,120
Benefaction of Rhonas,316
Bitterblade Warrior,58
Cartouche of Strength,997
Champion of Rhonas,1601
Channeler Initiate,2531
Colossapede,33
Crocodile of the Crossing,221
Defiant Greatmaw,545
Dissenter's Deliverance,299
Exemplar of Strength,313
Giant Spider,219
Gift of Paradise,2844
Hapatra's Mark,433
Harvest Season,6913
Haze of Pollen,525
Honored Hydra,851
Hooded Brawler,42
Initiate's Companion,320
Manglehorn,6579
Naga Vitalist,929
Oashra Cultivator,276
Ornery Kudu,68
Pouncing Cheetah,67
Prowling Serpopard,6803
Quarry Hauler,148
Rhonas the Indomitable,4375
Sandwurm Convergence,7518
Scaled Behemoth,124
Shed Weakness,60
Shefet Monitor,1183
Sixth Sense,1011
Spidery Grasp,143
Stinging Shot,291
Synchronized Strike,95
Trial of Strength,49
Vizier of the Menagerie,6750
Watchful Naga,66
Ahn-Crop Champion,297
Aven Wind Guide,1747
Bounty of the Luxa,2709
Decimator Beetle,949
Enigma Drake,1293
"Hapatra, Vizier of Poisons",1238
Honored Crop-Captain,827
Khenra Charioteer,1515
Merciless Javelineer,465
"Neheb, the Worthy",205
"Nissa, Steward of Elements",4610
"Samut, Voice of Dissent",3633
Shadowstorm Vizier,100
"Temmet, Vizier of Naktamun",218
Wayward Servant,1428
Weaver of Currents,934
Dusk,9696
Commit,8101
Never,2623
Insult,3423
Mouth,1081
Start,237
Reduce,101
Destined,363
Onward,573
