names,edhrec
Argivian Archaeologist,77
Argivian Blacksmith,4
Artifact Ward,22
Damping Field,38
Martyrs of Korlis,4
Reverse Polarity,6
Drafna's Restoration,136
Hurkyl's Recall,2408
Power Artifact,1595
Reconstruction,250
Sage of Lat-Nam,440
Transmute Artifact,2270
Artifact Possession,10
Gate to Phyrexia,573
Haunting Wind,28
Phyrexian Gremlins,7
Priest of Yawgmoth,157
Xenic Poltergeist,154
Yawgmoth Demon,9
Artifact Blast,77
Dwarven Weaponsmith,32
Goblin Artisans,62
Orcish Mechanics,7
Shatterstorm,635
Argothian Pixies,9
Argothian Treefolk,33
Citanul Druid,19
Crumble,63
Gaea's Avenger,25
Powerleech,24
Titania's Song,207
Amulet of Kroog,10
Armageddon Clock,147
Ashnod's Altar,41157
Ashnod's Battle Gear,9
Ashnod's Transmogrant,127
Battering Ram,29
Bronze Tablet,0
Candelabra of Tawnos,597
Clay Statue,16
Clockwork Avian,15
Colossus of Sardia,68
Coral Helm,3
Cursed Rack,123
Dragon Engine,22
Feldon's Cane,1189
Golgothian Sylex,1
Grapeshot Catapult,4
Ivory Tower,703
Jalum Tome,375
Mightstone,37
Millstone,321
Mishra's War Machine,19
Obelisk of Undoing,30
Onulet,5
Primal Clay,84
Rakalite,28
Rocket Launcher,58
Shapeshifter,28
Staff of Zegon,6
Su-Chi,158
Tablet of Epityr,5
Tawnos's Coffin,177
Tawnos's Wand,32
Tawnos's Weaponry,2
Tetravus,64
The Rack,367
Urza's Avenger,29
Urza's Chalice,29
Urza's Miter,12
Wall of Spears,54
Weakstone,23
Mishra's Workshop,1306
