names,edhrec
Angelfire Crusader,3
Coalition Flag,35
Coalition Honor Guard,65
Dega Disciple,7
Dega Sanctuary,88
Degavolver,10
Diversionary Tactics,132
Divine Light,49
Enlistment Officer,128
False Dawn,102
Gerrard Capashen,235
Haunted Angel,19
Helionaut,3
Manacles of Decay,1
Orim's Thunder,1504
Shield of Duty and Reason,159
Spectral Lynx,15
Standard Bearer,64
Ceta Disciple,15
Ceta Sanctuary,92
Cetavolver,8
Coastal Drake,3
Evasive Action,213
Ice Cave,199
Index,426
Jaded Response,98
Jilt,19
Living Airship,2
Reef Shaman,195
Shimmering Mirage,10
Tidal Courier,305
Unnatural Selection,627
Vodalian Mystic,75
Whirlpool Drake,753
Whirlpool Rider,1127
Whirlpool Warrior,3271
Dead Ringers,11
Desolation Angel,181
Foul Presence,6
Grave Defiler,215
Last Caress,7
Mind Extraction,42
Mournful Zombie,6
Necra Disciple,12
Necra Sanctuary,14
Necravolver,16
Phyrexian Arena,37473
Phyrexian Gargantua,420
Phyrexian Rager,1196
Planar Despair,13
Quagmire Druid,230
Suppress,12
Urborg Uprising,66
Zombie Boa,9
Bloodfire Colossus,451
Bloodfire Dwarf,123
Bloodfire Infusion,41
Bloodfire Kavu,28
Desolation Giant,461
Dwarven Landslide,101
Dwarven Patrol,24
Goblin Ringleader,2864
Illuminate,46
Kavu Glider,0
Minotaur Tactician,6
Raka Disciple,21
Raka Sanctuary,17
Rakavolver,10
Tahngarth's Glare,27
Tundra Kavu,5
Wild Research,1059
Ana Disciple,13
Ana Sanctuary,76
Anavolver,21
Bog Gnarr,0
Gaea's Balance,117
Glade Gnarr,4
Kavu Howler,10
Kavu Mauler,16
Lay of the Land,699
Penumbra Bobcat,99
Penumbra Kavu,20
Penumbra Wurm,393
Savage Gorilla,1
Strength of Night,13
Sylvan Messenger,1159
Symbiotic Deployment,143
Tranquil Path,42
Urborg Elf,396
Aether Mutation,141
Captain's Maneuver,87
Consume Strength,24
Cromat,143
Death Grasp,1564
Death Mutation,420
Ebony Treefolk,74
Fervent Charge,208
Flowstone Charger,7
Fungal Shambler,27
Gaea's Skyfolk,132
Gerrard's Verdict,139
Goblin Legionnaire,26
Goblin Trenches,68
Guided Passage,870
Jungle Barrier,1681
Last Stand,176
Lightning Angel,144
Llanowar Dead,235
Martyrs' Tomb,15
Minotaur Illusionist,19
Mystic Snake,7411
Overgrown Estate,27
Pernicious Deed,9310
Powerstone Minefield,204
Prophetic Bolt,1161
Putrid Warrior,29
Quicksilver Dagger,200
Razorfin Hunter,241
Soul Link,144
Spiritmonger,260
Squee's Embrace,231
Squee's Revenge,782
Suffocating Blast,188
Temporal Spring,119
Vindicate,11446
Yavimaya's Embrace,61
Fire,533
Illusion,7
Life,2186
Night,4
Order,307
Brass Herald,834
Dodecapod,18
Dragon Arch,1107
Emblazoned Golem,51
Legacy Weapon,1008
Mask of Intolerance,9
Battlefield Forge,17614
Caves of Koilos,22948
Llanowar Wastes,22966
Shivan Reef,21602
Yavimaya Coast,25507
