names,edhrec
Abu Ja'far,69
Army of Allah,13
Camel,29
Eye for an Eye,49
Jihad,18
King Suleiman,11
Moorish Cavalry,12
Piety,4
Repentant Blacksmith,6
Shahrazad,0
War Elephant,38
Dandân,35
Fishliver Oil,47
Flying Men,435
Giant Tortoise,26
Island Fish Jasconius,13
Merchant Ship,6
Old Man of the Sea,46
Serendib Djinn,10
Serendib Efreet,23
Sindbad,26
Unstable Mutation,91
Cuombajj Witches,105
El-Hajjâj,5
Erg Raiders,6
Guardian Beast,84
Hasran Ogress,6
Junún Efreet,2
Juzám Djinn,14
Khabál Ghoul,43
Oubliette,83
Sorceress Queen,278
Stone-Throwing Devils,12
Aladdin,132
Ali Baba,7
Ali from Cairo,27
Bird Maiden,7
Desert Nomads,5
Hurr Jackal,8
Kird Ape,111
Magnetic Mountain,98
Mijae Djinn,229
Rukh Egg,369
Ydwen Efreet,35
Cyclone,68
Desert Twister,1009
Drop of Honey,64
Erhnam Djinn,17
Ghazbán Ogre,10
Ifh-Bíff Efreet,29
Metamorphosis,96
Nafs Asp,28
Sandstorm,13
Singing Tree,26
Wyluli Wolf,71
Aladdin's Lamp,57
Aladdin's Ring,51
Bottle of Suleiman,76
Brass Man,38
City in a Bottle,14
Dancing Scimitar,45
Ebony Horse,67
Flying Carpet,37
Jandor's Ring,12
Jandor's Saddlebags,439
Jeweled Bird,0
Pyramids,7
Ring of Ma'rûf,4
Sandals of Abdallah,8
Bazaar of Baghdad,819
City of Brass,35830
Desert,619
Diamond Valley,330
Elephant Graveyard,76
Island of Wak-Wak,57
Library of Alexandria,1
Mountain,164066
Oasis,137
