names,edhrec
Angel of Glory's Rise,2051
Angel of Jubilation,3677
Angel's Mercy,121
Angelic Wall,1251
Archangel,83
"Avacyn, Angel of Hope",12166
Banishing Stroke,1083
Builder's Blessing,267
Call to Serve,139
Cathars' Crusade,16681
Cathedral Sanctifier,119
Cloudshift,5087
Commander's Authority,237
Cursebreak,129
Defang,105
Defy Death,818
Devout Chaplain,1172
Divine Deflection,160
Emancipation Angel,932
Entreat the Angels,4075
Farbog Explorer,14
Goldnight Commander,743
Goldnight Redeemer,247
Herald of War,2181
Holy Justiciar,11
Leap of Faith,14
Midnight Duelist,17
Midvast Protector,2
Moonlight Geist,7
Moorland Inquisitor,17
Nearheath Pilgrim,95
Restoration Angel,5991
Riders of Gavony,643
Seraph of Dawn,184
Silverblade Paladin,3547
Spectral Gateguards,22
Terminus,6932
Thraben Valiant,16
Voice of the Provinces,34
Zealous Strike,28
Alchemist's Apprentice,202
Amass the Components,300
Arcane Melee,1727
Captain of the Mists,379
Deadeye Navigator,16417
Devastation Tide,9046
Dreadwaters,312
Elgaud Shieldmate,285
Fettergeist,3
Fleeting Distraction,234
Galvanic Alchemist,121
Geist Snatch,178
Ghostform,262
Ghostly Flicker,10151
Ghostly Touch,105
Gryff Vanguard,40
Havengul Skaab,15
Infinite Reflection,640
Into the Void,86
Latch Seeker,191
Lone Revenant,57
Lunar Mystic,484
Mass Appeal,348
Mist Raven,278
Misthollow Griffin,881
Nephalia Smuggler,850
Outwit,66
Peel from Reality,270
Rotcrown Ghoul,35
Scrapskin Drake,43
Second Guess,49
Spectral Prison,14
Spirit Away,175
Stern Mentor,32
Stolen Goods,926
"Tamiyo, the Moon Sage",4925
Tandem Lookout,2482
Temporal Mastery,7131
Vanishment,223
Wingcrafter,1747
Appetite for Brains,145
Barter in Blood,1694
Blood Artist,26825
Bloodflow Connoisseur,1461
Butcher Ghoul,1654
Corpse Traders,71
Crypt Creeper,63
Dark Impostor,3355
Demonic Rising,118
Demonic Taskmaster,51
Demonlord of Ashmouth,267
Descent into Madness,167
Dread Slaver,341
Driver of the Dead,225
Essence Harvest,843
Evernight Shade,447
Exquisite Blood,8633
Ghoulflesh,9
Gloom Surgeon,11
Grave Exchange,52
Griselbrand,73
Harvester of Souls,11532
Homicidal Seclusion,184
Human Frailty,34
Hunted Ghoul,32
Killing Wave,2107
Maalfeld Twins,145
Marrow Bats,66
Mental Agony,18
Polluted Dead,88
Predator's Gambit,95
Renegade Demon,27
Searchlight Geist,11
Soulcage Fiend,187
Treacherous Pit-Dweller,127
Triumph of Cruelty,69
Undead Executioner,17
Unhallowed Pact,522
Aggravate,33
Archwing Dragon,495
Banners Raised,84
Battle Hymn,4611
Bonfire of the Damned,1633
Burn at the Stake,1982
Dangerous Wager,479
Dual Casting,677
Falkenrath Exterminator,600
Fervent Cathar,30
Gang of Devils,38
Guise of Fire,21
Hanweir Lancer,61
Havengul Vampire,276
Heirs of Stromkirk,116
Hound of Griselbrand,409
Kessig Malcontents,87
Kruin Striker,123
Lightning Mauler,460
Lightning Prowess,48
Malicious Intent,13
Malignus,2314
Pillar of Flame,175
Raging Poltergeist,9
Reforge the Soul,14271
Riot Ringleader,30
Rite of Ruin,119
Rush of Blood,390
Scalding Devil,46
Somberwald Vigilante,25
Stonewright,41
Thatcher Revolt,310
Thunderbolt,166
Thunderous Wrath,360
"Tibalt, the Fiend-Blooded",663
Tyrant of Discord,1489
Uncanny Speed,212
Vexing Devil,386
Vigilante Justice,261
Zealous Conscripts,8933
Abundant Growth,1972
Blessings of Nature,649
Borderland Ranger,601
Bower Passage,867
Champion of Lambholt,10437
Craterhoof Behemoth,15555
Descendants' Path,3830
Diregraf Escort,5
Druid's Familiar,817
Druids' Repository,3396
Eaten by Spiders,145
Flowering Lumberknot,8
Geist Trappers,15
Grounded,7
Howlgeist,346
Joint Assault,7
Lair Delve,11
Natural End,338
Nettle Swine,31
Nightshade Peddler,401
Pathbreaker Wurm,158
Primal Surge,2480
Rain of Thorns,966
Revenge of the Hunted,326
Sheltering Word,439
Snare the Skies,4
Somberwald Sage,5141
Soul of the Harvest,15069
Terrifying Presence,380
Timberland Guide,97
Triumph of Ferocity,639
Trusted Forcemage,16
Ulvenwald Tracker,6258
Vorstclaw,116
Wandering Wolf,296
Wild Defiance,359
Wildwood Geist,7
Wolfir Avenger,477
Wolfir Silverheart,1535
Yew Spirit,86
"Bruna, Light of Alabaster",2060
"Gisela, Blade of Goldnight",10625
"Sigarda, Host of Herons",4783
Angel's Tomb,86
Angelic Armaments,210
Bladed Bracers,247
Conjurer's Closet,12287
Gallows at Willow Hill,224
Haunted Guardian,15
Moonsilver Spear,2338
Narstad Scrapper,6
Otherworld Atlas,2259
Scroll of Avacyn,184
Scroll of Griselbrand,28
Tormentor's Trident,28
Vanguard's Shield,136
Vessel of Endless Rest,2479
Alchemist's Refuge,12905
Cavern of Souls,19734
Desolate Lighthouse,6248
Seraph Sanctuary,2555
Slayers' Stronghold,5220
