names,edhrec
Bane of Bala Ged,4579
Blight Herder,988
Breaker of Armies,3081
Conduit of Ruin,6073
Deathless Behemoth,287
Desolation Twin,5866
Eldrazi Devastator,916
Endless One,2604
Gruesome Slaughter,1140
Kozilek's Channeler,2344
Oblivion Sower,5368
Ruin Processor,328
Scour from Existence,6370
Titan's Presence,2342
"Ulamog, the Ceaseless Hunger",10555
Ulamog's Despoiler,421
Void Winnower,9883
Angel of Renewal,316
Angelic Gift,951
Cliffside Lookout,110
Courier Griffin,60
Emeria Shepherd,8178
Encircling Fissure,274
Expedition Envoy,155
Felidar Cub,758
Felidar Sovereign,8025
Fortified Rampart,1357
Ghostly Sentinel,25
"Gideon, Ally of Zendikar",3220
Hero of Goma Fada,935
Kitesail Scout,167
Kor Bladewhirl,616
Kor Castigator,23
Kor Entanglers,334
Lantern Scout,812
Lithomancer's Focus,68
Makindi Patrol,600
Ondu Greathorn,34
Ondu Rising,131
Planar Outburst,1804
Quarantine Field,1690
Retreat to Emeria,1701
Roil's Retribution,16
Serene Steward,379
Shadow Glider,23
Sheer Drop,154
Smite the Monstrous,165
Stasis Snare,2592
Stone Haven Medic,43
Tandem Tactics,114
Unified Front,481
Adverse Conditions,116
Benthic Infiltrator,447
Cryptic Cruiser,70
Drowner of Hope,782
Eldrazi Skyspawner,602
Horribly Awry,175
Incubator Drone,142
Mist Intruder,221
Murk Strider,77
Oracle of Dust,143
Ruination Guide,500
Salvage Drone,216
Spell Shrivel,598
Tide Drifter,274
Ulamog's Reclaimer,129
Brilliant Spectrum,50
Cloud Manta,14
Clutch of Currents,246
Coastal Discovery,234
Coralhelm Guide,153
Dampening Pulse,51
Dispel,15009
Exert Influence,67
Guardian of Tazeem,975
Halimar Tidecaller,415
Part the Waterveil,4331
Prism Array,51
Retreat to Coralhelm,3992
Roilmage's Trick,21
Rush of Ice,160
Scatter to the Winds,1066
Tightening Coils,65
Ugin's Insight,1133
Wave-Wing Elemental,65
Windrider Patrol,131
Complete Disregard,111
Culling Drone,92
Dominator Drone,167
Grave Birthing,157
Grip of Desolation,423
Mind Raker,178
Silent Skimmer,77
Skitterskin,19
Sludge Crawler,122
Smothering Abomination,8664
Swarm Surge,100
Transgress the Mind,186
Wasteland Strangler,283
Altar's Reap,4283
Bloodbond Vampire,706
Bone Splinters,1947
Carrier Thrall,1414
Defiant Bloodlord,2959
Demon's Grasp,50
"Drana, Liberator of Malakir",5620
Dutiful Return,228
Geyserfield Stalker,43
Guul Draz Overseer,257
Hagra Sharpshooter,32
Kalastria Healer,1060
Kalastria Nightwatch,43
Malakir Familiar,105
Mire's Malice,59
Nirkana Assassin,108
Ob Nixilis Reignited,8804
Painful Truths,7202
Retreat to Hagra,4006
Rising Miasma,43
Ruinous Path,2830
Vampiric Rites,4733
Voracious Null,118
Zulaport Cutthroat,24341
Barrage Tyrant,385
Crumble to Dust,21
Kozilek's Sentinel,26
Molten Nursery,283
Nettle Drone,1345
Processor Assault,29
Serpentine Spike,63
Touch of the Void,69
Turn Against,162
Vestige of Emrakul,19
Vile Aggregate,287
Akoum Firebird,218
Akoum Hellkite,1132
Akoum Stonewaker,130
Belligerent Whiptail,27
Boiling Earth,122
Chasm Guide,833
Dragonmaster Outcast,5899
Firemantle Mage,771
Goblin War Paint,257
Lavastep Raider,108
