names,edhrec
Day of Destiny,1082
Empty-Shrine Kannushi,15
Faithful Squire,30
Final Judgment,572
Genju of the Fields,109
Heart of Light,36
"Hokori, Dust Drinker",1635
Hundred-Talon Strike,62
Indebted Samurai,213
Kami of False Hope,1189
Kami of Tattered Shoji,9
Kami of the Honored Dead,103
"Kentaro, the Smiling Cat",211
Kitsune Palliator,52
Mending Hands,7
Moonlit Strider,92
"Opal-Eye, Konda's Yojimbo",324
"Oyobi, Who Split the Heavens",567
Patron of the Kitsune,237
Scour,4
Shining Shoal,113
Silverstorm Samurai,127
Split-Tail Miko,49
Takeno's Cavalry,57
Tallowisp,74
Terashi's Grasp,583
Terashi's Verdict,43
Ward of Piety,10
Waxmane Baku,94
"Yomiji, Who Bars the Way",647
Callow Jushi,59
"Chisei, Heart of Oceans",102
Disrupting Shoal,363
Floodbringer,217
Genju of the Falls,78
Heed the Mists,59
"Higure, the Still Wind",2674
Jetting Glasskite,30
Kaijin of the Vanishing Touch,177
"Kira, Great Glass-Spinner",1605
Minamo Sightbender,25
Minamo's Meddling,4
Mistblade Shinobi,3396
Ninja of the Deep Hours,3692
Patron of the Moon,814
Phantom Wings,38
Quash,11
Quillmane Baku,23
Reduce to Dreams,95
Ribbons of the Reikai,433
Shimmering Glasskite,16
Soratami Mindsweeper,132
Stream of Consciousness,130
Sway of the Stars,0
Teardrop Kami,77
Threads of Disloyalty,215
Toils of Night and Day,81
"Tomorrow, Azami's Familiar",713
Veil of Secrecy,228
Walker of Secret Ways,2441
Bile Urchin,145
Blessing of Leeches,764
Call for Blood,24
Crawling Filth,47
Eradicate,31
Genju of the Fens,55
Goryo's Vengeance,444
Hero's Demise,425
Hired Muscle,20
Horobi's Whisper,151
"Ink-Eyes, Servant of Oni",3966
"Kyoki, Sanity's Eclipse",457
Mark of the Oni,148
Nezumi Shadow-Watcher,40
Ogre Marauder,48
Okiba-Gang Shinobi,2440
Patron of the Nezumi,487
Psychic Spear,6
Pus Kami,122
Scourge of Numai,9
"Shirei, Shizo's Caretaker",483
Sickening Shoal,150
Skullmane Baku,73
Skullsnatcher,2479
Stir the Grave,159
Takenuma Bleeder,5
Three Tragedies,35
Throat Slitter,3101
Toshiro Umezawa,334
"Yukora, the Prisoner",12
Akki Blizzard-Herder,337
Akki Raider,20
Ashen Monstrosity,23
Aura Barbs,58
Blademane Baku,31
Blazing Shoal,289
Clash of Realities,56
Crack the Earth,132
Cunning Bandit,47
First Volley,24
Flames of the Blood Hand,191
Frost Ogre,7
Frostling,37
Fumiko the Lowblood,2353
Genju of the Spires,95
Goblin Cohort,71
Heartless Hidetsugu,4230
In the Web of War,714
Ire of Kaminari,43
"Ishi-Ishi, Akki Crackshot",14
Kumano's Blessing,15
"Mannichi, the Fevered Dream",86
Ogre Recluse,2
Overblaze,471
Patron of the Akki,129
Ronin Cliffrider,139
Shinka Gatekeeper,14
Sowing Salt,9
Torrent of Stone,20
Twist Allegiance,162
Body of Jukai,81
Budoka Pupil,31
Child of Thorns,31
Enshrined Memories,202
Forked-Branch Garami,154
Genju of the Cedars,107
Gnarled Mass,18
Harbinger of Spring,215
"Isao, Enlightened Bushi",122
Iwamori of the Open Fist,135
Kodama of the Center Tree,376
Lifegift,307
Lifespinner,459
Loam Dweller,499
Mark of Sakiko,259
Matsu-Tribe Sniper,270
Nourishing Shoal,82
Patron of the Orochi,985
Petalmane Baku,414
Roar of Jukai,54
"Sakiko, Mother of Summer",634
Sakura-Tribe Springcaller,283
Scaled Hulk,17
"Shizuko, Caller of Autumn",677
Sosuke's Summons,425
Splinter,34
Traproot Kami,534
Unchecked Growth,77
Uproot,22
Vital Surge,29
Genju of the Realm,401
Baku Altar,217
Blinding Powder,191
Mirror Gallery,689
Neko-Te,472
Orb of Dreams,511
Ornate Kanzashi,89
Ronin Warclub,279
Shuko,743
Shuriken,89
Slumbering Tora,14
That Which Was Taken,508
Umezawa's Jitte,6290
"Gods' Eye, Gate to the Reikai",395
Tendo Ice Bridge,513
