names,edhrec
Acolyte's Reward,104
Akroan Phalanx,39
Akroan Skyguard,295
Archetype of Courage,3768
"Brimaz, King of Oreskos",3353
Dawn to Dusk,676
Eidolon of Countless Battles,3195
Elite Skirmisher,76
Ephara's Radiance,57
Excoriate,59
Fated Retribution,1180
Ghostblade Eidolon,787
Glimpse the Sun God,122
God-Favored General,250
Great Hart,18
Griffin Dreamfinder,115
Hero of Iroas,1932
Hold at Bay,37
Loyal Pegasus,206
Mortal's Ardor,339
Nyxborn Shieldmate,194
Oreskos Sun Guide,171
Ornitharch,46
Plea for Guidance,4095
Silent Sentinel,2027
Spirit of the Labyrinth,3604
Sunbond,1245
Vanguard of Brimaz,1294
Aerie Worshippers,63
Arbiter of the Ideal,1132
Archetype of Imagination,6664
Chorus of the Tides,12
Crypsis,103
Deepwater Hypnotist,41
Eternity Snare,17
Evanescent Intellect,48
Fated Infatuation,1668
Flitterstep Eidolon,709
Floodtide Serpent,17
Kraken of the Straits,803
Meletis Astronomer,67
Mindreaver,8
Nullify,272
Nyxborn Triton,90
Oracle's Insight,186
Perplexing Chimera,4365
Retraction Helix,570
Siren of the Fanged Coast,108
Sphinx's Disciple,125
Stratus Walk,150
Sudden Storm,40
Thassa's Rebuff,415
Tromokratis,1801
Vortex Elemental,143
Whelming Wave,4280
Archetype of Finality,2627
Ashiok's Adept,31
Asphyxiate,137
Bile Blight,351
Black Oak of Odunos,111
Champion of Stray Souls,1596
Claim of Erebos,44
Drown in Sorrow,192
Eater of Hope,615
Eye Gouge,13
Fate Unraveler,4303
Fated Return,1058
Felhide Brawler,104
Forlorn Pseudamma,112
Forsaken Drifters,65
Gild,659
Grisly Transformation,122
Herald of Torment,383
Marshmist Titan,51
Necrobite,149
Nyxborn Eidolon,62
Odunos River Trawler,69
Pain Seer,552
Sanguimancy,240
Servant of Tymaret,377
Shrike Harpy,36
Spiteful Returned,163
Warchanter of Mogis,170
Weight of the Underworld,31
Akroan Conscriptor,903
Archetype of Aggression,4531
Bolt of Keranos,104
Cyclops of One-Eyed Pass,8
Epiphany Storm,119
Everflame Eidolon,81
Fall of the Hammer,1372
Fated Conflagration,200
Fearsome Temper,47
Felhide Spiritbinder,546
Flame-Wreathed Phoenix,181
Forgestoker Dragon,349
Impetuous Sunchaser,51
Kragma Butcher,213
Lightning Volley,143
Nyxborn Rollicker,182
Oracle of Bones,345
Pharagax Giant,67
Pinnacle of Rage,6
Reckless Reveler,233
Rise to the Challenge,46
Satyr Firedancer,802
Satyr Nyx-Smith,183
Scouring Sands,124
Searing Blood,293
Stormcaller of Keranos,46
Thunder Brute,30
Thunderous Might,144
Whims of the Fates,1007
Archetype of Endurance,7683
Aspect of Hydra,1042
Charging Badger,82
Courser of Kruphix,16808
Culling Mark,9
Fated Intervention,133
Graverobber Spider,416
Hero of Leina Tower,87
Hunter's Prowess,2756
Karametra's Favor,453
Mischief and Mayhem,12
Mortal's Resolve,876
Nessian Demolok,124
Nessian Wilds Ravager,1323
Noble Quarry,393
Nyxborn Wolf,188
Peregrination,926
Pheres-Band Raiders,46
Pheres-Band Tromper,51
Raised by Wolves,649
Satyr Wayfinder,9594
Scourge of Skola Vale,1142
Setessan Oathsworn,131
Setessan Starbreaker,11
Skyreaping,76
Snake of the Golden Grove,86
Swordwise Centaur,57
Unravel the Aether,1044
Chromanticore,877
"Ephara, God of the Polis",3776
Ephara's Enlightenment,199
Fanatic of Xenagos,146
"Karametra, God of Harvests",4999
"Kiora, the Crashing Wave",5276
Kiora's Follower,8491
"Mogis, God of Slaughter",3498
"Phenax, God of Deception",2427
Ragemonger,378
Reap What Is Sown,61
Siren of the Silent Song,828
"Xenagos, God of Revels",7467
Astral Cornucopia,8373
Gorgon's Head,1940
Heroes' Podium,2090
Pillar of War,15
Siren Song Lyre,40
Springleaf Drum,2902
