names,edhrec
Adarkar Valkyrie,2933
Boreal Griffin,48
Cover of Winter,81
"Darien, King of Kjeldor",2293
Field Marshal,688
Gelid Shackles,146
Glacial Plating,54
Jötun Grunt,99
Jötun Owl Keeper,220
Kjeldoran Gargoyle,7
Kjeldoran Javelineer,5
Kjeldoran Outrider,4
Kjeldoran War Cry,1
Luminesce,4
Martyr of Sands,253
Ronom Unicorn,103
Squall Drifter,72
Sun's Bounty,6
Sunscour,225
Surging Sentinels,1
Swift Maneuver,24
Ursine Fylgja,7
Wall of Shards,1011
White Shield Crusader,57
Woolly Razorback,69
Adarkar Windform,51
Arcum Dagsson,1601
Balduvian Frostwaker,73
Commandeer,1237
Controvert,89
Counterbalance,1988
Drelnoch,30
Flashfreeze,99
Frost Raptor,70
Frozen Solid,65
"Heidar, Rimewind Master",137
Jokulmorder,76
Krovikan Mist,49
Krovikan Whispers,7
Martyr of Frost,455
Perilous Research,272
Rimefeather Owl,159
Rimewind Cryomancer,137
Rimewind Taskmage,134
Ronom Serpent,21
Rune Snag,91
Surging Aether,3
Survivor of the Unseen,83
Thermal Flux,50
Vexing Sphinx,193
Balduvian Fallen,1
Chill to the Bone,115
Chilling Shade,52
Deathmark,129
Disciple of Tevesh Szat,30
Feast of Flesh,4
Garza's Assassin,80
Grim Harvest,250
Gristle Grinner,28
Gutless Ghoul,80
"Haakon, Stromgald Scourge",694
Herald of Leshrac,820
Krovikan Rot,7
Krovikan Scoundrel,4
Martyr of Bones,27
Phobian Phantasm,4
Phyrexian Etchings,120
Rime Transfusion,88
Rimebound Dead,46
Soul Spike,82
Stromgald Crusader,117
Surging Dementia,5
Tresserhorn Skyknight,18
Void Maw,82
Zombie Musher,18
Balduvian Rage,1474
Balduvian Warlord,236
Braid of Fire,1845
Cryoclasm,30
Earthen Goo,13
Fury of the Horde,2184
Goblin Furrier,5
Goblin Rimerunner,29
Greater Stone Spirit,25
Icefall,352
Karplusan Minotaur,959
Karplusan Wolverine,20
Lightning Serpent,164
Lightning Storm,115
Lovisa Coldeyes,1318
Magmatic Core,24
Martyr of Ashes,46
Ohran Yeti,13
Orcish Bloodpainter,18
Rimescale Dragon,199
Rite of Flame,1340
Skred,266
Stalking Yeti,34
Surging Flame,6
Thermopod,1037
Allosaurus Rider,238
Arctic Nishoba,18
Aurochs Herd,8
Boreal Centaur,25
Boreal Druid,7543
Brooding Saurian,196
Bull Aurochs,6
Freyalise's Radiance,2
Frostweb Spider,246
Hibernation's End,509
Into the North,1471
Karplusan Strider,3
Martyr of Spores,25
Mystic Melting,64
Ohran Viper,1694
Panglacial Wurm,357
Resize,23
Rimehorn Aurochs,20
Ronom Hulk,1
Shape of the Wiitigo,234
Sheltering Ancient,572
Simian Brawler,32
Sound the Call,24
Steam Spitter,22
Surging Might,0
Blizzard Specter,499
Deepfire Elemental,141
Diamond Faerie,67
"Garza Zol, Plague Queen",54
Juniper Order Ranger,3266
"Sek'Kuar, Deathkeeper",485
Tamanoa,82
Vanish into Memory,432
Wilderness Elemental,360
Zur the Enchanter,1627
Coldsteel Heart,9255
Jester's Scepter,12
Mishra's Bauble,2920
Phyrexian Ironfoot,36
Phyrexian Snowcrusher,49
Phyrexian Soulgorger,835
Thrumming Stone,1818
Arctic Flats,568
Boreal Shelf,965
Dark Depths,5399
Frost Marsh,623
Highland Weald,753
Mouth of Ronom,887
Scrying Sheets,1498
Tresserhorn Sinks,454
Snow-Covered Plains,10399
Snow-Covered Island,15375
Snow-Covered Swamp,15657
Snow-Covered Mountain,11076
Snow-Covered Forest,13271
