names,edhrec
Aerie Mystics,261
Asha's Favor,571
Aven Squire,467
Aven Trailblazer,11
Celestial Purge,168
Court Homunculus,48
Darklit Gargoyle,7
Gleam of Resistance,92
Lapse of Certainty,2784
Mark of Asylum,768
Martial Coup,8616
Mirror-Sigil Sergeant,321
Nacatl Hunt-Pride,46
Paragon of the Amesha,9
Path to Exile,46949
Rhox Meditant,15
Scepter of Dominance,77
Sigil of the Empty Throne,9156
Valiant Guard,25
Wall of Reverence,3054
Brackwater Elemental,5
Constricting Tendrils,20
Controlled Instincts,5
Cumber Stone,61
Esperzoa,141
Ethersworn Adjudicator,2088
Faerie Mechanist,317
Frontline Sage,306
Grixis Illusionist,47
Inkwell Leviathan,4106
Master Transmuter,3699
Parasitic Strix,114
Scepter of Insight,42
Scornful Aether-Lich,13
Telemin Performance,787
Traumatic Visions,358
Unsummon,2337
View from Above,148
Worldly Counsel,47
Absorb Vis,121
Corrupted Roots,16
Drag Down,5
Dreadwing,14
Extractor Demon,1059
Fleshformer,5
Grixis Slavedriver,86
Infectious Horror,225
Kederekt Parasite,1434
Nyxathid,355
Pestilent Kathari,22
Rotting Rats,799
Salvage Slasher,25
Scepter of Fugue,164
Sedraxis Alchemist,482
Voices from the Void,4
Wretched Banquet,13
Yoke of the Damned,47
Banefire,5168
Bloodhall Ooze,115
Canyon Minotaur,36
Dark Temper,29
Dragonsoul Knight,49
Fiery Fall,174
Goblin Razerunners,394
Hellspark Elemental,356
Ignite Disorder,19
Kranioceros,2
Maniacal Rage,90
Molten Frame,27
Quenchable Fire,5
Rakka Mar,677
Toxic Iguanar,15
Viashino Slaughtermaster,7
Volcanic Fallout,1209
Voracious Dragon,880
Wandering Goblins,5
Worldheart Phoenix,16
Beacon Behemoth,105
Cliffrunner Behemoth,147
Cylian Sunsinger,6
Ember Weaver,76
Filigree Fracture,75
Gluttonous Slime,163
Matca Rioters,13
Might of Alara,13
Nacatl Savage,56
Noble Hierarch,5390
Paleoloth,1021
Sacellum Archers,13
Scattershot Archer,78
Shard Convergence,804
Soul's Majesty,5391
Spore Burst,61
Sylvan Bounty,82
Thornling,506
Tukatongue Thallid,680
Wild Leotau,14
Apocalypse Hydra,1837
Blood Tyrant,454
Charnelhoard Wurm,885
Child of Alara,539
Conflux,3950
Countersquall,3753
Elder Mastery,152
Esper Cormorants,24
Exploding Borders,121
Fusion Elemental,371
Giltspire Avenger,682
Goblin Outlander,28
"Gwafa Hazid, Profiteer",2426
Hellkite Hatchling,136
Jhessian Balmgiver,90
Knight of the Reliquary,2357
Knotvine Mystic,1066
Maelstrom Archangel,1212
Magister Sphinx,2553
Malfegor,1199
Meglonoth,486
Nacatl Outlander,50
"Nicol Bolas, Planeswalker",4809
Progenitus,2062
Rhox Bodyguard,104
Scarland Thrinax,309
Shambling Remains,45
Skyward Eye Prophets,269
Sludge Strider,65
Sphinx Summoner,1974
Suicidal Charge,15
Vagrant Plowbeasts,211
Valeron Outlander,15
Vectis Agents,10
Vedalken Outlander,10
Zombie Outlander,57
Armillary Sphere,6415
Bone Saw,1489
Font of Mythos,4033
Kaleidostone,154
Mana Cylix,195
Manaforce Mace,19
Obelisk of Alara,166
Ancient Ziggurat,3878
Exotic Orchard,75496
Reliquary Tower,124489
Rupture Spire,9855
Unstable Frontier,158
