names,edhrec
Archangel's Light,259
Bar the Door,1039
Break of Day,36
Burden of Guilt,32
Curse of Exhaustion,1745
Elgaud Inquisitor,62
Faith's Shield,545
Gather the Townsfolk,437
Gavony Ironwright,11
Hollowhenge Spirit,83
Increasing Devotion,3653
Lingering Souls,1230
Loyal Cathar,9
Midnight Guard,475
Niblis of the Mist,18
Niblis of the Urn,101
Ray of Revelation,168
Requiem Angel,3954
Sanctuary Cat,142
Séance,647
Silverclaw Griffin,62
Skillful Lunge,11
Sudden Disappearance,222
"Thalia, Guardian of Thraben",4723
Thraben Doomsayer,1058
Thraben Heretic,56
Artful Dodge,1506
Beguiler of Wills,1308
Bone to Ash,675
Call to the Kindred,1808
Chant of the Skifsang,29
Chill of Foreboding,110
Counterlash,405
Curse of Echoes,908
Divination,2777
Dungeon Geists,662
Geralf's Mindcrusher,609
Griptide,96
Havengul Runebinder,434
Headless Skaab,31
Increasing Confusion,1318
Mystic Retrieval,5848
Nephalia Seakite,16
Niblis of the Breath,270
Relentless Skaabs,51
Saving Grasp,98
Screeching Skaab,173
Secrets of the Dead,3945
Shriekgeist,129
Soul Seizer,265
Stormbound Geist,104
Thought Scour,3714
Tower Geist,89
Black Cat,525
Chosen of Markov,68
Curse of Misfortunes,1032
Curse of Thirst,805
Deadly Allure,129
Death's Caress,8
Falkenrath Torturer,63
Farbog Boneflinger,16
Fiend of the Shadows,267
Geralf's Messenger,2221
Gravecrawler,5851
Gravepurge,1246
Gruesome Discovery,27
Harrowing Journey,78
Highborn Ghoul,106
Increasing Ambition,4734
"Mikaeus, the Unhallowed",11083
Ravenous Demon,96
Reap the Seagraf,36
Sightless Ghoul,374
Skirsdag Flayer,69
Spiteful Shadows,48
Tragic Slip,8854
Undying Evil,1606
Vengeful Vampire,65
Wakedancer,90
Zombie Apocalypse,2996
Afflicted Deserter,571
Alpha Brawl,443
Blood Feud,44
Burning Oil,33
Curse of Bloodletting,1998
Erdwal Ripper,96
Faithless Looting,28282
Fires of Undeath,5
Flayer of the Hatebound,2961
Fling,3459
Forge Devil,47
Heckling Fiends,41
Hellrider,3013
Hinterland Hermit,105
Increasing Vengeance,6445
Markov Blademaster,950
Markov Warlord,47
Mondronen Shaman,593
Moonveil Dragon,1236
Nearheath Stalker,47
Pyreheart Wolf,997
Russet Wolves,4
Scorch the Fields,13
Shattered Perception,849
Talons of Falkenrath,25
Torch Fiend,288
Wrack with Madness,30
Briarpack Alpha,415
Clinging Mists,102
Crushing Vines,484
Dawntreader Elk,3546
Deranged Outcast,49
Favor of the Woods,32
Feed the Pack,1364
Ghoultree,932
Gravetiller Wurm,114
Grim Flowering,428
Hollowhenge Beast,16
Hunger of the Howlpack,436
Increasing Savagery,2513
Kessig Recluse,460
Lambholt Elder,491
Lost in the Woods,227
Predator Ooze,1369
Scorned Villager,894
Somberwald Dryad,32
Strangleroot Geist,471
Tracker's Instincts,111
Ulvenwald Bear,834
Village Survivors,3
Vorapede,566
Wild Hunger,32
Wolfbitten Captive,377
Young Wolf,888
Diregraf Captain,5096
Drogskol Captain,977
Drogskol Reaver,1727
Falkenrath Aristocrat,2036
Havengul Lich,5829
Huntmaster of the Fells,929
Immerwolf,638
"Sorin, Lord of Innistrad",3760
Stromkirk Captain,4286
Altar of the Lost,44
Avacyn's Collar,206
Chalice of Life,1483
"Elbrus, the Binding Blade",1502
Executioner's Hood,409
Grafdigger's Cage,5682
Heavy Mattock,31
Helvault,246
Jar of Eyeballs,534
Warden of the Wall,89
Wolfhunter's Quiver,150
Evolving Wilds,136575
Grim Backwoods,8085
Haunted Fengraf,3974
Vault of the Archangel,8859
