names,edhrec
Auriok Glaivemaster,43
Echoing Calm,8
Emissary of Hope,23
Hallow,88
Leonin Battlemage,34
Leonin Shikari,3820
Loxodon Mystic,40
Metal Fatigue,4
Pristine Angel,584
Pteron Ghost,30
Pulse of the Fields,58
Purge,10
Ritual of Restoration,127
Soulscour,228
Steelshaper Apprentice,444
Stir the Pride,34
Test of Faith,57
Turn the Tables,52
Carry Away,57
Chromescale Drake,43
Echoing Truth,1670
Hoverguard Observer,0
Last Word,503
Machinate,139
Magnetic Flux,13
Neurok Prodigy,2
Neurok Transmuter,105
Psychic Overload,9
Pulse of the Grid,414
Quicksilver Behemoth,8
Reshape,4475
Retract,1080
Second Sight,76
Synod Artificer,91
Vedalken Engineer,1687
Vex,127
Aether Snap,432
Burden of Greed,7
Chittering Rats,221
Death Cloud,1649
Echoing Decay,48
Emissary of Despair,89
Essence Drain,21
Greater Harvester,40
Grimclaw Bats,13
Hunger of the Nim,16
Mephitic Ooze,85
Murderous Spoils,31
Nim Abomination,3
Pulse of the Dross,32
Scavenging Scarab,2
Screams from Within,125
Scrounge,42
Shriveling Rot,179
Barbed Lightning,61
Crazed Goblin,39
Dismantle,17
Drooling Ogre,13
Echoing Ruin,29
Fireball,3111
Flamebreak,537
Furnace Dragon,97
Goblin Archaeologist,679
Inflame,54
Krark-Clan Stoker,110
Pulse of the Forge,191
Savage Beating,2846
Shunt,315
"Slobad, Goblin Tinkerer",1690
Tears of Rage,177
Unforge,4
Vulshok War Boar,8
Ageless Entity,298
Echoing Courage,140
Fangren Firstborn,270
Infested Roothold,85
Karstoderm,7
Nourish,19
Oxidize,98
Pulse of the Tangle,87
Reap and Sow,1383
Rebuking Ceremony,10
Roaring Slagwurm,73
Stand Together,17
Tangle Spider,106
Tanglewalker,11
Tel-Jilad Outrider,4
Tel-Jilad Wolf,30
Viridian Acolyte,52
Viridian Zealot,1930
Aether Vial,1029
Angel's Feather,400
Arcane Spyglass,135
Arcbound Bruiser,192
Arcbound Crusher,755
Arcbound Fiend,215
Arcbound Hybrid,229
Arcbound Lancer,148
Arcbound Overseer,289
Arcbound Ravager,1285
Arcbound Reclaimer,792
Arcbound Slith,436
Arcbound Stinger,451
Arcbound Worker,579
Auriok Siege Sled,3
Chimeric Egg,78
Coretapper,475
Darksteel Brute,57
Darksteel Colossus,2223
Darksteel Forge,8811
Darksteel Gargoyle,136
Darksteel Ingot,41475
Darksteel Pendant,1100
Darksteel Reactor,1180
Death-Mask Duplicant,41
Demon's Horn,1139
Dragon's Claw,323
Drill-Skimmer,33
Dross Golem,62
Eater of Days,318
Gemini Engine,63
Genesis Chamber,3779
Geth's Grimoire,3810
Heartseeker,557
Juggernaut,113
Kraken's Eye,212
Leonin Bola,168
Lich's Tomb,126
Memnarch,3538
Mycosynth Lattice,5695
Myr Landshaper,151
Myr Matrix,564
Myr Moonvessel,819
Nemesis Mask,674
Oxidda Golem,95
Panoptic Mirror,1
Razor Golem,41
Serum Powder,136
Shield of Kaldra,1717
Skullclamp,66016
Spawning Pit,3541
Specter's Shroud,292
Spellbinder,204
Spincrusher,146
Spire Golem,70
Sundering Titan,53
Surestrike Trident,507
Sword of Fire and Ice,6768
Sword of Light and Shadow,5017
Talon of Pain,72
Tangle Golem,40
Thought Dissector,70
Thunderstaff,399
Trinisphere,2523
Ur-Golem's Eye,3720
Voltaic Construct,880
Vulshok Morningstar,104
Wand of the Elements,20
Well of Lost Dreams,8161
Whispersilk Cloak,25879
Wirefly Hive,269
Wurm's Tooth,178
Blinkmoth Nexus,1777
Darksteel Citadel,19694
Mirrodin's Core,1987
