names,edhrec
Aurora Eidolon,14
Azorius Herald,110
Beacon Hawk,130
Blessing of the Nephilim,463
Brace for Impact,31
Carom,134
Celestial Ancient,1545
Condemn,4736
Freewind Equenaut,14
Guardian of the Guildpact,52
Haazda Exonerator,3
Haazda Shield Mate,38
Mistral Charger,43
Paladin of Prahv,39
Proclamation of Rebirth,54
Proper Burial,352
Soulsworn Jury,446
Steeling Stance,18
Stoic Ephemera,30
Valor Made Real,123
Wakestone Gargoyle,659
Court Hussar,100
Cytoplast Manipulator,853
Enigma Eidolon,25
Govern the Guildless,134
Helium Squirter,266
Novijen Sages,467
Ocular Halo,33
Plaxmanta,624
Psychic Possession,526
Silkwing Scout,50
Skyscribing,1671
Spell Snare,1358
Tidespout Tyrant,2770
Vigean Graftmage,1514
Vision Skeins,1548
Writ of Passage,148
Bond of Agony,314
Brain Pry,20
Crypt Champion,146
Delirium Skeins,900
Demon's Jester,14
Drekavac,3
Enemy of the Guildpact,78
Entropic Eidolon,17
Infernal Tutor,194
Macabre Waltz,808
Nettling Curse,38
Nightcreep,39
Nihilistic Glee,127
Ragamuffyn,18
Ratcatcher,1192
Seal of Doom,1826
Slaughterhouse Bouncer,8
Slithering Shade,51
Unliving Psychopath,40
Vesper Ghoul,183
Wit's End,370
Cackling Flames,43
Demonfire,465
Flame-Kin War Scout,5
Flaring Flame-Kin,9
Gnat Alley Creeper,1
Ignorant Bliss,113
Kill-Suit Cultist,21
Kindle the Carnage,82
Ogre Gatecrasher,4
Psychotic Fury,2155
Rakdos Pit Dragon,232
Sandstorm Eidolon,14
Seal of Fire,182
Squealing Devil,25
Stalking Vengeance,3087
Stormscale Anarch,6
Taste for Mayhem,152
Utvara Scalper,24
War's Toll,3923
Weight of Spires,21
Whiptail Moloch,3
Aquastrand Spider,433
Cytoplast Root-Kin,822
Cytospawn Shambler,106
Elemental Resonance,280
Fertile Imagination,216
Flash Foliage,95
Indrik Stomphowler,960
Loaming Shaman,1944
Might of the Nephilim,93
Patagia Viper,435
Protean Hulk,8403
Simic Basilisk,67
Simic Initiate,113
Simic Ragworm,266
Sporeback Troll,670
Sprouting Phytohydra,477
Stomp and Howl,87
Street Savvy,18
Thrive,247
Utopia Sprawl,8950
Verdant Eidolon,124
Aethermage's Touch,519
Anthem of Rakdos,380
Assault Zeppelid,28
Azorius Aethermage,76
Azorius First-Wing,23
Azorius Ploy,32
Coiling Oracle,16672
Cytoshape,96
Dread Slag,14
Experiment Kraj,1179
Gobhobbler Rats,19
Grand Arbiter Augustin IV,3350
Hellhole Rats,60
Isperia the Inscrutable,317
Jagged Poppet,66
Leafdrake Roost,126
"Lyzolda, the Blood Witch",431
"Momir Vig, Simic Visionary",1846
Omnibian,145
Overrule,202
Pain Magnification,1189
Palliation Accord,198
Plaxcaster Frogling,2599
Plumes of Peace,71
Pride of the Clouds,559
Rain of Gore,307
Rakdos Augermage,103
Rakdos Ickspitter,158
Rakdos the Defiler,598
Simic Sky Swallower,1542
Sky Hussar,207
Swift Silence,131
Trygon Predator,5357
Twinstrike,41
Vigean Hydropon,120
Vigean Intuition,21
Voidslime,3377
Windreaver,64
Wrecking Ball,707
Avatar of Discord,121
Azorius Guildmage,804
Biomantic Mastery,643
Dovescape,1115
Minister of Impediments,84
Rakdos Guildmage,149
Riot Spikes,30
Shielding Plax,676
Simic Guildmage,314
Bound,124
Crime,112
Hide,487
Hit,86
Odds,106
Pure,52
Research,44
Rise,72
Supply,299
Trial,101
Azorius Signet,33758
Bronze Bombshell,286
Evolution Vat,183
Magewright's Stone,2839
Muse Vessel,78
Rakdos Riteknife,103
Rakdos Signet,35217
Simic Signet,28936
Skullmead Cauldron,31
Transguild Courier,254
Walking Archive,817
Azorius Chancery,24497
Blood Crypt,40672
Breeding Pool,47889
Ghost Quarter,29931
Hallowed Fountain,44809
"Novijen, Heart of Progress",3497
Pillar of the Paruns,619
"Prahv, Spires of Order",787
Rakdos Carnarium,22606
"Rix Maadi, Dungeon Palace",2584
Simic Growth Chamber,26499
