names,edhrec
"Karn, Scion of Urza",5249
Adamant Will,1290
Aven Sentry,22
"Baird, Steward of Argive",6504
Benalish Honor Guard,127
Benalish Marshal,2684
Blessed Light,279
Board the Weatherlight,882
Call the Cavalry,396
Charge,175
D'Avenant Trapper,92
"Danitha Capashen, Paragon",7290
Daring Archaeologist,465
Dauntless Bodyguard,1417
Dub,270
"Evra, Halcyon Witness",1114
Excavation Elephant,42
Fall of the Thran,1033
Gideon's Reproach,226
Healing Grace,176
History of Benalia,1237
Invoke the Divine,1529
Knight of Grace,810
Knight of New Benalia,65
"Kwende, Pride of Femeref",1109
Lyra Dawnbringer,3312
Mesa Unicorn,91
On Serra's Wings,1862
Pegasus Courser,125
Sanctum Spirit,16
Seal Away,1018
Sergeant-at-Arms,120
Serra Angel,909
Serra Disciple,155
"Shalai, Voice of Plenty",12211
"Teshar, Ancestor's Apostle",2730
Tragic Poet,427
Triumph of Gerrard,378
Urza's Ruinous Blast,5863
Academy Drake,25
Academy Journeymage,238
The Antiquities War,2945
Arcane Flight,299
Artificer's Assistant,3312
Befuddle,79
Blink of an Eye,4082
Cloudreader Sphinx,294
Cold-Water Snapper,46
Curator's Ward,2758
Deep Freeze,999
Diligent Excavator,409
Divination,2773
Homarid Explorer,104
In Bolas's Clutches,1985
Karn's Temporal Sundering,8177
Merfolk Trickster,1864
The Mirari Conjecture,4053
"Naban, Dean of Iteration",1855
"Naru Meha, Master Wizard",2474
Precognition Field,1851
Relic Runner,48
Rescue,405
Sage of Lat-Nam,438
Sentinel of the Pearl Trident,185
"Slinn Voda, the Rising Deep",2242
Syncopate,2114
Tempest Djinn,284
"Tetsuko Umezawa, Fugitive",6371
Time of Ice,623
Tolarian Scholar,20
Unwind,9986
Vodalian Arcanist,330
Weight of Memory,205
Wizard's Retort,3791
"Zahid, Djinn of the Lamp",166
Blessing of Belzenlok,242
Cabal Evangel,18
Cabal Paladin,313
Caligo Skin-Witch,152
Cast Down,2460
Chainer's Torment,246
Deathbloom Thallid,716
Demonic Vigor,789
Demonlord Belzenlok,2909
Divest,333
Dread Shade,505
Drudge Sentinel,37
The Eldest Reborn,8822
Eviscerate,199
Feral Abomination,74
Final Parting,8650
Fungal Infection,533
"Josu Vess, Lich Knight",4435
"Kazarov, Sengir Pureblood",350
Knight of Malice,624
Lich's Mastery,782
Lingering Phantom,38
Phyrexian Scriptures,3106
Rat Colony,1205
Rite of Belzenlok,1068
Settle the Score,1244
Soul Salvage,646
Stronghold Confessor,47
Thallid Omnivore,745
Thallid Soothsayer,1557
"Torgaar, Famine Incarnate",1422
"Urgoros, the Empty One",731
Vicious Offering,340
"Whisper, Blood Liturgist",5844
Windgrace Acolyte,99
"Yargle, Glutton of Urborg",592
Yawgmoth's Vile Offering,3097
Bloodstone Goblin,82
Champion of the Flame,580
Fervent Strike,277
Fiery Intervention,86
Fight with Fire,779
Fire Elemental,81
Firefist Adept,119
The First Eruption,183
The Flame of Keld,747
Frenzied Rage,355
Ghitu Chronicler,685
Ghitu Journeymage,240
Ghitu Lavarunner,268
Goblin Barrage,159
Goblin Chainwhirler,2194
Goblin Warchief,4466
Haphazard Bombardment,157
Jaya Ballard,3347
Jaya's Immolating Inferno,4593
Keldon Overseer,329
Keldon Raider,83
Keldon Warcaller,8
Orcish Vandal,40
Radiating Lightning,317
Rampaging Cyclops,4
Run Amok,1142
Seismic Shift,129
Shivan Fire,335
Siege-Gang Commander,9081
Skirk Prospector,5470
Skizzik,373
"Squee, the Immortal",4090
Two-Headed Giant,531
"Valduk, Keeper of the Flame",858
Verix Bladewing,1654
Warcry Phoenix,180
Warlord's Fury,882
Wizard's Lightning,608
Ancient Animus,1334
Arbor Armament,257
Baloth Gorger,239
Broken Bond,6662
Corrosive Ooze,132
Elfhame Druid,980
Fungal Plots,1791
Gaea's Blessing,2542
Gaea's Protector,38
Gift of Growth,465
Grow from the Ashes,10289
"Grunn, the Lonely King",1222
Kamahl's Druidic Vow,2841
Krosan Druid,220
Llanowar Elves,44866
Llanowar Envoy,83
Llanowar Scout,2891
"Marwyn, the Nurturer",5367
The Mending of Dominaria,6783
"Multani, Yavimaya's Avatar",7455
Nature's Spiral,1022
Pierce the Sky,72
Saproling Migration,2098
Song of Freyalise,5531
Spore Swarm,1428
Sporecrown Thallid,1598
Steel Leaf Champion,1433
Sylvan Awakening,3990
Territorial Allosaurus,1631
Thorn Elemental,460
Untamed Kavu,636
Verdant Force,4137
Wild Onslaught,629
Yavimaya Sapherd,756
"Adeliz, the Cinder Wind",575
Arvad the Cursed,2384
"Aryel, Knight of Windgrace",1542
Darigaaz Reincarnated,1471
"Garna, the Bloodflame",3515
Grand Warlord Radha,3821
"Hallar, the Firefletcher",102
"Jhoira, Weatherlight Captain",5240
"Jodah, Archmage Eternal",2275
"Muldrotha, the Gravetide",5713
Oath of Teferi,6756
Primevals' Glorious Rebirth,5988
"Raff Capashen, Ship's Mage",2355
"Rona, Disciple of Gix",307
"Shanna, Sisay's Legacy",2603
"Slimefoot, the Stowaway",2084
"Tatyova, Benthic Druid",14428
"Teferi, Hero of Dominaria",5361
"Tiana, Ship's Caretaker",1228
Aesthir Glider,25
Amaranthine Wall,1231
Blackblade Reforged,13496
Bloodtallow Candle,107
Damping Sphere,2218
Forebear's Blade,2488
Gilded Lotus,48864
Guardians of Koilos,131
Helm of the Host,18900
Howling Golem,692
Icy Manipulator,1089
Jhoira's Familiar,9047
Jousting Lance,252
Juggernaut,113
Mishra's Self-Replicator,1132
Mox Amber,10475
Navigator's Compass,318
Pardic Wanderer,72
Powerstone Shard,461
Shield of the Realm,287
Short Sword,455
Skittering Surveyor,1817
Sorcerer's Wand,486
Sparring Construct,316
Thran Temporal Gateway,3833
"Traxos, Scourge of Kroog",2623
Urza's Tome,182
Voltaic Servant,1249
Weatherlight,2975
Cabal Stronghold,12364
Clifftop Retreat,25708
Hinterland Harbor,33021
Isolated Chapel,30066
Memorial to Folly,7273
Memorial to Genius,4051
Memorial to Glory,1471
Memorial to Unity,2805
Memorial to War,1282
Sulfur Falls,28744
Woodland Cemetery,29786
Zhalfirin Void,5824
"Teferi, Timebender",566
Temporal Machinations,33
"Niambi, Faithful Healer",57
Teferi's Sentinel,26
Meandering River,5023
"Chandra, Bold Pyromancer",639
Chandra's Outburst,160
Karplusan Hound,43
Pyromantic Pilgrim,12
Timber Gorge,2943
Firesong and Sunspeaker,284
