names,edhrec
Boros Mastiff,79
Haazda Snare Squad,33
Lyev Decree,61
Maze Sentinel,65
Renounce the Guilds,134
Riot Control,1149
Scion of Vitu-Ghazi,532
Steeple Roc,13
Sunspire Gatekeepers,55
Wake the Reflections,438
Aetherling,1585
Hidden Strings,693
Maze Glider,49
Mindstatic,130
Murmuring Phantasm,489
Opal Lake Gatekeepers,73
Runner's Bane,18
Trait Doctoring,192
Uncovered Clues,157
Bane Alley Blackguard,11
Blood Scrivener,747
Crypt Incursion,1880
Fatal Fumes,6
Hired Torturer,16
Maze Abomination,69
Pontiff of Blight,4373
Rakdos Drake,90
Sinister Possession,57
Ubul Sar Gatekeepers,40
Awe for the Guilds,23
Clear a Path,7
Maze Rusher,76
Possibility Storm,3629
Punish the Enemy,21
Pyrewild Shaman,220
Riot Piker,49
Rubblebelt Maaka,75
Smelt-Ward Gatekeepers,62
Weapon Surge,221
Battering Krasis,145
Kraul Warrior,17
Maze Behemoth,82
Mending Touch,97
Mutant's Prey,243
Phytoburst,390
Renegade Krasis,1065
Saruli Gatekeepers,77
Skylasher,205
Thrashing Mossdog,61
Advent of the Wurm,1664
Armored Wolf-Rider,46
Ascended Lawmage,129
Beetleform Mage,32
Blast of Genius,534
Blaze Commando,432
Blood Baron of Vizkopa,2412
Boros Battleshaper,419
Bred for the Hunt,2752
Bronzebeak Moa,100
Carnage Gladiator,252
Council of the Absolute,143
Deadbridge Chant,4135
Debt to the Deathless,7025
Deputy of Acquittals,751
Dragonshift,268
Drown in Filth,476
Emmara Tandris,2150
"Exava, Rakdos Blood Witch",684
Feral Animist,61
Fluxcharger,48
Gaze of Granite,5502
Gleam of Battle,687
Goblin Test Pilot,65
Gruul War Chant,1809
Haunter of Nightveil,47
Jelenn Sphinx,154
Korozda Gorgon,94
Krasis Incubation,125
Lavinia of the Tenth,3174
Legion's Initiative,1783
Master of Cruelties,4296
Maw of the Obzedat,236
"Melek, Izzet Paragon",3596
"Mirko Vosk, Mind Drinker",2329
Morgue Burst,138
Nivix Cyclops,220
Notion Thief,11808
Obzedat's Aid,1808
Pilfered Plans,1001
Plasm Capture,5736
Progenitor Mimic,7167
Putrefy,24628
Ral Zarek,4085
Reap Intellect,24
Render Silent,8311
Restore the Peace,130
Rot Farm Skeleton,219
"Ruric Thar, the Unbowed",4463
Savageborn Hydra,2058
Scab-Clan Giant,26
Showstopper,88
Sin Collector,1032
Sire of Insanity,3975
Species Gorger,134
Spike Jester,144
"Tajic, Blade of the Legion",1428
"Teysa, Envoy of Ghosts",4096
Tithe Drinker,3188
Trostani's Summoner,1450
Unflinching Courage,3279
"Varolz, the Scar-Striped",1231
Viashino Firstblade,71
Voice of Resurgence,1943
Vorel of the Hull Clade,5338
Warleader's Helix,836
Warped Physique,90
Woodlot Crawler,36
Zhur-Taa Ancient,1285
Zhur-Taa Druid,3397
Alive,205
Armed,198
Beck,385
Breaking,244
Catch,127
Down,136
Far,1027
Flesh,256
Give,894
Profit,46
Protect,28
Ready,738
Toil,219
Turn,649
Wear,8501
Azorius Cluestone,2529
Boros Cluestone,2759
Dimir Cluestone,2648
Golgari Cluestone,1294
Gruul Cluestone,963
Izzet Cluestone,3195
Orzhov Cluestone,2687
Rakdos Cluestone,2196
Selesnya Cluestone,1080
Simic Cluestone,1107
Maze's End,3152
