names,edhrec
Scion of Ugin,120
"Anafenza, Kin-Tree Spirit",3102
Arashin Foremost,1003
Artful Maneuver,180
Aven Sunstriker,441
Aven Tactician,33
Battle Mastery,4148
Center Soul,312
Champion of Arashin,44
Dragon Hunter,133
Dragon's Eye Sentry,211
Dromoka Captain,116
Dromoka Dunecaster,15
Dromoka Warrior,20
Echoes of the Kin Tree,122
Enduring Victory,42
Fate Forgotten,439
Glaring Aegis,203
Gleam of Authority,382
Graceblade Artisan,283
Great Teacher's Decree,87
Herald of Dromoka,1139
Hidden Dragonslayer,359
Lightwalker,20
Misthoof Kirin,17
Myth Realized,1089
Ojutai Exemplars,414
Orator of Ojutai,1185
Profound Journey,425
Radiant Purge,291
Resupply,39
Sandcrafter Mage,21
Sandstorm Charger,8
Scale Blessing,187
Secure the Wastes,5277
Shieldhide Dragon,174
Silkwrap,89
Strongarm Monk,288
Student of Ojutai,200
Sunscorch Regent,5397
Surge of Righteousness,16
Territorial Roc,32
Ancient Carp,18
Belltoll Dragon,252
Blessed Reincarnation,168
Clone Legion,4420
Contradict,236
Dance of the Skywise,26
Dirgur Nemesis,41
Dragonlord's Prerogative,470
Elusive Spellfist,177
Encase in Ice,34
Glint,95
Gudul Lurker,2832
Gurmag Drowner,159
Icefall Regent,855
Illusory Gains,249
Learn from the Past,845
Living Lore,154
Mirror Mockery,810
Monastery Loremaster,182
Mystic Meditation,46
Ojutai Interceptor,26
Ojutai's Breath,148
Ojutai's Summons,61
Palace Familiar,174
Profaner of the Dead,1202
Qarsi Deceiver,256
Reduce in Stature,26
Shorecrasher Elemental,173
Sidisi's Faithful,768
Sight Beyond Sight,65
Silumgar Sorcerer,534
Silumgar Spell-Eater,374
Silumgar's Scorn,261
Skywise Teachings,466
Stratus Dancer,3041
Taigam's Strike,135
Updraft Elemental,11
Void Squall,31
Youthful Scholar,95
Zephyr Scribe,120
Acid-Spewer Dragon,184
Ambuscade Shaman,118
Blood-Chin Fanatic,525
Blood-Chin Rager,1210
Butcher's Glee,235
Coat with Venom,130
Corpseweft,122
Damnable Pact,3327
Deadly Wanderings,169
Death Wind,260
Deathbringer Regent,3412
Defeat,19
Dutiful Attendant,1193
Flatten,32
Foul Renewal,350
Foul-Tongue Invocation,146
Foul-Tongue Shriek,434
Gravepurge,1244
Hand of Silumgar,95
Hedonist's Trove,1016
Kolaghan Skirmisher,19
Marang River Skeleton,69
Marsh Hulk,14
Minister of Pain,151
Pitiless Horde,69
Qarsi Sadist,137
Rakshasa Gravecaller,213
Reckless Imp,42
Risen Executioner,1823
Self-Inflicted Wound,17
Shambling Goblin,114
Sibsig Icebreakers,101
"Sidisi, Undead Vizier",17475
Silumgar Assassin,1368
Silumgar Butcher,33
Ukud Cobra,55
Ultimate Price,1166
Virulent Plague,452
Vulturous Aven,418
Wandering Tombshell,33
Atarka Efreet,26
Atarka Pummeler,98
Berserkers' Onslaught,3935
Commune with Lava,1794
Crater Elemental,138
Descent of the Dragons,1375
Draconic Roar,229
Dragon Fodder,5414
Dragon Tempest,6958
Dragon Whisperer,473
Dragonlord's Servant,4092
Hardened Berserker,132
Impact Tremors,14938
Ire Shaman,133
Kolaghan Aspirant,15
Kolaghan Forerunners,163
Kolaghan Stormsinger,54
Lightning Berserker,179
Lose Calm,229
Qal Sisma Behemoth,25
Rending Volley,43
Roast,192
Sabertooth Outrider,22
Sarkhan's Rage,42
Sarkhan's Triumph,3111
Screamreach Brawler,45
Seismic Rupture,29
Sprinting Warbrute,43
Stormcrag Elemental,22
Stormwing Dragon,144
Summit Prowler,13
Tail Slash,129
Thunderbreak Regent,2421
Twin Bolt,136
Vandalize,98
Volcanic Rush,56
Volcanic Vision,4671
Warbringer,63
Zurgo Bellstriker,474
Aerie Bowmasters,42
Ainok Artillerist,39
Ainok Survivalist,2689
Assault Formation,3434
Atarka Beastbreaker,34
Avatar of the Resolute,879
Circle of Elders,164
Collected Company,524
Colossodon Yearling,19
Conifer Strider,60
Deathmist Raptor,1806
Den Protector,5013
Display of Dominance,74
Dragon-Scarred Bear,790
Dromoka's Gift,55
Epic Confrontation,342
Explosive Vegetation,31269
Foe-Razer Regent,1373
Glade Watcher,37
Guardian Shield-Bearer,47
Herdchaser Dragon,163
Inspiring Call,8447
Lurking Arynx,49
Obscuring Aether,624
Pinion Feast,42
Press the Advantage,20
Revealing Wind,36
Salt Road Ambushers,898
Salt Road Quartermasters,39
Sandsteppe Scavenger,23
Scaleguard Sentinels,51
Segmented Krotiq,18
Servant of the Scale,370
Shaman of Forgotten Ways,5243
Shape the Sands,131
Sheltered Aerie,613
Sight of the Scalelords,1510
Stampeding Elk Herd,194
Sunbringer's Touch,157
"Surrak, the Hunt Caller",2746
Tread Upon,37
Arashin Sovereign,206
Atarka's Command,722
Boltwing Marauder,541
Cunning Breezedancer,156
Dragonlord Atarka,2921
Dragonlord Dromoka,5444
Dragonlord Kolaghan,1773
Dragonlord Ojutai,2449
Dragonlord Silumgar,3430
Dromoka's Command,1848
Enduring Scalelord,1283
Harbinger of the Hunt,672
Kolaghan's Command,2543
Narset Transcendent,5382
Necromaster Dragon,593
Ojutai's Command,1728
Pristine Skywise,422
Ruthless Deathfang,210
Sarkhan Unbroken,2739
Savage Ventmaw,6659
Silumgar's Command,2710
Swift Warkite,276
Ancestral Statue,1773
Atarka Monument,446
Custodian of the Trove,35
Dragonloft Idol,33
Dromoka Monument,268
Gate Smasher,88
Keeper of the Lens,50
Kolaghan Monument,630
Ojutai Monument,570
Silumgar Monument,420
Spidersilk Net,1312
Stormrider Rig,326
Tapestry of the Ages,79
Vial of Dragonfire,50
Haven of the Spirit Dragon,5466
