names,edhrec
Abundant Maw,71
Decimator of the Provinces,2061
Distended Mindbender,395
Drownyard Behemoth,108
Elder Deep-Fiend,1528
"Emrakul, the Promised End",8022
Eternal Scourge,1830
It of the Horrid Swarm,103
Lashweed Lurker,116
Mockery of Nature,349
Vexing Scuttler,262
Wretched Gryff,129
Blessed Alliance,688
Borrowed Grace,47
Choking Restraints,188
Collective Effort,2357
Courageous Outrider,162
Dawn Gryff,9
Deploy the Gatewatch,2033
Desperate Sentry,110
Drogskol Shieldmate,61
Extricator of Sin,121
Faith Unbroken,831
Faithbearer Paladin,54
Fiend Binder,21
Geist of the Lonely Vigil,35
"Gisela, the Broken Blade",5043
Give No Ground,119
Guardian of Pilgrims,16
Ironclad Slayer,638
Ironwright's Cleansing,139
Lone Rider,1217
Long Road Home,1398
Lunarch Mantle,132
Peace of Mind,55
Providence,31
Repel the Abominable,368
Sanctifier of Souls,58
Selfless Spirit,6777
Sigarda's Aid,7750
Sigardian Priest,57
Spectral Reserves,124
Steadfast Cathar,24
Subjugator Angel,805
"Thalia, Heretic Cathar",11417
Thalia's Lancers,4755
Thraben Standard Bearer,83
Advanced Stitchwing,155
Chilling Grasp,73
Coax from the Blind Eternities,116
Contingency Plan,656
Curious Homunculus,3006
Displace,3803
Docent of Perfection,6602
Drag Under,175
Enlightened Maniac,51
Exultant Cultist,67
Fogwalker,114
Fortune's Favor,418
Geist of the Archives,1547
Grizzled Angler,41
Identity Thief,1201
Imprisoned in the Moon,11715
Ingenious Skaab,45
Laboratory Brute,106
Lunar Force,314
Mausoleum Wanderer,1416
Mind's Dilation,6999
Nebelgast Herald,286
Niblis of Frost,1445
Scour the Laboratory,97
Spontaneous Mutation,62
Summary Dismissal,2526
Take Inventory,8
Tattered Haunter,19
Turn Aside,1654
Unsubstantiate,2798
Wharf Infiltrator,1201
Boon of Emrakul,17
Borrowed Malevolence,20
Cemetery Recruitment,775
Certain Death,75
Collective Brutality,945
Cryptbreaker,4999
Dark Salvation,2704
Dusk Feaster,29
Gavony Unhallowed,386
Graf Harvest,1845
Graf Rats,226
Haunted Dead,477
"Liliana, the Last Hope",2689
Liliana's Elite,498
Markov Crusader,106
Murder,10885
Noosegraf Mob,3898
Oath of Liliana,2011
Olivia's Dragoon,400
Prying Questions,16
Rise from the Grave,2297
Ruthless Disposal,114
Skirsdag Supplicant,41
Strange Augmentation,37
Stromkirk Condemned,860
Succumb to Temptation,1560
Thraben Foulbloods,66
Tree of Perdition,3878
Vampire Cutthroat,1587
Voldaren Pariah,2573
Wailing Ghoul,221
Weirded Vampire,702
Whispers of Emrakul,68
Abandon Reason,528
Alchemist's Greeting,1199
Assembled Alphas,240
Bedlam Reveler,776
Blood Mist,1700
Bold Impaler,184
Borrowed Hostility,910
Brazen Wolves,37
Collective Defiance,2523
Conduit of Storms,419
Deranged Whelp,30
Distemper of the Blood,686
Falkenrath Reaver,42
Furyblade Vampire,177
Galvanic Bombardment,6
Harmless Offering,874
Impetuous Devils,227
Incendiary Flow,330
Insatiable Gorgers,764
Make Mischief,359
Mirrorwing Dragon,2184
Nahiri's Wrath,521
Otherworldly Outburst,712
Prophetic Ravings,191
Savage Alliance,148
Shreds of Sanity,833
Smoldering Werewolf,287
Spreading Flames,41
Stensia Banquet,223
Stensia Innkeeper,28
Stromkirk Occultist,2096
Thermo-Alchemist,4321
Vildin-Pack Outcast,148
Weaver of Lightning,172
Backwoods Survivalists,18
Bloodbriar,221
Clear Shot,217
Crop Sigil,631
Crossroads Consecrator,19
Eldritch Evolution,10560
Emrakul's Evangel,524
Emrakul's Influence,225
Foul Emissary,81
Gnarlwood Dryad,306
Grapple with the Past,3897
Hamlet Captain,335
"Ishkanah, Grafwidow",549
Kessig Prowler,211
Noose Constrictor,1270
Permeating Mass,324
Primal Druid,675
Shrill Howler,216
Somberwald Stag,768
Spirit of the Hunt,846
Splendid Reclamation,11853
Springsage Ritual,103
Swift Spinner,220
Tangleclaw Werewolf,172
Ulvenwald Captive,1013
Ulvenwald Observer,962
Waxing Moon,413
Wolfkin Bond,224
Woodcutter's Grit,136
Woodland Patrol,9
Bloodhall Priest,1524
Campaign of Vengeance,810
Gisa and Geralf,2622
Grim Flayer,1039
Heron's Grace Champion,500
Mercurial Geists,178
Mournwillow,47
Ride Down,649
Spell Queller,991
"Tamiyo, Field Researcher",5902
Ulrich of the Krallenhorde,389
Cathar's Shield,1582
Cryptolith Fragment,2976
Cultist's Staff,65
Field Creeper,381
Geist-Fueled Scarecrow,47
Lupine Prototype,788
Slayer's Cleaver,30
Soul Separator,173
Stitcher's Graft,114
Terrarion,1372
Thirsting Axe,29
Geier Reach Sanitarium,15470
Hanweir Battlements,7532
Nephalia Academy,2331
