names,edhrec
Archon of Justice,2418
Ballynock Trapper,92
Cenn's Enlistment,179
Endless Horizons,1070
Endure,26
Flickerwisp,3692
Hallowed Burial,2259
Kithkin Spellduster,134
Kithkin Zealot,25
Light from Within,170
Loyal Gyrfalcon,5
Patrol Signaler,158
Recumbent Bliss,154
Spirit of the Hearth,1144
Springjack Shepherd,273
Suture Spirit,24
Banishing Knack,362
Cache Raiders,38
Dream Fracture,3290
Dream Thief,130
Glamerdye,287
Glen Elendra Archmage,10039
Idle Thoughts,8
Indigo Faerie,40
Inundate,1274
Merrow Levitator,90
Oona's Grace,746
Razorfin Abolisher,62
Sanity Grinding,70
Talonrend,4
Wake Thrasher,845
Wilderness Hypnotist,7
"Ashling, the Extinguisher",388
Creakwood Ghoul,16
Crumbling Ashes,1787
Lingering Tormentor,215
Merrow Bonegnawer,30
Necroskitter,3225
Needle Specter,405
Nightmare Incursion,152
Raven's Crime,857
Smoldering Butcher,102
Soot Imp,193
Soul Reap,28
Soul Snuffers,1724
Syphon Life,144
Talara's Bane,6
Umbra Stalker,42
Chaotic Backlash,10
Cinder Pyromancer,678
Duergar Cave-Guard,49
Fiery Bombardment,12
Flame Jab,231
Hatchet Bully,18
Hateflayer,817
Heartlash Cinder,72
Hotheaded Giant,10
Impelled Giant,53
Outrage Shaman,151
Puncture Blast,320
Rekindled Flame,41
Stigma Lasher,802
Thunderblust,559
Unwilling Recruit,198
Aerie Ouphes,315
Bloom Tender,8703
Duskdale Wurm,133
Helix Pinnacle,2333
Marshdrinker Giant,19
Monstrify,44
Nettle Sentinel,715
Phosphorescent Feast,16
Primalcrux,341
Regal Force,7005
Savage Conception,44
Swirling Spriggan,2
Talara's Battalion,424
Tilling Treefolk,867
Twinblade Slasher,110
Wickerbough Elder,2713
Batwing Brume,418
Beckon Apparition,163
Bloodied Ghost,1
Cauldron Haze,261
Deathbringer Liege,443
Divinity of Pride,3055
Edge of the Divinity,479
Evershrike,40
Gwyllion Hedge-Mage,50
Harvest Gwyllion,13
Nightsky Mimic,21
Nip Gwyllion,45
Pyrrhic Revival,155
Restless Apparition,86
Stillmoon Cavalier,215
Unmake,1755
Voracious Hatchling,39
Call the Skybreaker,549
Clout of the Dominus,740
Crackleburr,91
Crag Puca,5
Dominus of Fealty,1143
Inside Out,50
Mindwrack Liege,467
Mirror Sheen,127
Noggle Bandit,20
Noggle Bridgebreaker,3
Noggle Hedge-Mage,35
Noggle Ransacker,114
Nucklavee,211
Riverfall Mimic,4
Shrewd Hatchling,47
Stream Hopper,9
Unnerving Assault,8
Canker Abomination,182
Cankerous Thirst,54
Creakwood Liege,3085
Deity of Scars,467
Desecrator Hag,83
Doomgape,489
Drain the Well,40
Gift of the Deity,293
Hag Hedge-Mage,51
Noxious Hatchling,531
Odious Trow,13
Quillspike,1043
Rendclaw Trow,344
Sapling of Colfenor,739
Stalker Hag,26
Woodlurker Mimic,36
Worm Harvest,4420
Balefire Liege,1751
Battlegate Mimic,11
Belligerent Hatchling,22
Double Cleave,855
Duergar Assailant,45
Duergar Hedge-Mage,2456
Duergar Mine-Captain,395
Figure of Destiny,364
Fire at Will,24
Hearthfire Hobgoblin,112
Hobgoblin Dragoon,37
Moonhold,23
Nobilis of War,719
Rise of the Hobgoblins,256
Scourge of the Nobilis,533
Spitemare,477
Waves of Aggression,1312
Cold-Eyed Selkie,4576
Fable of Wolf and Owl,581
Favor of the Overbeing,526
Gilder Bairn,966
Grazing Kelpie,41
Groundling Pouncer,6
Invert the Skies,39
Murkfiend Liege,3823
Overbeing of Myth,900
Selkie Hedge-Mage,116
Shorecrasher Mimic,16
Slippery Bogle,681
Snakeform,513
Spitting Image,1205
Sturdy Hatchling,31
Trapjaw Kelpie,13
Wistful Selkie,552
Altar Golem,67
Antler Skulkin,423
Fang Skulkin,506
Hoof Skulkin,305
Jawbone Skulkin,480
Leering Emblem,259
Scarecrone,1433
Shell Skulkin,524
Ward of Bones,1023
Cascade Bluffs,10753
Fetid Heath,9112
Flooded Grove,10929
Rugged Prairie,8403
Springjack Pasture,2066
Twilight Mire,8610
