names,edhrec
Farrel's Mantle,10
Farrelite Priest,21
Hand of Justice,62
Heroism,0
Icatian Lieutenant,8
Icatian Phalanx,22
Icatian Priest,8
Icatian Skirmishers,30
Icatian Town,8
Deep Spawn,32
Homarid Shaman,86
Homarid Spawning Bed,108
River Merfolk,13
Seasinger,208
Svyelunite Priest,8
Tidal Influence,11
Vodalian Knights,10
Vodalian War Machine,3
Breeding Pit,171
Derelor,3
Ebon Praetor,13
Soul Exchange,242
Thrull Champion,11
Thrull Retainer,298
Thrull Wizard,72
Tourach's Chant,22
Tourach's Gate,8
Dwarven Armorer,20
Dwarven Catapult,36
Dwarven Lieutenant,51
Goblin Flotilla,6
Goblin Kites,36
Goblin Warrens,904
Orcish Captain,107
Orgg,5
Raiding Party,4
Elvish Farmer,544
Feral Thallid,129
Fungal Bloom,356
Spore Flower,531
Thallid Devourer,791
Thelon's Chant,21
Thelon's Curse,4
Thelonite Druid,62
Thelonite Monk,43
Aeolipile,20
Balm of Restoration,7
Conch Horn,183
Delif's Cone,241
Delif's Cube,18
Draconian Cylix,8
Elven Lyre,7
Implements of Sacrifice,38
Ring of Renewal,14
Spirit Shield,8
Zelyon Sword,12
Bottomless Vault,297
Dwarven Hold,315
Dwarven Ruins,861
Ebon Stronghold,997
Havenwood Battleground,1235
Hollow Trees,263
Icatian Store,189
Rainbow Vale,873
Ruins of Trokair,211
Sand Silos,290
Svyelunite Temple,320
