names,edhrec
"Ugin, the Spirit Dragon",10325
Abzan Advantage,101
Abzan Runemark,124
Abzan Skycaptain,73
Arashin Cleric,77
Aven Skirmisher,267
Channel Harm,88
Citadel Siege,2766
Daghatar the Adamant,412
Dragon Bell Monk,63
Dragonscale General,866
Elite Scaleguard,1144
Great-Horn Krushok,9
Honor's Reward,45
Jeskai Barricade,2479
Lightform,624
Lotus-Eye Mystics,211
Mardu Woe-Reaper,866
Mastery of the Unseen,400
Monastery Mentor,3913
Rally the Ancestors,1578
Sage's Reverie,4011
Sandsteppe Outcast,98
Soul Summons,42
Soulfire Grand Master,822
Valorous Stance,2141
Wandering Champion,66
Wardscale Dragon,318
Aven Surveyor,42
Cloudform,879
Enhanced Awareness,56
Fascination,1465
Frost Walker,98
Jeskai Infiltrator,549
Jeskai Runemark,106
Jeskai Sage,160
Lotus Path Djinn,82
Marang River Prowler,600
Mindscour Dragon,167
Mistfire Adept,230
Monastery Siege,5569
Neutralizing Blast,130
Rakshasa's Disdain,262
Reality Shift,25033
Refocus,282
Renowned Weaponsmith,514
Rite of Undoing,86
Sage-Eye Avengers,198
Shifting Loyalties,182
"Shu Yun, the Silent Tempest",338
Sultai Skullkeeper,74
Supplant Form,2254
Temporal Trespass,5894
Torrent Elemental,781
Whisk Away,74
Will of the Naga,34
Write into Being,217
Alesha's Vanguard,40
Ancestral Vengeance,54
Archfiend of Depravity,7460
Battle Brawler,121
Brutal Hordechief,2537
Crux of Fate,11523
Dark Deal,5933
Diplomacy of the Wastes,45
Douse in Gloom,39
Fearsome Awakening,906
Ghastly Conscription,1708
Grave Strength,219
Gurmag Angler,393
Hooded Assassin,145
Mardu Shadowspear,307
Mardu Strike Leader,1049
Merciless Executioner,9581
Noxious Dragon,240
Orc Sureshot,236
Palace Siege,8246
Qarsi High Priest,114
Reach of Shadows,38
Sibsig Host,126
Sibsig Muckdraggers,125
Soulflayer,191
Sultai Emissary,485
Sultai Runemark,66
"Tasigur, the Golden Fang",1647
Tasigur's Cruelty,690
Typhoid Rats,837
"Alesha, Who Smiles at Death",2521
Arcbond,1912
Bathe in Dragonfire,99
Bloodfire Enforcers,81
Break Through the Line,399
Collateral Damage,208
Defiant Ogre,48
Dragonrage,514
Fierce Invocation,20
Flamerush Rider,1715
Flamewake Phoenix,481
Friendly Fire,25
Goblin Heelcutter,286
Gore Swine,28
Humble Defector,4222
Hungering Yeti,13
Lightning Shrieker,201
Mardu Runemark,74
Mardu Scout,252
Mob Rule,3091
Outpost Siege,8640
Pyrotechnics,46
Rageform,30
Shaman of the Great Hunt,1558
Shockmaw Dragon,240
Smoldering Efreet,7
Temur Battle Rage,4680
Vaultbreaker,82
Wild Slash,199
Abzan Beastmaster,1587
Abzan Kin-Guard,24
Ainok Guide,218
Ambush Krotiq,41
Arashin War Beast,56
Archers of Qarsi,39
Battlefront Krushok,335
Cached Defenses,51
Destructor Dragon,778
Feral Krushok,12
Formless Nurturing,33
Frontier Mastodon,74
Frontier Siege,4562
Fruit of the First Tree,380
Map the Wastes,818
Return to the Earth,344
Ruthless Instincts,97
Sandsteppe Mastodon,254
Shamanic Revelation,16870
Sudden Reclamation,696
Temur Runemark,103
Temur Sabertooth,12038
Temur War Shaman,890
Warden of the First Tree,303
Whisperer of the Wilds,2691
Whisperwood Elemental,2355
Wildcall,105
Winds of Qal Sisma,665
Yasova Dragonclaw,831
"Atarka, World Render",6122
Cunning Strike,87
"Dromoka, the Eternal",3172
Ethereal Ambush,157
Grim Contest,244
Harsh Sustenance,379
"Kolaghan, the Storm's Fury",3472
"Ojutai, Soul of Winter",2833
"Silumgar, the Drifting Death",3536
War Flare,163
Goblin Boom Keg,24
Hero's Blade,5396
Hewed Stone Retainers,23
Pilgrim of the Fires,89
Scroll of the Masters,1042
Ugin's Construct,44
Crucible of the Spirit Dragon,3013
