names,edhrec
Abuna's Chant,37
Armed Response,29
Auriok Champion,1865
Auriok Salvagers,999
Auriok Windwalker,539
Beacon of Immortality,2728
Bringer of the White Dawn,367
Circle of Protection: Artifacts,61
Leonin Squire,360
Loxodon Anchorite,30
Loxodon Stalwart,36
Raksha Golden Cub,1359
Retaliate,101
Roar of Reclamation,269
Skyhunter Prowler,121
Skyhunter Skirmisher,1458
Stand Firm,303
Stasis Cocoon,36
Steelshaper's Gift,6424
Vanquish,6
Acquire,1841
Advanced Hoverguard,24
Artificer's Intuition,734
Beacon of Tomorrows,4020
Blinkmoth Infusion,349
Bringer of the Blue Dawn,1015
Condescend,2231
Disruption Aura,7
Early Frost,36
Eyes of the Watcher,170
Fold into Aether,28
Hoverguard Sweepers,201
Into Thin Air,17
Plasma Elemental,32
Qumulox,40
Serum Visions,12006
Spectral Shift,182
Thought Courier,394
Trinket Mage,15681
Vedalken Mastermind,406
Beacon of Unrest,6598
Blind Creeper,7
Bringer of the Black Dawn,1090
Cackling Imp,22
Desecration Elemental,65
Devour in Shadow,586
Dross Crocodile,11
Ebon Drake,4
Endless Whispers,672
Fill with Fright,41
Fleshgrafter,2
Lose Hope,77
Mephidross Vampire,450
Moriok Rigger,73
Night's Whisper,12356
Nim Grotesque,6
Plunge into Darkness,2161
Relentless Rats,727
Shattered Dreams,12
Vicious Betrayal,9
Beacon of Destruction,385
Bringer of the Red Dawn,346
Cosmic Larva,103
Feedback Bolt,94
Furnace Whelp,250
Goblin Brawler,16
Granulate,20
Ion Storm,32
Iron-Barb Hellion,3
Krark-Clan Engineers,7
Krark-Clan Ogre,7
Magma Giant,275
Magma Jet,967
Magnetic Theft,1079
Mana Geyser,10062
Rain of Rust,18
Reversal of Fortune,98
Screaming Fury,236
Spark Elemental,247
Vulshok Sorcerer,570
All Suns' Dawn,1229
Beacon of Creation,708
Bringer of the Green Dawn,279
Channel the Suns,223
Dawn's Reflection,3187
Eternal Witness,60808
Fangren Pathcutter,41
Ferocious Charge,29
Joiner Adept,1189
Ouphe Vandals,26
Rite of Passage,556
Rude Awakening,2138
Sylvok Explorer,461
Tangle Asp,176
Tel-Jilad Justice,43
Tel-Jilad Lifebreather,9
Tornado Elemental,1019
Tyrranax,6
Viridian Lorebearers,10
Viridian Scout,6
Anodet Lurker,10
Arachnoid,90
Arcbound Wanderer,80
Avarice Totem,276
Baton of Courage,10
Battered Golem,268
Blasting Station,3750
Chimeric Coils,26
Clearwater Goblet,235
Clock of Omens,4218
Composite Golem,280
Conjurer's Bauble,2490
Cranial Plating,3373
Crucible of Worlds,18114
Door to Nothingness,2022
Doubling Cube,3679
Energy Chamber,619
Engineered Explosives,695
Ensouled Scimitar,221
Eon Hub,183
Etched Oracle,811
Ferropede,314
Fist of Suns,4850
Gemstone Array,1011
Goblin Cannon,183
Grafted Wargear,739
Grinding Station,1202
Guardian Idol,3060
Healer's Headdress,15
Heliophial,12
Helm of Kaldra,1311
Horned Helm,173
Infused Arrows,42
Krark-Clan Ironworks,6550
Lantern of Insight,946
Lunar Avenger,37
Mycosynth Golem,1355
Myr Quadropod,65
Myr Servitor,61
Neurok Stealthsuit,2500
Opaline Bracers,58
Paradise Mantle,2889
Pentad Prism,1133
Possessed Portal,705
Razorgrass Screen,29
Razormane Masticore,54
Relic Barrier,86
Salvaging Station,855
Sawtooth Thresher,14
Silent Arbiter,5446
Skullcage,369
Skyreach Manta,37
Solarion,109
Sparring Collar,69
Spinal Parasite,22
Staff of Domination,4436
Summoner's Egg,493
Summoning Station,392
Suncrusher,119
Suntouched Myr,79
Synod Centurion,8
Thermal Navigator,153
Vedalken Orrery,14757
Vedalken Shackles,2058
Wayfarer's Bauble,37082
