names,edhrec
Abbey Gargoyles,19
Akron Legionnaire,18
Alabaster Potion,41
Angry Mob,53
Animate Wall,113
Arenson's Aura,67
Armageddon,6162
Armor of Faith,46
Aysen Bureaucrats,11
Benalish Hero,42
Blessed Wine,29
Blinking Spirit,123
Brainwash,74
Caribou Range,47
Castle,256
Circle of Protection: Artifacts,61
Circle of Protection: Black,189
Circle of Protection: Blue,140
Circle of Protection: Green,170
Circle of Protection: Red,185
Circle of Protection: White,331
Crusade,862
D'Avenant Archer,24
Death Speakers,8
Death Ward,195
Disenchant,7520
Divine Offering,377
Divine Transformation,32
Dust to Dust,167
Eye for an Eye,49
Greater Realm of Preservation,11
Heal,549
Healing Salve,52
Hipparion,6
Holy Strength,97
Icatian Phalanx,22
Icatian Scout,11
Icatian Town,8
Island Sanctuary,1476
Ivory Guardians,1
Justice,21
Karma,228
Kismet,1839
Kjeldoran Royal Guard,42
Kjeldoran Skycaptain,28
Mesa Falcon,16
Mesa Pegasus,53
Order of the Sacred Torch,222
Order of the White Shield,57
Pearled Unicorn,14
Personal Incarnation,13
Pikemen,34
Prismatic Ward,40
Repentant Blacksmith,6
Reverse Damage,121
Righteousness,265
Sacred Boon,4
Samite Healer,23
Seraph,21
Serra Bestiary,8
Serra Paladin,4
Shield Bearer,37
Shield Wall,40
Spirit Link,712
Truce,279
Tundra Wolves,231
Wall of Swords,230
White Knight,576
Wrath of God,26411
Aether Storm,44
Air Elemental,132
Anti-Magic Aura,27
Azure Drake,8
Binding Grasp,60
Boomerang,1485
Brainstorm,58666
Counterspell,87830
Dance of Many,857
Dandan,35
Dark Maze,13
Deflection,98
Drain Power,231
Energy Flux,974
Enervate,28
Feedback,7
Flight,47
Flood,147
Force Spike,1217
Forget,21
Gaseous Form,51
Glacial Wall,1393
Homarid Warrior,17
Hurkyl's Recall,2406
Hydroblast,356
Juxtapose,119
Krovikan Sorcerer,66
Labyrinth Minotaur,6
Leviathan,50
Lifetap,25
Lord of Atlantis,1644
Magical Hack,45
Magus of the Unseen,120
Memory Lapse,3677
Merfolk of the Pearl Trident,29
Mind Bomb,48
Phantasmal Forces,4
Phantasmal Terrain,50
Phantom Monster,11
Pirate Ship,146
Portent,4115
Power Sink,1007
Prodigal Sorcerer,474
Psychic Venom,28
Ray of Command,506
Recall,514
Reef Pirates,38
Remove Soul,530
Sea Serpent,17
Sea Spirit,10
Sea Sprite,52
Seasinger,207
Segovian Leviathan,25
Sibilant Spirit,14
Sleight of Mind,212
Soul Barrier,155
Spell Blast,135
Stasis,2605
Steal Artifact,423
Time Elemental,40
Twiddle,192
Unstable Mutation,89
Unsummon,2331
Updraft,12
Vodalian Soldiers,8
Wall of Air,658
Wind Spirit,7
Zephyr Falcon,34
Zur's Weirding,891
Abyssal Specter,420
Animate Dead,24469
Ashes to Ashes,1196
Bad Moon,1219
Black Knight,501
Blight,71
Bog Imp,15
Bog Rats,67
Bog Wraith,17
Breeding Pit,171
Broken Visage,19
Carrion Ants,18
Cloak of Confusion,18
Cursed Land,30
Dark Ritual,21545
Deathgrip,158
Derelor,3
Drain Life,483
Drudge Skeletons,129
Erg Raiders,6
Evil Eye of Orms-by-Gore,22
Evil Presence,62
Fallen Angel,369
Fear,195
Frozen Shade,26
Funeral March,16
Gloom,48
Greater Werewolf,6
Hecatomb,106
Howl from Beyond,379
Initiates of the Ebon Hand,75
Kjeldoran Dead,108
Knight of Stromgald,58
Krovikan Fetish,8
Leshrac's Rite,29
Lord of the Pit,161
Lost Soul,19
Mind Ravel,9
Mind Warp,13
Mindstab Thrull,25
Mole Worms,8
Murk Dwellers,2
Necrite,9
Necropotence,19135
Nether Shadow,183
Nightmare,603
Paralyze,64
Pestilence,2998
Pit Scorpion,31
Plague Rats,25
Pox,909
Rag Man,60
Raise Dead,620
Scathe Zombies,11
Sengir Autocrat,2212
Sorceress Queen,278
Stromgald Cabal,118
Terror,829
The Wretched,31
Thrull Retainer,298
Torture,104
Touch of Death,5
Unholy Strength,87
Vampire Bats,20
Wall of Bone,190
Warp Artifact,5
Weakness,4
Xenic Poltergeist,153
Zombie Master,2625
Ambush Party,7
Atog,190
Ball Lightning,690
Bird Maiden,7
Blood Lust,107
Brassclaw Orcs,3
Brothers of Fire,10
Cave People,5
Conquer,41
Crimson Manticore,3
Detonate,64
