names,edhrec
Alabaster Potion,41
Amrou Kithkin,38
Angry Mob,53
Animate Wall,113
Armageddon,6162
Balance,4
Benalish Hero,42
Black Ward,82
Blessing,87
Blue Ward,83
Brainwash,74
Castle,256
Circle of Protection: Artifacts,61
Circle of Protection: Black,189
Circle of Protection: Blue,140
Circle of Protection: Green,170
Circle of Protection: Red,185
Circle of Protection: White,331
Conversion,23
Crusade,862
Death Ward,195
Disenchant,7520
Divine Transformation,32
Elder Land Wurm,14
Eye for an Eye,49
Fortified Area,187
Green Ward,75
Healing Salve,52
Holy Armor,18
Holy Strength,97
Island Sanctuary,1476
Karma,228
Kismet,1839
Land Tax,16156
Mesa Pegasus,53
Morale,6
Northern Paladin,150
Osai Vultures,11
Pearled Unicorn,14
Personal Incarnation,13
Piety,4
Pikemen,34
Purelace,5
Red Ward,80
Reverse Damage,121
Righteousness,265
Samite Healer,23
Savannah Lions,435
Seeker,24
Serra Angel,909
Spirit Link,712
Swords to Plowshares,93922
Tundra Wolves,231
Visions,15
Wall of Swords,230
White Knight,576
White Ward,40
Wrath of God,26411
Air Elemental,132
Animate Artifact,21
Apprentice Wizard,628
Backfire,28
Blue Elemental Blast,643
Control Magic,4343
Counterspell,87830
Creature Bond,10
Drain Power,231
Energy Flux,974
Energy Tap,218
Erosion,11
Feedback,7
Flight,47
Flood,147
Gaseous Form,51
Ghost Ship,60
Giant Tortoise,26
Hurkyl's Recall,2406
Island Fish Jasconius,13
Jump,9
Leviathan,50
Lifetap,25
Lord of Atlantis,1644
Magical Hack,45
Mahamoti Djinn,54
Mana Short,265
Merfolk of the Pearl Trident,29
Mind Bomb,48
Phantasmal Forces,4
Phantasmal Terrain,50
Phantom Monster,11
Pirate Ship,146
Power Leak,16
Power Sink,1007
Prodigal Sorcerer,474
Psionic Entity,4
Psychic Venom,28
Relic Bind,5
Sea Serpent,17
Segovian Leviathan,25
Sindbad,26
Siren's Call,38
Sleight of Mind,212
Spell Blast,135
Stasis,2605
Steal Artifact,423
Sunken City,37
Thoughtlace,7
Time Elemental,40
Twiddle,192
Unstable Mutation,89
Unsummon,2331
Volcanic Eruption,21
Wall of Air,658
Wall of Water,60
Water Elemental,8
Zephyr Falcon,34
Abomination,19
Animate Dead,24469
Ashes to Ashes,1196
Bad Moon,1219
Black Knight,501
Blight,71
Bog Imp,15
Bog Wraith,17
Carrion Ants,18
Cosmic Horror,9
Cursed Land,30
Cyclopean Mummy,4
Dark Ritual,21545
Deathgrip,158
Deathlace,5
Drain Life,483
Drudge Skeletons,129
El-Hajjâj,5
Erg Raiders,6
Evil Presence,62
Fear,195
Frozen Shade,26
Gloom,48
Greed,6563
Howl from Beyond,379
Hypnotic Specter,1204
Junún Efreet,2
Lord of the Pit,161
Lost Soul,19
Marsh Gas,7
Mind Twist,963
Murk Dwellers,2
Nether Shadow,183
Nightmare,603
Paralyze,64
Pestilence,2998
Pit Scorpion,31
Plague Rats,25
Rag Man,60
Raise Dead,620
Royal Assassin,2590
Scathe Zombies,11
Scavenging Ghoul,6
Sengir Vampire,277
Simulacrum,64
Sorceress Queen,278
Spirit Shackle,8
Terror,829
Uncle Istvan,59
Unholy Strength,87
Vampire Bats,20
Wall of Bone,190
Warp Artifact,5
Weakness,4
Will-o'-the-Wisp,321
Word of Binding,27
Xenic Poltergeist,153
Zombie Master,2625
Ali Baba,7
Ball Lightning,690
Bird Maiden,7
Blood Lust,107
Brothers of Fire,10
Burrowing,31
Cave People,5
Chaoslace,7
Crimson Manticore,3
Detonate,64
Disintegrate,324
Dragon Whelp,224
Dwarven Warriors,44
Earth Elemental,11
Earthquake,7669
Eternal Warrior,86
Fire Elemental,81
Fireball,3103
Firebreathing,128
Fissure,248
Flashfires,141
Giant Strength,44
Goblin Balloon Brigade,214
Goblin King,3404
Goblin Rock Sled,4
Gray Ogre,7
Hill Giant,10
Hurloon Minotaur,16
Hurr Jackal,8
Immolation,31
Inferno,547
Ironclaw Orcs,8
Keldon Warlord,89
Lightning Bolt,9880
Magnetic Mountain,98
Mana Clash,793
Mana Flare,2458
Manabarbs,3843
Mons's Goblin Raiders,21
Orcish Artillery,29
Orcish Oriflamme,101
Power Surge,65
Pyrotechnics,46
Red Elemental Blast,13011
Shatter,391
Shivan Dragon,815
Sisters of the Flame,85
Smoke,1799
Stone Giant,10
Stone Rain,560
Tempest Efreet,0
The Brute,60
Tunnel,4
Uthden Troll,15
Wall of Dust,61
Wall of Fire,117
Wall of Stone,149
Winds of Change,4216
Aspect of Wolf,113
Birds of Paradise,41191
Carnivorous Plant,21
Channel,1
Cockatrice,48
Craw Wurm,49
Crumble,63
Desert Twister,1005
Durkwood Boars,19
Elven Riders,46
Elvish Archers,49
Fog,3139
Force of Nature,21
Fungusaur,180
Gaea's Liege,70
Giant Growth,1137
Giant Spider,219
Grizzly Bears,960
Hurricane,1550
Instill Energy,1542
Ironroot Treefolk,18
Killer Bees,93
Land Leeches,1
Ley Druid,212
Lifeforce,185
Lifelace,2
Living Artifact,9
Living Lands,78
Llanowar Elves,44866
Lure,633
Marsh Viper,182
Nafs Asp,28
Pradesh Gypsies,1
Radjan Spirit,7
Rebirth,0
Regeneration,243
Sandstorm,13
Scryb Sprites,807
Shanodin Dryads,146
Stream of Life,204
Sylvan Library,32706
Thicket Basilisk,22
Timber Wolves,48
Titania's Song,205
Tranquility,262
Tsunami,129
Untamed Wilds,341
Venom,43
Verduran Enchantress,5586
Wall of Brambles,46
Wall of Ice,655
Wall of Wood,82
Wanderlust,12
War Mammoth,27
Web,34
Whirling Dervish,24
Wild Growth,13894
Winter Blast,30
Aladdin's Lamp,57
Aladdin's Ring,51
Amulet of Kroog,10
Ankh of Mishra,1989
Armageddon Clock,146
Ashnod's Battle Gear,9
Battering Ram,29
Black Mana Battery,65
Black Vise,530
Blue Mana Battery,69
Bottle of Suleiman,76
Brass Man,38
Bronze Tablet,0
Celestial Prism,39
Clay Statue,16
Clockwork Avian,15
Clockwork Beast,12
Colossus of Sardia,68
Conservator,3
Coral Helm,3
Crystal Rod,21
Cursed Rack,123
Dancing Scimitar,45
Diabolic Machine,5
Dingus Egg,604
Disrupting Scepter,35
Dragon Engine,22
Ebony Horse,67
Fellwar Stone,58288
Flying Carpet,37
Glasses of Urza,474
Grapeshot Catapult,4
Green Mana Battery,30
Helm of Chatzuk,88
Howling Mine,10524
Iron Star,18
Ivory Cup,17
Ivory Tower,703
Jade Monolith,264
Jandor's Saddlebags,438
Jayemdae Tome,308
Kormus Bell,317
Library of Leng,5848
Mana Vault,32411
Meekstone,4688
Millstone,321
Mishra's War Machine,19
Nevinyrral's Disk,19104
Obsianus Golem,10
Onulet,5
Ornithopter,6563
Primal Clay,84
Red Mana Battery,65
Rod of Ruin,35
Shapeshifter,28
Soul Net,42
Sunglasses of Urza,44
Tawnos's Wand,32
Tawnos's Weaponry,2
Tetravus,64
The Hive,38
The Rack,366
Throne of Bone,39
Triskelion,5172
Urza's Avenger,29
Wall of Spears,54
White Mana Battery,35
Winter Orb,8245
Wooden Sphere,16
Yotian Soldier,39
Mishra's Factory,3047
Oasis,137
Strip Mine,32233
Plains,159169
Island,184024
Swamp,178660
Mountain,163742
Forest,172073
