names,edhrec
Aerial Maneuver,39
Angelic Edict,143
Angelic Skirmisher,3328
Assault Griffin,55
Basilica Guards,432
Blind Obedience,17981
Boros Elite,305
Court Street Denizen,398
Daring Skyjek,104
Debtor's Pulpit,25
Dutiful Thrull,25
Frontline Medic,2256
"Gideon, Champion of Justice",1136
Guardian of the Gateless,844
Guildscorn Ward,167
Hold the Gates,255
Holy Mantle,1806
Knight of Obligation,296
Knight Watch,78
Luminate Primordial,2040
Murder Investigation,470
Nav Squad Commandos,25
Righteous Charge,47
Shielded Passage,83
Smite,135
Syndic of Tithes,410
Urbis Protector,209
Zarichi Tiger,28
Aetherize,11752
Agoraphobia,37
Clinging Anemones,106
Cloudfin Raptor,1094
Diluvian Primordial,7766
Enter the Infinite,4108
Frilled Oculus,8
Gridlock,115
Hands of Binding,346
Incursion Specialist,50
Keymaster Rogue,103
Last Thoughts,306
Leyline Phantom,25
Metropolis Sprite,48
Mindeye Drake,32
Rapid Hybridization,18504
Realmwright,377
Sage's Row Denizen,412
Sapphire Drake,371
Scatter Arc,166
Simic Fluxmage,291
Simic Manipulator,1965
Skygames,23
Spell Rupture,230
Stolen Identity,4339
Voidwalk,369
Way of the Thief,65
Balustrade Spy,731
Basilica Screecher,930
Contaminated Ground,113
Corpse Blockade,166
Crypt Ghast,18409
Death's Approach,84
Devour Flesh,203
Dying Wish,206
Gateway Shade,69
Grisly Spectacle,2043
Gutter Skulk,69
Horror of the Dim,37
Illness in the Ranks,430
Killing Glare,109
Lord of the Void,3684
Mental Vapors,82
Midnight Recovery,198
Ogre Slumlord,5401
Sepulchral Primordial,9395
Shadow Alley Denizen,1332
Shadow Slice,72
Slate Street Ruffian,27
Smog Elemental,27
Syndicate Enforcer,357
Thrull Parasite,1372
Undercity Informer,852
Undercity Plague,292
Wight of Precinct Six,2304
Bomber Corps,57
Cinder Elemental,139
Crackling Perimeter,263
Ember Beast,11
Firefist Striker,103
Five-Alarm Fire,306
Foundry Street Denizen,1192
Furious Resistance,51
Hellkite Tyrant,8807
Hellraiser Goblin,344
Homing Lightning,34
Legion Loyalist,2703
Madcap Skills,895
Mark for Death,42
Massive Raid,1656
Molten Primordial,4364
Mugging,34
Ripscale Predator,202
Scorchwalker,91
Skinbrand Goblin,84
Skullcrack,495
Structural Collapse,17
Tin Street Market,46
Towering Thunderfist,28
Viashino Shanktail,41
Warmind Infantry,25
Wrecking Ogre,419
Adaptive Snapjaw,82
Alpha Authority,2449
Burst of Strength,406
Crocanura,117
Crowned Ceratok,670
Disciple of the Old Ways,25
Experiment One,1110
Forced Adaptation,1301
Giant Adephage,3966
Greenside Watcher,87
Gyre Sage,7903
Hindervines,165
Ivy Lane Denizen,2769
Miming Slime,391
Ooze Flux,274
Predator's Rapport,194
Rust Scarab,122
Scab-Clan Charger,27
Serene Remembrance,111
Skarrg Goliath,391
Slaughterhorn,66
Spire Tracer,991
Sylvan Primordial,84
Verdant Haven,1189
Wasteland Viper,493
Wildwood Rebirth,186
Alms Beast,37
Assemble the Legion,6934
"Aurelia, the Warleader",8304
Aurelia's Fury,2515
Bane Alley Broker,89
Biovisionary,1117
Borborygmos Enraged,1610
Boros Charm,22384
Call of the Nightwing,169
Cartel Aristocrat,1392
Clan Defiance,1672
Consuming Aberration,6312
Deathpact Angel,492
Dimir Charm,2235
Dinrova Horror,321
Domri Rade,2755
Drakewing Krasis,54
Duskmantle Guildmage,2614
Duskmantle Seer,947
Elusive Krasis,732
Executioner's Swing,90
Fathom Mage,6678
Firemane Avenger,1106
Fortress Cyclops,71
Foundry Champion,252
Frenzied Tilling,294
Ghor-Clan Rampager,490
Ground Assault,372
Gruul Charm,1236
Gruul Ragebeast,2234
High Priest of Penance,1475
Hydroform,28
Kingpin's Pet,506
"Lazav, Dimir Mastermind",2427
Martial Glory,316
Master Biomancer,5832
Merciless Eviction,26152
Mind Grind,3561
Mortus Strider,105
Mystic Genesis,478
Nimbus Swimmer,1111
"Obzedat, Ghost Council",2171
One Thousand Lashes,384
Ordruun Veteran,84
Orzhov Charm,1146
Paranoid Delusions,440
Primal Visitation,41
Prime Speaker Zegana,8328
Psychic Strike,2426
Purge the Profane,48
Rubblehulk,3694
Ruination Wurm,48
Shambleshark,213
Signal the Clans,1687
Simic Charm,3558
Skarrg Guildmage,514
Soul Ransom,403
Spark Trooper,365
Sunhome Guildmage,411
Treasury Thrull,2046
Truefire Paladin,131
Unexpected Results,3037
Urban Evolution,8540
Vizkopa Confessor,237
Vizkopa Guildmage,4849
Whispering Madness,6445
Wojek Halberdiers,139
Zameck Guildmage,2595
Zhur-Taa Swine,149
Arrows of Justice,55
Beckon Apparition,162
Biomass Mutation,1816
Bioshift,945
Boros Reckoner,1514
Burning-Tree Emissary,563
Coerced Confession,95
Deathcult Rogue,309
Gift of Orzhova,515
Immortal Servitude,1487
Merfolk of the Depths,20
Nightveil Specter,1731
Pit Fight,348
Rubblebelt Raiders,1029
Shattering Blow,153
Armored Transport,32
Boros Keyrune,1309
Dimir Keyrune,2040
Glaring Spotlight,2174
Gruul Keyrune,501
Illusionist's Bracers,9758
Millennial Gargoyle,21
Orzhov Keyrune,1345
Razortip Whip,26
Riot Gear,39
Simic Keyrune,910
Skyblinder Staff,271
Thespian's Stage,17289
