names,edhrec
Absolver Thrull,51
Belfry Spirit,238
Benediction of Moons,19
Droning Bureaucrats,86
Ghost Warden,10
Ghostway,2450
Graven Dominator,19
Guardian's Magemark,47
Harrier Griffin,35
Leyline of the Meek,318
Lionheart Maverick,21
Martyred Rusalka,134
Order of the Stars,92
Shadow Lance,22
Shrieking Grotesque,4
Sinstriker's Will,24
Skyrider Trainee,3
Spelltithe Enforcer,1540
Storm Herd,2899
To Arms!,848
Withstand,20
Aetherplasm,149
Crystal Seer,29
Drowned Rusalka,65
Frazzle,24
Gigadrowse,172
Hatching Plans,163
Infiltrator's Magemark,325
Leyline of Singularity,249
Mimeofacture,19
Quicken,1986
Repeal,1072
Runeboggle,37
Sky Swallower,43
Steamcore Weird,10
Stratozeppelid,4
Thunderheads,54
Torch Drake,3
Train of Thought,179
Vacuumelt,19
Vedalken Plotter,1227
Vertigo Spawn,81
Abyssal Nocturnus,228
Caustic Rain,13
Cremate,828
Cry of Contrition,68
Cryptwailing,3
Daggerclaw Imp,8
Douse in Gloom,39
Exhumer Thrull,30
Hissing Miasma,1101
Leyline of the Void,3739
Necromancer's Magemark,63
Orzhov Euthanist,54
Ostiary Thrull,4
Plagued Rusalka,326
Poisonbelly Ogre,42
Restless Bones,49
Revenant Patriarch,16
Sanguine Praetor,43
Seize the Soul,87
Skeletal Vampire,859
Smogsteed Rider,35
Bloodscale Prowler,21
Fencer's Magemark,34
Ghor-Clan Bloodscale,4
Hypervolt Grasp,14
Leyline of Lightning,161
Living Inferno,84
Ogre Savant,12
Parallectric Feedback,70
Pyromatics,77
Rabble-Rouser,77
Scorched Rusalka,115
Shattering Spree,2672
Siege of Towers,23
Skarrgan Firebird,239
Tin Street Hooligan,66
Battering Wurm,43
Beastmaster's Magemark,68
Bioplasm,62
Crash Landing,15
Dryad Sophisticate,241
Earth Surge,229
Gatherer of Graces,49
Ghor-Clan Savage,17
Gristleback,34
Gruul Nodorog,7
Gruul Scrapper,9
Leyline of Lifeforce,499
Petrified Wood-Kin,94
Predatory Focus,117
Primeval Light,87
Silhana Ledgewalker,874
Silhana Starfletcher,167
Skarrgan Pit-Skulk,105
Starved Rusalka,75
Wildsize,187
Wurmweaver Coil,134
Agent of Masks,972
Angel of Despair,3455
Blind Hunter,50
Borborygmos,669
Burning-Tree Bloodscale,32
Burning-Tree Shaman,384
Castigate,228
Cerebral Vortex,610
Conjurer's Ban,13
Culling Sun,63
Dune-Brood Nephilim,286
Electrolyze,1208
Feral Animist,61
Gelectrode,643
Ghost Council of Orzhova,507
Glint-Eye Nephilim,215
Goblin Flectomancer,99
Ink-Treader Nephilim,172
Invoke the Firemind,1582
Izzet Chronarch,1638
Killer Instinct,80
Leap of Flame,61
Mortify,24804
"Niv-Mizzet, the Firemind",8091
Orzhov Pontiff,198
Pillory of the Sleepless,536
Rumbling Slum,198
Savage Twister,2754
Scab-Clan Mauler,56
Schismotivate,29
Skarrgan Skybreaker,56
Souls of the Faultless,492
Stitch in Time,1626
Streetbreaker Wurm,30
"Teysa, Orzhov Scion",3214
Tibor and Lumia,217
"Ulasht, the Hate Seed",979
Wee Dragonauts,795
Witch-Maw Nephilim,188
Wreak Havoc,100
Yore-Tiller Nephilim,221
Debtors' Knell,2321
Djinn Illuminatus,502
Giant Solifuge,113
Gruul Guildmage,81
Izzet Guildmage,351
Mourning Thrull,42
Orzhov Guildmage,246
Petrahydrox,6
Wild Cantor,602
Gruul Signet,18104
Gruul War Plow,189
Izzet Signet,39529
Mizzium Transreliquat,277
Moratorium Stone,16
Orzhov Signet,37576
Sword of the Paruns,3327
Godless Shrine,43706
Gruul Turf,19050
Izzet Boilerworks,25449
"Nivix, Aerie of the Firemind",426
Orzhov Basilica,22306
"Orzhova, the Church of Deals",583
"Skarrg, the Rage Pits",3807
Steam Vents,42524
Stomping Ground,38194
