names,edhrec
Blade Instructor,126
Bounty Agent,1606
Candlelight Vigil,161
Citywide Bust,2148
Collar the Culprit,114
Conclave Tribunal,2457
Crush Contraband,5560
Dawn of Hope,7100
Demotion,243
Divine Visitation,6747
Flight of Equenauts,49
Gird for Battle,380
Haazda Marshal,717
Healer's Hawk,1098
Hunted Witness,1420
Inspiring Unicorn,126
Intrusive Packbeast,19
Ledev Guardian,38
Light of the Legion,656
Loxodon Restorer,48
Luminous Bonds,535
Parhelion Patrol,162
Righteous Blow,36
Roc Charger,57
Skyline Scout,9
Sunhome Stalwart,251
Sworn Companions,270
Take Heart,251
Tenth District Guard,11
Venerated Loxodon,450
Chemister's Insight,5106
Citywatch Sphinx,159
Dazzling Lights,94
Devious Cover-Up,1068
Dimir Informant,183
Disdainful Stroke,7748
Dream Eater,1542
Drowned Secrets,1051
Enhanced Surveillance,435
Guild Summit,849
Leapfrog,40
Maximize Altitude,193
Mission Briefing,7960
Murmuring Mystic,6347
Muse Drake,92
Narcomoeba,976
Nightveil Sprite,1751
Omnispell Adept,965
Passwall Adept,210
Quasiduplicate,3572
Radical Idea,1901
Selective Snare,125
Sinister Sabotage,3680
Thoughtbound Phantasm,104
Unexplained Disappearance,474
Vedalken Mesmerist,20
Wall of Mist,984
Watcher in the Mist,117
Wishcoin Crab,55
Barrier of Bones,321
Bartizan Bats,13
Blood Operative,211
Burglar Rat,2222
Child of Night,629
Creeping Chill,142
Deadly Visit,220
Doom Whisperer,4648
Douser of Lights,15
Gruesome Menagerie,462
Hired Poisoner,245
Kraul Swarm,23
Lotleth Giant,791
Mausoleum Secrets,5053
Mephitic Vapors,191
Midnight Reaper,7959
Moodmark Painter,133
Necrotic Wound,587
Never Happened,106
Pilfering Imp,199
Plaguecrafter,18833
Price of Fame,4317
Ritual of Soot,761
Severed Strands,492
Spinal Centipede,77
Undercity Necrolisk,96
Veiled Shade,27
Vicious Rumors,1033
Whispering Snitch,98
Arclight Phoenix,189
Barging Sergeant,197
Book Devourer,154
Command the Storm,78
Cosmotronic Wave,717
Direct Current,203
Electrostatic Field,4068
Erratic Cyclops,416
Experimental Frenzy,2015
Fearless Halberdier,12
Fire Urchin,115
Goblin Banneret,406
Goblin Cratermaker,2228
Goblin Locksmith,88
Gravitic Punch,825
Hellkite Whelp,163
Inescapable Blaze,176
Lava Coil,665
Legion Warboss,3687
Maniacal Rage,90
Maximize Velocity,501
Ornery Goblin,111
Risk Factor,1755
Rubblebelt Boar,26
Runaway Steam-Kin,2468
