names,edhrec
Abbey Gargoyles,19
Aysen Crusader,31
Aysen Highway,22
Beast Walkers,5
Death Speakers,8
Hazduhr the Abbot,3
Leeches,17
Prophecy,21
Rashka the Slayer,13
Serra Aviary,173
Serra Bestiary,8
Serra Inquisitors,3
Serra Paladin,4
Soraya the Falconer,189
Truce,280
Aether Storm,44
Baki's Curse,17
Chain Stasis,58
Coral Reef,11
Forget,21
Giant Oyster,110
Jinx,9
Marjhan,21
Merchant Scroll,11262
Mystic Decree,94
Narwhal,31
"Reveka, Wizard Savant",69
Sea Sprite,52
Sea Troll,3
Wall of Kelp,521
Baron Sengir,99
Black Carriage,13
Broken Visage,19
Drudge Spell,34
Funeral March,16
Ghost Hounds,24
Grandmother Sengir,12
Greater Werewolf,6
Headstone,31
Ihsan's Shade,77
Irini Sengir,23
Koskun Falls,747
Sengir Autocrat,2213
Timmerian Fiends,0
Veldrane of Sengir,12
Ambush,12
An-Zerrin Ruins,63
Anaba Ancestor,105
Anaba Spirit Crafter,220
Chandler,29
Dwarven Pony,19
Dwarven Sea Clan,15
Eron the Relentless,26
Evaporate,6
Heart Wolf,12
Ironclaw Curse,11
Joven,44
Orcish Mine,21
Retribution,82
Winter Sky,210
An-Havva Constable,10
An-Havva Inn,18
Autumn Willow,16
Daughter of Autumn,2
Faerie Noble,20
Joven's Ferrets,13
Leaping Lizard,5
Mammoth Harness,5
Primal Order,400
Renewal,78
Root Spider,52
Roots,15
Rysorian Badger,7
Spectral Bears,594
Willow Priestess,14
Apocalypse Chime,16
Clockwork Gnomes,16
Clockwork Steed,24
Clockwork Swarm,12
Didgeridoo,282
Ebony Rhino,15
Feroz's Ban,141
Joven's Tools,22
Roterothopter,137
Serrated Arrows,895
An-Havva Township,24
Aysen Abbey,26
Castle Sengir,44
Koskun Keep,37
Wizards' School,34
