names,edhrec
Act of Heroism,195
Adorned Pouncer,2189
Angel of Condemnation,2086
Angel of the God-Pharaoh,178
Aven of Enduring Hope,36
Crested Sunmare,4222
Dauntless Aven,275
Desert's Hold,139
Disposal Mummy,38
"Djeru, With Eyes Open",2319
Djeru's Renunciation,72
Dutiful Servants,12
Gideon's Defeat,47
God-Pharaoh's Faithful,126
Hour of Revelation,7545
Mummy Paramount,71
Oketra's Avenger,43
Oketra's Last Mercy,516
Overwhelming Splendor,2710
Sandblast,123
Saving Grace,190
Solemnity,3783
Solitary Camel,11
Steadfast Sentinel,58
Steward of Solidarity,138
Sunscourge Champion,142
Unconventional Tactics,97
Vizier of the True,30
Aerial Guide,42
Aven Reedstalker,38
Champion of Wits,2473
Countervailing Winds,1757
Cunning Survivor,67
Eternal of Harsh Truths,648
Fraying Sanity,2595
Hour of Eternity,392
Imaginary Threats,174
Jace's Defeat,110
Kefnet's Last Word,422
Nimble Obstructionist,3367
Ominous Sphinx,111
Proven Combatant,89
Riddleform,121
Seer of the Last Tomorrow,56
Sinuous Striker,66
Spellweaver Eternal,339
Strategic Planning,696
Striped Riverwinder,490
Supreme Will,3677
Swarm Intelligence,6771
Tragic Lesson,466
"Unesh, Criosphinx Sovereign",1138
Unquenchable Thirst,23
Unsummon,2331
Vizier of the Anointed,161
Accursed Horde,314
Ammit Eternal,1300
Apocalypse Demon,479
Banewhip Punisher,1538
Bontu's Last Reckoning,2281
Carrion Screecher,34
Doomfall,280
Dreamstealer,942
Grisly Survivor,196
Hour of Glory,450
Khenra Eternal,119
Lethal Sting,804
Liliana's Defeat,60
Lurching Rotbeast,194
Marauding Boneslasher,69
Merciless Eternal,126
Moaning Wall,226
"Razaketh, the Foulblooded",11299
Razaketh's Rite,3378
Ruin Rat,358
Scrounger of Souls,29
Torment of Hailfire,19884
Torment of Scarabs,1687
Torment of Venom,738
Vile Manifestation,305
Without Weakness,493
Wretched Camel,28
Abrade,5703
Blur of Blades,125
Burning-Fist Minotaur,206
Chandra's Defeat,56
Chaos Maw,386
Crash Through,1417
Defiant Khenra,19
Earthshaker Khenra,363
Fervent Paincaster,73
Firebrand Archer,3976
Frontline Devastator,259
Gilded Cerodon,12
Granitic Titan,147
Hazoret's Undying Fury,226
Hour of Devastation,4563
Imminent Doom,138
Inferno Jet,60
Khenra Scrapper,37
Kindled Fury,138
Magmaroth,37
Manticore Eternal,100
"Neheb, the Eternal",6975
Open Fire,73
Puncturing Blow,78
Sand Strangler,11
Thorned Moloch,32
Wildfire Eternal,1168
Ambuscade,302
Beneath the Sands,1225
Bitterbow Sharpshooters,47
Devotee of Strength,16
Dune Diviner,9
Feral Prowler,361
Frilled Sandwalla,27
Harrier Naga,11
Hope Tender,306
Hour of Promise,6064
Life Goes On,116
Majestic Myriarch,777
Nissa's Defeat,14
Oasis Ritualist,233
Overcome,570
Pride Sovereign,1766
Quarry Beetle,97
Rampaging Hippo,196
Ramunap Excavator,19619
Ramunap Hydra,434
Resilient Khenra,119
Rhonas's Last Stand,190
Rhonas's Stalwart,31
Sidewinder Naga,18
Sifter Wurm,648
Tenacious Hunter,78
Uncage the Menagerie,2013
Bloodwater Entity,1056
The Locust God,7645
"Nicol Bolas, God-Pharaoh",5286
Obelisk Spider,2179
Resolute Survivors,55
River Hoopoe,458
"Samut, the Tested",1447
The Scarab God,5380
The Scorpion God,1439
Unraveling Mummy,295
Farm,501
Consign,1037
Claim,240
Struggle,374
Appeal,180
Leave,508
Reason,430
Grind,89
Refuse,1044
Driven,1386
Abandoned Sarcophagus,1023
Crook of Condemnation,595
Dagger of the Worthy,112
God-Pharaoh's Gift,2319
Graven Abomination,54
Hollow One,436
Manalith,6519
Mirage Mirror,12224
Sunset Pyramid,479
Wall of Forgotten Pharaohs,86
Crypt of the Eternals,1496
Desert of the Fervent,5906
Desert of the Glorified,4847
Desert of the Indomitable,5206
Desert of the Mindful,5644
Desert of the True,4458
Dunes of the Dead,776
Endless Sands,2698
Hashep Oasis,1675
Hostile Desert,613
Ifnir Deadlands,1962
Ipnu Rivulet,1354
Ramunap Ruins,1585
Scavenger Grounds,14239
Shefet Dunes,1182
Survivors' Encampment,2730
"Nissa, Genesis Mage",649
Avid Reclaimer,62
Brambleweft Behemoth,68
Nissa's Encouragement,68
"Nicol Bolas, the Deceiver",1186
Wasp of the Bitter End,54
Zealot of the God-Pharaoh,55
Visage of Bolas,579
