names,edhrec
Adarkar Unicorn,10
Arctic Foxes,28
Arenson's Aura,67
Armor of Faith,46
Battle Cry,17
Black Scarab,79
Blessed Wine,29
Blinking Spirit,123
Blue Scarab,80
Call to Arms,26
Caribou Range,48
Cold Snap,4
Cooperation,27
Death Ward,195
Drought,25
Elvish Healer,4
Enduring Renewal,312
Energy Storm,31
Formation,28
Fylgja,10
General Jarkeld,26
Green Scarab,78
Hallowed Ground,11
Heal,549
Hipparion,6
Justice,21
Kelsinko Ranger,2
Kjeldoran Elite Guard,3
Kjeldoran Guard,1
Kjeldoran Knight,32
Kjeldoran Phalanx,22
Kjeldoran Royal Guard,42
Kjeldoran Skycaptain,28
Kjeldoran Skyknight,42
Kjeldoran Warrior,33
Lightning Blow,43
Lost Order of Jarkeld,18
Mercenaries,1
Order of the Sacred Torch,222
Order of the White Shield,57
Prismatic Ward,40
Rally,1
Red Scarab,77
Sacred Boon,4
Seraph,22
Shield Bearer,37
Snow Hound,25
Swords to Plowshares,94108
Warning,4
White Scarab,74
Arnjlot's Ascent,8
Balduvian Conjurer,19
Balduvian Shaman,9
Binding Grasp,60
Breath of Dreams,34
Clairvoyance,254
Deflection,99
Dreams of the Dead,46
Enervate,28
Errant Minion,13
Essence Flare,7
Force Void,25
Glacial Wall,1394
Hydroblast,356
Iceberg,122
Icy Prison,42
Illusionary Forces,1
Illusionary Presence,3
Illusionary Terrain,69
Illusionary Wall,38
Illusions of Grandeur,840
Infuse,34
Krovikan Sorcerer,66
Magus of the Unseen,121
Mesmeric Trance,30
Mistfolk,26
Musician,74
Mystic Might,1
Mystic Remora,32086
Phantasmal Mount,10
Polar Kraken,34
Portent,4121
Ray of Erasure,60
Reality Twist,22
Sea Spirit,10
Shyft,4
Sibilant Spirit,14
Silver Erne,8
Sleight of Mind,212
Snow Devil,19
Snowfall,40
Soldevi Machinist,42
Soul Barrier,155
Thunder Wall,47
Updraft,12
Wind Spirit,7
Winter's Chill,82
Word of Undoing,41
Wrath of Marit Lage,108
Zur's Weirding,892
Zuran Enchanter,5
Zuran Spellcaster,263
Abyssal Specter,420
Ashen Ghoul,85
Brine Shaman,60
Burnt Offering,427
Cloak of Confusion,18
Dance of the Dead,5400
Demonic Consultation,5313
Dread Wight,9
Drift of the Dead,28
Fear,196
Flow of Maggots,7
Foul Familiar,15
Gangrenous Zombies,36
Gaze of Pain,11
Gravebind,22
Hecatomb,106
Hoar Shade,24
Howl from Beyond,379
Hyalopterous Lemure,7
Icequake,75
Infernal Darkness,429
Infernal Denizen,171
Kjeldoran Dead,108
Knight of Stromgald,58
Krovikan Elementalist,0
Krovikan Fetish,8
Krovikan Vampire,36
Legions of Lim-Dûl,2
Leshrac's Rite,29
Leshrac's Sigil,279
Lim-Dûl's Cohort,2
Lim-Dûl's Hex,139
Mind Ravel,9
Mind Warp,13
Mind Whip,12
Minion of Leshrac,318
Minion of Tevesh Szat,10
Mole Worms,8
Moor Fiend,4
Necropotence,19167
Norritt,103
Oath of Lim-Dûl,8
Pestilence Rats,600
Pox,910
Seizures,26
Songs of the Damned,1884
Soul Kiss,29
Spoils of Evil,107
Spoils of War,32
Stench of Evil,27
Stromgald Cabal,118
Touch of Death,5
Withering Wisps,126
Aggression,30
Anarchy,65
Avalanche,4
Balduvian Barbarians,34
Balduvian Hydra,62
Barbarian Guides,28
Battle Frenzy,9
Bone Shaman,0
Brand of Ill Omen,41
Chaos Lord,61
Chaos Moon,106
Conquer,41
Curse of Marit Lage,56
Dwarven Armory,7
Errantry,28
Flame Spirit,9
Game of Chaos,1069
Glacial Crevasses,189
Goblin Mutant,9
Goblin Sappers,11
Goblin Ski Patrol,7
Goblin Snowman,121
Grizzled Wolverine,2
Imposing Visage,53
Jokulhaups,2220
Karplusan Giant,4
Karplusan Yeti,14
Lava Burst,139
Márton Stromgald,448
Melee,16
Melting,8
Meteor Shower,38
Mountain Goat,50
Mudslide,208
Orcish Cannoneers,15
Orcish Conscripts,9
Orcish Farmer,14
Orcish Healer,4
Orcish Librarian,59
Orcish Lumberjack,1725
Orcish Squatters,30
Panic,951
Pyroblast,11494
Pyroclasm,2578
Sabretooth Tiger,10
Stone Spirit,6
Stonehands,8
Tor Giant,2
Total War,164
Vertigo,3
Wall of Lava,37
Aurochs,6
Balduvian Bears,849
Blizzard,7
Chub Toad,13
