names,edhrec
Adaptive Shimmerer,6
Farfinder,72
Mysterious Egg,229
Blade Banish,12
Checkpoint Officer,6
Coordinated Charge,24
Cubwarden,410
Daysquad Marshal,8
Divine Arrow,84
Drannith Healer,151
Drannith Magistrate,1595
Fight as One,146
Flourishing Fox,247
Garrison Cat,89
Helica Glider,12
Huntmaster Liger,236
Imposing Vantasaur,40
Keensight Mentor,54
Lavabrink Venturer,47
Light of Hope,52
Luminous Broodmoth,976
Majestic Auricorn,143
Maned Serval,10
Mythos of Snapdax,566
Pacifism,2370
Patagia Tiger,6
Perimeter Sergeant,9
Sanctuary Lockdown,285
Savai Sabertooth,12
Snare Tactician,34
Solid Footing,3
Splendor Mare,111
Spontaneous Flight,10
Stormwild Capridor,13
Swallow Whole,35
Valiant Rescuer,618
Vulpikeet,210
Will of the All-Hunter,24
Aegis Turtle,15
Anticipate,5636
Archipelagore,404
Avian Oddity,69
Boon of the Wish-Giver,575
Capture Sphere,182
Convolute,665
Crystacean,5
Dreamtail Heron,679
Escape Protocol,239
Essence Scatter,3510
Facet Reader,5
Frost Lynx,308
Frostveil Ambush,50
Glimmerbell,22
Gust of Wind,19
Hampering Snare,18
Keep Safe,131
Mystic Subdual,55
Mythos of Illuna,214
Neutralize,885
Of One Mind,98
Ominous Seas,1174
Phase Dolphin,21
Pollywog Symbiote,555
Pouncing Shoreshark,677
Reconnaissance Mission,1102
Sea-Dasher Octopus,814
Shark Typhoon,1027
Startling Development,46
Thieving Otter,25
Voracious Greatshark,194
Wingfold Pteron,8
Wingspan Mentor,22
Bastion of Remembrance,1331
Blitz Leech,2
Blood Curdle,191
Boot Nipper,27
Bushmeat Poacher,34
Call of the Death-Dweller,314
Cavern Whisperer,550
Chittering Harvester,640
Corpse Churn,591
Dark Bargain,1094
Dead Weight,210
Dirge Bat,774
Durable Coilbug,2
Duskfang Mentor,94
Easy Prey,14
Extinction Event,157
Gloom Pangolin,5
Grimdancer,84
Heartless Act,206
Hunted Nightmare,20
Insatiable Hemophage,586
Lurking Deadeye,32
Memory Leak,23
Mutual Destruction,21
Mythos of Nethroi,613
Nightsquad Commando,11
Serrated Scorpion,125
Suffocating Fumes,12
Unbreakable Bond,187
Unexpected Fangs,68
Unlikely Aid,430
Void Beckoner,400
Whisper Squad,0
Zagoth Mamba,158
Blazing Volley,543
Blisterspit Gremlin,69
Blitz of the Thunder-Raptor,39
Cathartic Reunion,10686
Clash of Titans,74
Cloudpiercer,234
Drannith Stinger,475
Everquill Phoenix,248
Ferocious Tigorilla,9
Fire Prophecy,69
Flame Spill,62
Footfall Crater,209
Forbidden Friendship,39
Frenzied Raptor,110
Frillscare Mentor,25
Go for Blood,93
Heightened Reflexes,12
Lava Serpent,54
"Lukka, Coppercoat Outcast",178
Momentum Rumbler,19
Mythos of Vadrok,29
Porcuparrot,211
Prickly Marmoset,9
Pyroceratops,21
Raking Claws,78
Reptilian Reflection,12
Rooting Moloch,428
Rumbling Rockslide,7
Sanctuary Smasher,65
Shredded Sails,188
Spelleater Wolverine,9
Tentative Connection,14
Unpredictable Cyclone,310
Weaponize the Monsters,26
"Yidaro, Wandering Monster",434
Adventurous Impulse,917
Almighty Brushwagg,38
Auspicious Starrix,778
Barrier Breach,220
Bristling Boar,64
Charge of the Forever-Beast,15
Colossification,199
Essence Symbiote,314
Excavation Mole,23
Exuberant Wolfbear,47
Fertilid,9708
Flycatcher Giraffid,8
Fully Grown,70
Gemrazer,1119
Glowstone Recluse,634
Greater Sandwurm,431
Honey Mammoth,9
Hornbash Mentor,142
Humble Naturalist,71
Ivy Elemental,377
"Kogla, the Titan Ape",419
Lead the Stampede,1057
Migration Path,1422
Migratory Greathorn,969
Monstrous Step,8
Mosscoat Goriak,3
Mythos of Brokkos,416
Plummet,641
Ram Through,197
Sudden Spinnerets,51
Survivors' Bond,23
Thwart the Enemy,33
Titanoth Rex,559
"Vivien, Monsters' Advocate",693
Wilt,178
Back for More,141
Boneyard Lurker,834
"Brokkos, Apex of Forever",596
Channeled Force,528
"Chevill, Bane of Monsters",168
Death's Oasis,512
Dire Tactics,741
Eerie Ultimatum,1224
Emergent Ultimatum,392
Frondland Felidar,90
General Kudro of Drannith,524
General's Enforcer,778
Genesis Ultimatum,436
"Illuna, Apex of Wishes",414
Inspired Ultimatum,160
"Kinnan, Bonder Prodigy",975
Labyrinth Raptor,44
Lore Drakkis,374
Narset of the Ancient Way,252
Necropanther,447
"Nethroi, Apex of Death",932
Offspring's Revenge,95
Parcelbeast,792
Primal Empathy,420
Quartzwood Crasher,479
Regal Leosaur,139
"Rielle, the Everwise",897
Ruinous Ultimatum,1219
Savai Thundermane,168
Skull Prophet,855
Skycat Sovereign,94
Slitherwisp,42
"Snapdax, Apex of the Hunt",251
Song of Creation,365
Sprite Dragon,176
Titans' Nest,236
Trumpeting Gnarr,624
"Vadrok, Apex of Thunder",257
Whirlwind of Thought,473
"Winota, Joiner of Forces",532
Zenith Flare,351
Alert Heedbonder,16
Cunning Nightbonder,44
Fiend Artisan,739
"Gyruda, Doom of Depths",356
"Jegantha, the Wellspring",447
Jubilant Skybonder,32
"Kaheera, the Orphanguard",177
"Keruga, the Macrosage",165
Lurrus of the Dream-Den,429
"Lutri, the Spellchaser",7
"Obosh, the Preypiercer",312
Proud Wildbonder,133
Sonorous Howlbonder,37
"Umori, the Collector",192
"Yorion, Sky Nomad",306
"Zirda, the Dawnwaker",590
Crystalline Giant,193
Indatha Crystal,207
Ketria Crystal,217
The Ozolith,1367
Raugrin Crystal,773
Savai Crystal,292
Sleeper Dart,36
Springjaw Trap,2
Zagoth Crystal,255
Bloodfell Caves,14287
Blossoming Sands,13733
Bonders' Enclave,720
Dismal Backwater,17394
Evolving Wilds,136828
Indatha Triome,1872
Jungle Hollow,16816
Ketria Triome,2043
Raugrin Triome,1615
Rugged Highlands,10999
Savai Triome,1721
Scoured Barrens,18461
Swiftwater Cliffs,18574
Thornwood Falls,17761
Tranquil Cove,15831
Wind-Scarred Crag,14713
Zagoth Triome,2146
Plains,159832
Island,184755
Swamp,179364
Mountain,164428
Forest,172804
"Zilortha, Strength Incarnate",149
