names,edhrec
Abbey Griffin,67
Angel of Flight Alabaster,509
Angelic Overseer,673
Avacynian Priest,44
Bonds of Faith,301
Champion of the Parish,1121
Chapel Geist,21
Cloistered Youth,6
Dearly Departed,212
Divine Reckoning,7914
Doomed Traveler,2095
Elder Cathar,56
Elite Inquisitor,382
Feeling of Dread,36
Fiend Hunter,6465
Gallows Warden,90
Geist-Honored Monk,2773
Ghostly Possession,90
Intangible Virtue,7353
Mausoleum Guard,156
Mentor of the Meek,17935
Midnight Haunting,661
"Mikaeus, the Lunarch",2381
Moment of Heroism,350
Nevermore,2203
Paraselene,214
Purify the Grave,284
Rally the Peasants,209
Rebuke,123
Selfless Cathar,47
Silverchase Fox,138
Slayer of the Wicked,17
Smite the Monstrous,166
Spare from Evil,105
Spectral Rider,45
Stony Silence,3357
Thraben Purebloods,30
Thraben Sentry,57
Unruly Mob,277
Urgent Exorcism,15
Village Bell-Ringer,1816
Voiceless Spirit,29
Armored Skaab,141
Back from the Brink,466
Battleground Geist,139
Cackling Counterpart,4332
Civilized Scholar,54
Claustrophobia,336
Curiosity,5860
Curse of the Bloody Tome,569
Delver of Secrets,395
Deranged Assistant,1271
Dissipate,7560
Dream Twist,268
Forbidden Alchemy,3295
Fortress Crab,73
Frightful Delusion,35
Grasp of Phantoms,42
Hysterical Blindness,20
Invisible Stalker,4407
Laboratory Maniac,20922
Lantern Spirit,44
Lost in the Mist,118
Ludevic's Test Subject,560
Makeshift Mauler,17
Memory's Journey,1161
Mindshrieker,1079
Mirror-Mad Phantasm,1379
Moon Heron,8
Murder of Crows,338
Rooftop Storm,4120
Runic Repetition,592
Selhoff Occultist,115
Sensory Deprivation,10
Silent Departure,221
Skaab Goliath,86
Skaab Ruinator,182
Snapcaster Mage,11044
Spectral Flight,161
Stitched Drake,52
Stitcher's Apprentice,36
Sturmgeist,828
Think Twice,3459
Undead Alchemist,2541
Abattoir Ghoul,145
Altar's Reap,4291
Army of the Damned,7094
Bitterheart Witch,772
Bloodgift Demon,7009
Bloodline Keeper,4404
Brain Weevil,56
Bump in the Night,62
Corpse Lunge,5
Curse of Death's Hold,994
Curse of Oblivion,347
Dead Weight,209
Diregraf Ghoul,381
Disciple of Griselbrand,972
Endless Ranks of the Dead,4412
Falkenrath Noble,11037
Ghoulcaller's Chant,770
Ghoulraiser,425
Gruesome Deformity,106
Heartless Summoning,1148
Liliana of the Veil,3213
Manor Skeleton,85
Markov Patrician,80
Maw of the Mire,31
Moan of the Unhallowed,329
Morkrut Banshee,102
Night Terrors,36
Reaper from the Abyss,2817
Rotting Fensnake,10
Screeching Bat,44
Sever the Bloodline,842
Skeletal Grimace,370
Skirsdag High Priest,2405
Stromkirk Patrol,40
Tribute to Hunger,520
Typhoid Rats,837
Unbreathing Horde,2207
Unburial Rites,4634
Vampire Interloper,200
Victim of Night,2549
Village Cannibals,46
Walking Corpse,72
Ancient Grudge,991
Ashmouth Hound,48
Balefire Dragon,7195
Blasphemous Act,40910
Bloodcrazed Neonate,193
Brimstone Volley,277
Burning Vengeance,624
Charmbreaker Devils,5504
Crossway Vampire,38
Curse of Stalked Prey,921
Curse of the Nightly Hunt,944
Curse of the Pierced Heart,500
Desperate Ravings,957
Devil's Play,2249
Falkenrath Marauders,636
Feral Ridgewolf,23
Furor of the Bitten,109
Geistflame,67
Hanweir Watchkeep,225
Harvest Pyre,75
Heretic's Punishment,54
Infernal Plunge,581
Instigator Gang,745
Into the Maw of Hell,159
Kessig Wolf,29
Kruin Outlaw,572
Night Revelers,15
Nightbird's Clutches,54
Past in Flames,7287
Pitchburn Devils,58
Rage Thrower,273
Rakish Heir,3236
Reckless Waif,222
Riot Devils,15
Rolling Temblor,328
Scourge of Geier Reach,144
Skirsdag Cultist,25
Stromkirk Noble,1142
Tormented Pariah,86
Traitorous Blood,853
Vampiric Fury,260
Village Ironsmith,140
Ambush Viper,842
Avacyn's Pilgrim,13091
Boneyard Wurm,753
Bramblecrush,991
Caravan Vigil,647
Creeping Renaissance,6005
Darkthicket Wolf,130
Daybreak Ranger,585
Elder of Laurels,389
Essence of the Wild,149
Festerhide Boar,40
Full Moon's Rise,634
Garruk Relentless,1057
Gatstaf Shepherd,265
Gnaw to the Bone,494
Grave Bramble,21
Grizzled Outcasts,90
Gutter Grime,613
Hamlet Captain,336
Hollowhenge Scavenger,12
Kessig Cagebreakers,3007
Kindercatch,38
Lumberknot,516
Make a Wish,49
Mayor of Avabruck,1020
Moldgraf Monstrosity,2070
Moonmist,659
Mulch,2704
Naturalize,7911
Orchard Spirit,28
Parallel Lives,13545
Prey Upon,2002
Ranger's Guile,1256
Somberwald Spider,184
Spider Spawning,1789
Spidery Grasp,143
Splinterfright,2888
Travel Preparations,80
Tree of Redemption,2268
Ulvenwald Mystics,274
Villagers of Estwald,108
Woodland Sleuth,27
Wreath of Geists,89
Evil Twin,3945
Geist of Saint Traft,673
"Grimgrin, Corpse-Born",2650
Olivia Voldaren,2843
Blazing Torch,149
Butcher's Cleaver,321
