names,edhrec
Alabaster Leech,19
Angel of Mercy,89
Ardent Soldier,0
"Atalya, Samite Master",105
Benalish Emissary,14
Benalish Heralds,1
Benalish Lancer,21
Benalish Trapper,30
Blinding Light,88
Capashen Unicorn,74
Crimson Acolyte,33
Crusading Knight,212
Death or Glory,111
Dismantling Blow,994
Divine Presence,197
Fight or Flight,255
Glimmering Angel,3
Global Ruin,261
Harsh Judgment,16
Holy Day,811
Liberate,350
Obsidian Acolyte,26
Orim's Touch,5
Pledge of Loyalty,18
Prison Barricade,31
Protective Sphere,92
Pure Reflection,21
Rampant Elephant,19
Razorfoot Griffin,64
Restrain,6
Reviving Dose,87
Rewards of Diversity,56
Reya Dawnbringer,4100
Rout,6382
Ruham Djinn,0
Samite Ministration,19
Shackles,84
Spirit of Resistance,218
Spirit Weaver,1
Strength of Unity,11
Sunscape Apprentice,8
Sunscape Master,24
Teferi's Care,46
Wayfaring Giant,6
Winnow,31
Barrin's Unmaking,29
Blind Seer,88
Breaking Wave,279
Collective Restraint,1791
Crystal Spray,123
Disrupt,570
Distorting Wake,395
Dream Thrush,56
Empress Galina,1563
Essence Leak,50
Exclude,1798
Fact or Fiction,32126
Faerie Squadron,22
Mana Maze,473
Manipulate Fate,595
Metathran Aerostat,13
Metathran Transport,18
Metathran Zombie,32
Opt,17318
Phantasmal Terrain,50
Probe,77
Prohibit,433
Psychic Battle,423
Rainbow Crow,5
Repulse,402
Sapphire Leech,11
Shimmering Wings,201
Shoreline Raider,1
Sky Weaver,4
Stormscape Apprentice,13
Stormscape Master,17
Sway of Illusion,163
Teferi's Response,297
Temporal Distortion,64
Tidal Visionary,95
Tolarian Emissary,13
Tower Drake,4
Traveler's Cloak,864
Vodalian Hypnotist,2
Vodalian Merchant,56
Vodalian Serpent,24
Wash Out,2818
Well-Laid Plans,94
Worldly Counsel,47
Zanam Djinn,4
Addle,50
Agonizing Demise,63
Andradite Leech,10
Annihilate,174
Bog Initiate,101
Crypt Angel,47
Cursed Flesh,17
Defiling Tears,3
Desperate Research,51
Devouring Strossus,38
Do or Die,271
Dredge,125
Duskwalker,10
Exotic Curse,15
Firescreamer,3
Goham Djinn,2
Hate Weaver,5
Hypnotic Cloud,18
Marauding Knight,66
Mourning,16
Nightscape Apprentice,15
Nightscape Master,38
Phyrexian Battleflies,8
Phyrexian Delver,8137
Phyrexian Infiltrator,59
Phyrexian Reaper,8
Phyrexian Slayer,8
Plague Spitter,621
Ravenous Rats,560
Reckless Spite,637
Recover,537
Scavenged Weaponry,6
Soul Burn,91
Spreading Plague,806
Tainted Well,37
Trench Wurm,65
Tsabo's Assassin,36
Tsabo's Decree,130
Twilight's Call,1146
Urborg Emissary,18
Urborg Phantom,1
Urborg Shambler,5
Urborg Skeleton,29
Yawgmoth's Agenda,32
Ancient Kavu,2
Bend or Break,221
Breath of Darigaaz,1265
Callous Giant,8
Chaotic Strike,648
Collapsing Borders,61
Crown of Flames,197
Firebrand Ranger,24
Ghitu Fire,110
Goblin Spy,34
Halam Djinn,3
Hooded Kavu,6
Kavu Aggressor,29
Kavu Monarch,18
Kavu Runner,5
Kavu Scout,9
Lightning Dart,6
Loafing Giant,2
Mages' Contest,456
Maniacal Rage,90
Obliterate,2466
Overload,395
Pouncing Kavu,74
Rage Weaver,5
Rogue Kavu,7
Ruby Leech,15
Savage Offensive,250
Scarred Puma,5
Scorching Lava,175
Searing Rays,18
Shivan Emissary,11
Shivan Harvest,610
Skittish Kavu,5
Skizzik,373
Slimy Kavu,5
Stand or Fall,61
Stun,1252
Tectonic Instability,539
Thunderscape Apprentice,6
Thunderscape Master,11
Tribal Flames,42
Turf Wound,28
Urza's Rage,444
Viashino Grappler,1
Zap,90
Aggressive Urge,188
Bind,249
Blurred Mongoose,13
Canopy Surge,270
Elfhame Sanctuary,464
Elvish Champion,2620
Explosive Growth,90
Fertile Ground,7856
Harrow,23186
Jade Leech,4
Kavu Chameleon,13
Kavu Climber,45
Kavu Lair,427
Kavu Titan,214
Llanowar Cavalry,5
Llanowar Elite,94
Llanowar Vanguard,1
Might Weaver,3
"Molimo, Maro-Sorcerer",604
Nomadic Elf,36
Pincer Spider,83
Pulse of Llanowar,49
Quirion Elves,1821
Quirion Sentinel,84
Quirion Trailblazer,250
Restock,724
Rooting Kavu,52
Saproling Infestation,63
Saproling Symbiosis,1110
Scouting Trek,200
Serpentine Kavu,7
Sulam Djinn,1
Tangle,481
Thicket Elemental,1006
Thornscape Apprentice,18
Thornscape Master,12
Tranquility,263
Treefolk Healer,7
Utopia Tree,673
Verdeloth the Ancient,2276
Verduran Emissary,426
Vigorous Charge,4
Wallop,2
Wandering Stream,5
Whip Silk,400
Absorb,2122
Aether Rift,43
Angelic Shield,217
Armadillo Cloak,2860
Armored Guardian,17
Artifact Mutation,3597
Aura Mutation,2479
Aura Shards,11236
Backlash,397
Barrin's Spite,41
Blazing Specter,365
Captain Sisay,2610
Cauldron Dance,1006
Charging Troll,10
Cinder Shade,27
Coalition Victory,0
"Crosis, the Purger",2050
"Darigaaz, the Igniter",248
"Dromar, the Banisher",206
Dueling Grounds,1337
Fires of Yavimaya,7134
Frenzied Tilling,294
Galina's Knight,15
"Hanna, Ship's Navigator",4967
Heroes' Reunion,72
Horned Cheetah,15
Hunting Kavu,21
"Kangee, Aerie Keeper",193
Llanowar Knight,29
Lobotomy,11
Meteor Storm,6
Noble Panther,42
Ordered Migration,18
