names,edhrec
Adanto Vanguard,752
Ashes of the Abhorrent,2464
Axis of Mortality,1179
Bellowing Aegisaur,2526
Bishop of Rebirth,2166
Bishop's Soldier,387
Bright Reprisal,72
Demystify,364
Duskborne Skymarcher,470
Emissary of Sunrise,83
Encampment Keeper,66
Glorifier of Dusk,60
Goring Ceratops,2934
Imperial Aerosaur,631
Imperial Lancer,59
Inspiring Cleric,184
Ixalan's Binding,481
Kinjalli's Caller,2211
Kinjalli's Sunwing,4412
Legion's Judgment,112
Legion's Landing,4443
Looming Altisaur,284
"Mavren Fein, Dusk Apostle",2941
Paladin of the Bloodstained,299
Pious Interdiction,91
Priest of the Wakening Sun,1231
Pterodon Knight,52
Queen's Commission,407
Rallying Roar,143
Ritual of Rejuvenation,293
Sanguine Sacrament,1049
Settle the Wreckage,4586
Sheltering Light,2534
Shining Aerosaur,111
Skyblade of the Legion,146
Slash of Talons,58
Steadfast Armasaur,193
Sunrise Seeker,36
Territorial Hammerskull,937
Tocatli Honor Guard,1163
Vampire's Zeal,106
Wakening Sun's Avatar,3086
Air Elemental,132
Arcane Adaptation,5404
Cancel,7341
Chart a Course,3557
Daring Saboteur,1204
Deadeye Quartermaster,1217
Deeproot Waters,1964
Depths of Desire,529
Dive Down,764
Dreamcaller Siren,722
Entrancing Melody,1076
Favorable Winds,3542
Fleet Swallower,3382
Headwater Sentries,39
Herald of Secret Streams,6635
"Jace, Cunning Castaway",1334
"Kopala, Warden of Waves",1903
Lookout's Dispersal,568
Navigator's Ruin,169
One With the Wind,235
Overflowing Insight,1340
Perilous Voyage,300
Pirate's Prize,943
Prosperous Pirates,712
River Sneak,808
River's Rebuke,5558
Run Aground,53
Search for Azcanta,9981
Shaper Apprentice,175
Shipwreck Looter,147
Shore Keeper,29
Siren Lookout,308
Siren Stormtamer,6169
Siren's Ruse,1248
Spell Pierce,8891
Spell Swindle,7419
Storm Fleet Aerialist,425
Storm Fleet Spy,377
Storm Sculptor,229
Tempest Caller,1813
Watertrap Weaver,355
Wind Strider,74
Anointed Deacon,88
Arguel's Blood Fast,4832
Bishop of the Bloodstained,552
Blight Keeper,72
Bloodcrazed Paladin,1719
Boneyard Parley,1356
Contract Killing,666
Costly Plunder,3231
Dark Nourishment,36
Deadeye Tormentor,118
Deadeye Tracker,1324
Deathless Ancient,127
Desperate Castaways,47
Dire Fleet Hoarder,670
Dire Fleet Interloper,186
Dire Fleet Ravager,2629
Duress,4010
Fathom Fleet Captain,1056
Fathom Fleet Cutthroat,227
Grim Captain's Call,87
Heartless Pillage,188
Kitesail Freebooter,1132
Lurking Chupacabra,23
March of the Drowned,910
Mark of the Vampire,326
Queen's Agent,72
Queen's Bay Soldier,54
Raiders' Wake,3269
Revel in Riches,10947
Ruin Raider,779
Ruthless Knave,1311
Sanctum Seeker,3468
Seekers' Squire,200
Skittering Heartstopper,67
Skulduggery,52
Skymarch Bloodletter,289
Spreading Rot,40
Sword-Point Diplomacy,184
Vanquish the Weak,64
Vicious Conquistador,1413
Vraska's Contempt,3855
Walk the Plank,1625
Wanted Scoundrels,215
Angrath's Marauders,3761
Bonded Horncrest,140
Brazen Buccaneers,147
Burning Sun's Avatar,2910
Captain Lannery Storm,2480
Captivating Crew,3481
Charging Monstrosaur,1335
Dinosaur Stampede,678
Dual Shot,186
Fathom Fleet Firebrand,66
Fiery Cannonade,803
Fire Shrine Keeper,53
Firecannon Blast,152
Headstrong Brute,191
Hijack,1369
Lightning Strike,2348
Lightning-Rig Crew,665
Makeshift Munitions,331
Nest Robber,161
Otepec Huntmaster,3090
Rampaging Ferocidon,4008
Raptor Hatchling,1051
Repeating Barrage,172
Rigging Runner,395
Rile,1787
Rowdy Crew,312
Rummaging Goblin,1301
Star of Extinction,3960
Storm Fleet Arsonist,277
Storm Fleet Pyromancer,78
Sun-Crowned Hunters,827
Sunbird's Invocation,11332
Swashbuckling,146
Thrash of Raptors,473
Tilonalli's Knight,69
Tilonalli's Skinshifter,301
Trove of Temptation,656
Unfriendly Fire,53
Vance's Blasting Cannons,2274
Wily Goblin,1247
Ancient Brontodon,410
Atzocan Archer,36
Blinding Fog,501
Blossom Dryad,353
Carnage Tyrant,2805
Commune with Dinosaurs,1419
Crash the Ramparts,119
Deathgorge Scavenger,1989
Deeproot Champion,558
Deeproot Warrior,100
Drover of the Mighty,2708
Emergent Growth,47
Emperor's Vanguard,138
Grazing Whiptail,310
Growing Rites of Itlimoc,19582
Ixalli's Diviner,146
Ixalli's Keeper,28
Jade Guardian,238
Jungle Delver,176
Kumena's Speaker,479
Merfolk Branchwalker,964
Old-Growth Dryads,224
Pounce,894
Ranging Raptors,3681
Ravenous Daggertooth,470
Ripjaw Raptor,3700
River Heralds' Boon,255
Savage Stomp,1357
Shapers' Sanctuary,1511
Slice in Twain,1503
Snapping Sailback,1491
Spike-Tailed Ceratops,213
Thundering Spineback,2273
Tishana's Wayfinder,317
Verdant Rebirth,401
Verdant Sun's Avatar,5068
Vineshaper Mystic,518
Waker of the Wilds,570
Wildgrowth Walker,103
Admiral Beckett Brass,239
Belligerent Brontodon,574
Call to the Feast,561
Deadeye Plunderers,1194
Dire Fleet Captain,941
"Gishath, Sun's Avatar",1151
Hostage Taker,7267
"Huatli, Warrior Poet",1924
Marauding Looter,597
Raging Swordtooth,2619
Regisaur Alpha,3311
Shapers of Nature,1482
Sky Terror,939
"Tishana, Voice of Thunder",3903
"Vona, Butcher of Magan",3647
"Vraska, Relic Seeker",3798
Cobbled Wings,976
Conqueror's Galleon,2856
Dowsing Dagger,6848
Dusk Legion Dreadnought,513
Elaborate Firecannon,25
Fell Flagship,821
Gilded Sentinel,20
Hierophant's Chalice,688
Pillar of Origins,4168
Pirate's Cutlass,364
Primal Amulet,13771
Prying Blade,2091
Sentinel Totem,1412
Shadowed Caravel,93
Sleek Schooner,371
Thaumatic Compass,11824
Treasure Map,4645
Vanquisher's Banner,22717
Dragonskull Summit,30926
Drowned Catacomb,33994
Glacial Fortress,29200
Rootbound Crag,25810
Sunpetal Grove,29444
Unclaimed Territory,18903
"Jace, Ingenious Mind-Mage",838
Castaway's Despair,58
Grasping Current,101
Jace's Sentinel,60
"Huatli, Dinosaur Knight",850
Huatli's Snubhorn,92
Huatli's Spurring,34
Sun-Blessed Mount,538
