names,edhrec
Aegis of the Gods,3216
Ajani's Presence,2196
Akroan Mastiff,49
Armament of Nyx,74
Dawnbringer Charioteers,229
Deicide,89
Dictate of Heliod,4441
Eagle of the Watch,40
Eidolon of Rhetoric,4155
Font of Vigor,40
Godsend,2834
Harvestguard Alseids,251
Lagonna-Band Trailblazer,159
Launch the Fleet,1111
Leonin Iconoclast,38
Mortal Obstinacy,209
Nyx-Fleece Ram,2642
Oppressive Rays,417
Oreskos Swiftclaw,169
Phalanx Formation,97
Quarry Colossus,128
Reprisal,231
Sightless Brawler,49
Skybind,664
Skyspear Cavalry,74
Stonewise Fortifier,6
Supply-Line Cranes,27
Tethmos High Priest,525
Aerial Formation,62
Battlefield Thaumaturge,165
Cloaked Siren,17
Countermand,672
Crystalline Nautilus,33
Dakra Mystic,994
Daring Thief,706
Dictate of Kruphix,7691
Font of Fortunes,206
Godhunter Octopus,44
Hour of Need,144
Hubris,94
Hypnotic Siren,2400
Interpret the Signs,694
Kiora's Dismissal,78
Pin to the Earth,32
Polymorphous Rush,261
Pull from the Deep,1404
Riptide Chimera,224
Rise of Eagles,76
Sage of Hours,2291
Scourge of Fleets,3764
Sigiled Starfish,884
Thassa's Devourer,129
Thassa's Ire,181
Triton Cavalry,28
Triton Shorestalker,3551
War-Wing Siren,39
Whitewater Naiads,1060
Agent of Erebos,2130
Aspect of Gorgon,277
Bloodcrazed Hoplite,13
Brain Maggot,475
Cast into Darkness,28
Cruel Feeding,80
Dictate of Erebos,20576
Doomwake Giant,1921
Dreadbringer Lampads,147
Extinguish All Hope,1973
Feast of Dreams,39
Felhide Petrifier,386
Font of Return,203
Gnarled Scarhide,208
Grim Guardian,1320
"King Macar, the Gold-Cursed",1263
Master of the Feast,1736
Nightmarish End,34
Nyx Infusion,26
Pharika's Chosen,270
Returned Reveler,542
Ritual of the Returned,34
Rotted Hulk,15
Silence the Believers,1145
Spiteful Blow,40
Squelching Leeches,303
Thoughtrender Lamia,743
Tormented Thoughts,65
Worst Fears,1423
Akroan Line Breaker,46
Bearer of the Heavens,1235
Bladetusk Boar,39
Blinding Flare,68
Cyclops of Eternal Fury,311
Dictate of the Twin Gods,7274
Eidolon of the Great Revel,565
Flamespeaker's Will,201
Flurry of Horns,253
Font of Ire,18
Forgeborn Oreads,140
Gluttonous Cyclops,9
Harness by Force,900
Knowledge and Power,24
Lightning Diadem,12
Mogis's Warhound,55
Pensive Minotaur,43
Prophetic Flamespeaker,695
Riddle of Lightning,150
Rollick of Abandon,6
Rouse the Mob,472
Satyr Hoplite,242
Sigiled Skink,67
Spawn of Thraxes,1762
Spite of Mogis,162
Starfall,5
Twinflame,3407
Wildfire Cerberus,64
Bassara Tower Archer,343
Colossal Heroics,79
Consign to Dust,1086
Desecration Plague,67
Dictate of Karametra,3603
Eidolon of Blossoms,7876
Font of Fertility,1778
Golden Hind,273
Goldenhide Ox,73
Heroes' Bane,2871
Humbler of Mortals,198
Hydra Broodmaster,5083
Kruphix's Insight,1637
Market Festival,2021
Nature's Panoply,69
Nessian Game Warden,334
Oakheart Dryads,91
Pheres-Band Thunderhoof,36
Pheres-Band Warchief,112
Ravenous Leucrocota,17
Renowned Weaver,156
Reviving Melody,317
Satyr Grovedancer,231
Setessan Tactics,780
Solidarity of Heroes,4423
Spirespine,49
Strength from the Fallen,119
Swarmborn Giant,25
"Ajani, Mentor of Heroes",3103
"Athreos, God of Passage",4953
Desperate Stand,138
Disciple of Deceit,640
Fleetfeather Cockatrice,148
"Iroas, God of Victory",8556
"Keranos, God of Storms",3263
"Kruphix, God of Horizons",5806
Nyx Weaver,5101
"Pharika, God of Affliction",1634
Revel of the Fallen God,381
Stormchaser Chimera,102
Underworld Coinsmith,1201
Armory of Iroas,864
Chariot of Victory,1980
Deserter's Quarters,16
Gold-Forged Sentinel,16
Hall of Triumph,1839
Mana Confluence,35781
Temple of Epiphany,19001
Temple of Malady,17739
