names,edhrec
Ancestor's Chosen,30
Aven Warcraft,41
Battle Screech,827
Battlewise Aven,16
Benevolent Bodyguard,626
Border Patrol,15
Cagemail,9
Chastise,144
Commander Eesha,600
Funeral Pyre,22
Glory,487
Golden Wish,26
Guided Strike,1146
Lead Astray,2
Nomad Mythmaker,1058
Phantom Flock,67
Phantom Nomad,32
Prismatic Strands,652
Pulsemage Advocate,358
Ray of Revelation,168
Selfless Exorcist,4
Shieldmage Advocate,105
Silver Seraph,70
Solitary Confinement,1868
Soulcatchers' Aerie,505
Spirit Cairn,364
Spurnmage Advocate,342
Suntail Hawk,218
Test of Endurance,1756
Trained Pronghorn,19
Unquestioned Authority,5398
Valor,267
Vigilant Sentry,3
Aven Fogbringer,148
Cephalid Constable,1052
Cephalid Inkshrouder,435
Cunning Wish,56
Defy Gravity,182
Envelop,124
Flash of Insight,327
Grip of Amnesia,170
Hapless Researcher,434
Keep Watch,1033
Laquatus's Disdain,6
Lost in Thought,25
Mental Note,586
Mirror Wall,40
Mist of Stagnation,94
Quiet Speculation,283
Scalpelexis,83
Spelljack,1058
Telekinetic Bonds,54
Web of Inertia,476
Wonder,5601
Wormfang Behemoth,6
Wormfang Crab,58
Wormfang Drake,27
Wormfang Manta,68
Wormfang Newt,8
Wormfang Turtle,16
Balthor the Defiled,1155
Cabal Therapy,586
Cabal Trainee,19
Death Wish,50
Earsplitting Rats,123
Filth,1789
Grave Consequences,45
Guiltfeeder,1421
Masked Gorgon,20
Morality Shift,478
Rats' Feast,22
Stitch Together,5352
Sutured Ghoul,50
Toxic Stench,19
Treacherous Vampire,1
Treacherous Werewolf,6
Anger,12910
Arcane Teachings,82
Barbarian Bully,30
Book Burning,50
Breaking Point,314
Browbeat,1447
Burning Wish,183
Dwarven Bloodboiler,176
Dwarven Driller,452
Dwarven Scorcher,38
Ember Shot,19
Firecat Blitz,751
Flaring Pain,55
Fledgling Dragon,95
Goretusk Firebeast,21
Infectious Rage,17
"Jeska, Warrior Adept",305
Lava Dart,234
Liberated Dwarf,9
Lightning Surge,26
Planar Chaos,1643
Shaman's Trance,27
Soulgorger Orgg,30
Spellgorger Barbarian,20
Swelter,0
Swirling Sandstorm,48
Worldgorger Dragon,2606
Anurid Barkripper,17
Anurid Swarmsnapper,19
Battlefield Scrounger,31
Brawn,4789
Canopy Claws,10
Centaur Rootcaster,158
Crush of Wurms,342
Elephant Guide,177
Epic Struggle,534
Erhnam Djinn,17
Exoskeletal Armor,97
Folk Medicine,14
Forcemage Advocate,53
Genesis,4656
Giant Warthog,31
Grizzly Fate,917
Harvester Druid,455
Ironshell Beetle,190
Krosan Reclamation,206
Krosan Wayfarer,574
Living Wish,94
Nantuko Tracer,182
Nullmage Advocate,314
Phantom Centaur,71
Phantom Nantuko,386
Phantom Tiger,110
Seedtime,462
Serene Sunset,57
Sudden Strength,23
Sylvan Safekeeper,9512
"Thriss, Nantuko Primus",127
Tunneler Wurm,26
Venomous Vines,10
Anurid Brushhopper,9
Hunting Grounds,509
Mirari's Wake,21478
Phantom Nishoba,863
Krosan Verge,18851
Nantuko Monastery,241
Riftstone Portal,983
