names,edhrec
Acrobatic Maneuver,1705
Aerial Responder,1733
Aetherstorm Roc,351
Angel of Invention,3825
Authority of the Consuls,13107
Aviary Mechanic,843
Built to Last,421
Captured by the Consulate,217
Cataclysmic Gearhulk,2603
Consulate Surveillance,212
Consul's Shieldguard,123
Eddytrail Hawk,72
Fairgrounds Warden,972
Fragmentize,1163
Fumigate,17088
Gearshift Ace,802
Glint-Sleeve Artisan,336
Herald of the Fair,2
Inspired Charge,291
Master Trinketeer,774
Ninth Bridge Patrol,268
Pressure Point,223
Propeller Pioneer,45
Refurbish,808
Revoke Privileges,74
Servo Exhibition,318
Skyswirl Harrier,5
Skywhaler's Shot,186
Tasseled Dromedary,60
Thriving Ibex,40
Toolcraft Exemplar,631
Trusty Companion,18
Visionary Augmenter,378
Wispweaver Angel,467
Aether Meltdown,102
Aether Theorist,291
Aether Tradewinds,206
Aethersquall Ancient,1055
Ceremonious Rejection,156
Confiscation Coup,388
Curio Vendor,6
Disappearing Act,643
Dramatic Reversal,16940
Era of Innovation,283
Experimental Aviator,189
Failed Inspection,188
Gearseeker Serpent,206
Glimmer of Genius,1425
Glint-Nest Crane,495
Hightide Hermit,106
Insidious Will,9042
Janjeet Sentry,169
Long-Finned Skywhale,29
Malfunction,71
Metallurgic Summonings,6364
Minister of Inquiries,150
Nimble Innovator,56
"Padeem, Consul of Innovation",9713
Paradoxical Outcome,4862
Revolutionary Rebuff,159
Saheeli's Artistry,5607
Select for Inspection,357
Shrewd Negotiation,153
Tezzeret's Ambition,174
Thriving Turtle,144
Torrential Gearhulk,5417
Vedalken Blademaster,13
Weldfast Wingsmith,12
Wind Drake,30
Aetherborn Marauder,194
Ambitious Aetherborn,46
Demon of Dark Schemes,4158
Dhund Operative,52
Diabolic Tutor,37949
Die Young,164
Dukhara Scavenger,73
Eliminate the Competition,760
Embraal Bruiser,14
Essence Extraction,175
Fortuitous Find,758
Foundry Screecher,15
Fretwork Colony,41
"Gonti, Lord of Luxury",12640
Harsh Scrutiny,227
Lawless Broker,81
Live Fast,492
Lost Legacy,88
Make Obsolete,48
Marionette Master,3153
Maulfist Squad,40
Midnight Oil,109
Mind Rot,480
Morbid Curiosity,868
Night Market Lookout,415
Noxious Gearhulk,9718
Ovalchase Daredevil,69
Prakhata Club Security,14
Rush of Vitality,973
