names,edhrec
Abzan Battle Priest,1884
Abzan Falconer,3259
Ainok Bond-Kin,1163
Alabaster Kirin,17
Brave the Sands,5066
Dazzling Ramparts,288
End Hostilities,2931
Erase,500
Feat of Resistance,1058
Firehoof Cavalry,15
Herald of Anafenza,478
High Sentinels of Arashin,780
Jeskai Student,64
Kill Shot,112
Mardu Hateblade,63
Mardu Hordechief,107
Master of Pearls,97
Rush of Battle,164
Sage-Eye Harrier,20
Salt Road Patrol,20
Seeker of the Way,247
Siegecraft,40
Suspension Field,357
Take Up Arms,100
Timely Hordemate,102
Venerable Lammasu,2
War Behemoth,5
Watcher of the Roost,21
Wingmate Roc,1697
Blinding Spray,30
Clever Impersonator,13445
Crippling Chill,112
Dig Through Time,19627
Dragon's Eye Savants,315
Embodiment of Spring,944
Force Away,85
Glacial Stalker,14
Icy Blast,559
Jeskai Elder,220
Jeskai Windscout,48
Kheru Spellsnatcher,2284
Mistfire Weaver,670
Monastery Flock,443
Mystic of the Hidden Way,84
Pearl Lake Ancient,1044
Quiet Contemplation,371
Riverwheel Aerialists,45
Scaldkin,12
Scion of Glaciers,11
Set Adrift,131
Singing Bell Strike,92
Stubborn Denial,2728
Taigam's Scheming,564
Thousand Winds,1790
Treasure Cruise,21815
Waterwhirl,23
Weave Fate,159
Wetland Sambar,14
Whirlwind Adept,57
Bellowing Saddlebrute,28
Bitter Revelation,336
Bloodsoaked Champion,2617
Dead Drop,271
Debilitating Injury,40
Despise,301
Disowned Ancestor,365
Empty the Pits,1202
Grim Haruspex,13599
Gurmag Swiftwing,310
Kheru Bloodsucker,206
Kheru Dreadmaw,45
Krumar Bond-Kin,15
Mardu Skullhunter,41
Mer-Ek Nightblade,1229
Molting Snakeskin,68
Murderous Cut,4093
Necropolis Fiend,191
Raiders' Spoils,1195
Rakshasa's Secret,47
Retribution of the Ancients,1568
Rite of the Serpent,22
Rotting Mastodon,82
Ruthless Ripper,222
Shambling Attendants,58
Sidisi's Pet,23
Sultai Scavenger,61
Swarm of Bloodflies,373
Unyielding Krumar,26
Ainok Tracker,15
Arc Lightning,229
Arrow Storm,49
Ashcloud Phoenix,296
Barrage of Boulders,254
Bloodfire Expert,46
Bloodfire Mentor,16
Bring Low,16
Burn Away,355
Canyon Lurkers,11
Crater's Claws,621
Dragon Grip,68
Dragon-Style Twins,308
Goblinslide,1629
Horde Ambusher,18
Hordeling Outburst,5559
Howl of the Horde,1823
Jeering Instigator,520
Leaping Master,11
Mardu Blazebringer,14
Mardu Heart-Piercer,42
Mardu Warshrieker,51
Monastery Swiftspear,711
"Sarkhan, the Dragonspeaker",973
Swift Kick,60
Trumpet Blast,610
Valley Dasher,75
War-Name Aspirant,121
Alpine Grizzly,835
Archers' Parapet,101
Awaken the Bear,289
Become Immense,768
Dragonscale Boon,158
Feed the Clan,144
Hardened Scales,11626
Heir of the Wilds,135
Highland Game,54
Hooded Hydra,6115
Hooting Mandrills,101
Incremental Growth,491
Kin-Tree Warden,48
Longshot Squad,644
Meandering Towershell,108
Pine Walker,106
Rattleclaw Mystic,4011
Roar of Challenge,426
Sagu Archer,22
Savage Punch,714
Scout the Borders,306
See the Unwritten,2328
Seek the Horizon,1612
Smoke Teller,3
Sultai Flayer,125
Temur Charger,66
Trail of Mystery,1737
Tusked Colossodon,17
Tuskguard Captain,3081
Windstorm,288
Woolly Loxodon,81
Abomination of Gudul,46
Abzan Ascendancy,1791
Abzan Charm,4422
Abzan Guide,31
"Anafenza, the Foremost",2407
Ankle Shanker,2113
Armament Corps,87
Avalanche Tusker,127
Bear's Companion,107
Butcher of the Horde,550
Chief of the Edge,1162
Chief of the Scale,470
Crackling Doom,7554
Death Frenzy,97
Deflecting Palm,3916
Duneblast,3429
Efreet Weaponmaster,28
Flying Crane Technique,354
Highspire Mantis,73
Icefeather Aven,1979
Ivorytusk Fortress,1034
Jeskai Ascendancy,4026
Jeskai Charm,1342
Kheru Lich Lord,128
Kin-Tree Invocation,323
Mantis Rider,338
Mardu Ascendancy,876
Mardu Charm,756
Mardu Roughrider,106
Master the Way,335
Mindswipe,966
"Narset, Enlightened Master",1501
Ponyback Brigade,589
Rakshasa Deathdealer,129
Rakshasa Vizier,78
Sage of the Inward Eye,245
Sagu Mauler,1463
Savage Knuckleblade,371
Secret Plans,1778
"Sidisi, Brood Tyrant",2413
Siege Rhino,679
Snowhorn Rider,38
"Sorin, Solemn Visitor",2482
Sultai Ascendancy,3261
Sultai Charm,5517
Sultai Soothsayer,269
Surrak Dragonclaw,3408
Temur Ascendancy,6944
Temur Charm,1576
Trap Essence,542
Utter End,25018
Villainous Wealth,7501
Warden of the Eye,207
Winterflame,81
Zurgo Helmsmasher,1224
Abzan Banner,868
Altar of the Brood,8243
Briber's Purse,423
Cranial Archive,684
Dragon Throne of Tarkir,2827
Ghostfire Blade,520
Heart-Piercer Bow,139
Jeskai Banner,1918
Lens of Clarity,332
Mardu Banner,2051
Sultai Banner,1050
Temur Banner,842
Ugin's Nexus,1347
Witness of the Ages,8
Bloodstained Mire,44196
Flooded Strand,48331
Frontier Bivouac,18355
Mystic Monastery,19015
Nomad Outpost,21502
Opulent Palace,24477
Polluted Delta,51272
Sandsteppe Citadel,17809
Tomb of the Spirit Dragon,4004
Windswept Heath,48459
Wooded Foothills,43598
