names,edhrec
Akron Legionnaire,18
Alabaster Potion,41
Amrou Kithkin,38
Angelic Voices,75
Cleanse,18
Clergy of the Holy Nimbus,13
D'Avenant Archer,24
Divine Intervention,216
Divine Transformation,32
Elder Land Wurm,14
Enchanted Being,1
Equinox,217
Fortified Area,188
Glyph of Life,54
Great Defender,7
Great Wall,14
Greater Realm of Preservation,11
Heaven's Gate,9
Indestructible Aura,55
Infinite Authority,5
Ivory Guardians,1
Keepers of the Faith,7
Kismet,1841
Land Tax,16185
Lifeblood,3
Moat,606
Osai Vultures,11
Petra Sphinx,39
Rapid Fire,10
Remove Enchantments,98
Righteous Avengers,4
Seeker,24
Shield Wall,40
Spirit Link,713
Spiritual Sanctuary,8
Thunder Spirit,15
Tundra Wolves,231
Visions,15
Wall of Caltrops,29
Wall of Light,63
Acid Rain,36
Anti-Magic Aura,27
Azure Drake,8
Backfire,28
Brine Hag,2
Devouring Deep,7
Dream Coat,19
Elder Spawn,1
Energy Tap,218
Field of Dreams,128
Flash Counter,61
Flash Flood,119
Force Spike,1217
Glyph of Delusion,31
In the Eye of Chaos,143
Invoke Prejudice,224
Juxtapose,119
Land Equilibrium,233
Mana Drain,19428
Part Water,12
Psionic Entity,4
Psychic Purge,7
Puppet Master,13
Recall,517
Relic Bind,5
Remove Soul,531
Reset,269
Reverberation,2
Sea Kings' Blessing,35
Segovian Leviathan,25
Silhouette,3
Spectral Cloak,12
Telekinesis,8
Teleport,9
Time Elemental,40
Undertow,3
Venarian Gold,10
Wall of Vapor,105
Wall of Wonder,39
Zephyr Falcon,34
Abomination,19
All Hallow's Eve,90
Blight,71
Carrion Ants,18
Chains of Mephistopheles,677
Cosmic Horror,9
Cyclopean Mummy,4
Darkness,697
Demonic Torment,9
Evil Eye of Orms-by-Gore,22
Fallen Angel,369
Ghosts of the Damned,25
Giant Slug,6
Glyph of Doom,40
Greed,6571
Headless Horseman,12
Hell Swarm,4
Hell's Caretaker,2703
Hellfire,75
Horror of Horrors,43
Imprison,11
Infernal Medusa,35
Jovial Evil,1
Lesser Werewolf,6
Lost Soul,19
Mold Demon,3
Nether Void,370
Pit Scorpion,31
Quagmire,3
Shimian Night Stalker,5
Spirit Shackle,8
Takklemaggot,33
The Abyss,259
The Wretched,31
Touch of Darkness,136
Transmutation,11
Underworld Dreams,4233
Vampire Bats,20
Walking Dead,8
Wall of Putrid Flesh,15
Wall of Shadows,114
Wall of Tombstones,25
Active Volcano,87
Aerathi Berserker,10
Backdraft,6
Beasts of Bogardan,0
Blazing Effigy,11
Blood Lust,107
Caverns of Despair,75
Chain Lightning,1277
Crevasse,3
Crimson Kobolds,142
Crimson Manticore,3
Crookshank Kobolds,156
Disharmony,16
Dwarven Song,7
Eternal Warrior,86
Falling Star,0
Feint,2
Firestorm Phoenix,35
Frost Giant,9
Glyph of Destruction,34
Gravity Sphere,38
Hyperion Blacksmith,4
Immolation,31
Kobold Drill Sergeant,20
Kobold Overlord,13
Kobold Taskmaster,19
Kobolds of Kher Keep,135
Land's Edge,154
Mountain Yeti,11
Primordial Ooze,25
Pyrotechnics,46
Quarum Trench Gnomes,0
Raging Bull,1
Spinal Villain,17
Storm World,51
Tempest Efreet,0
The Brute,60
Wall of Dust,61
Wall of Earth,71
Wall of Heat,41
Wall of Opposition,24
Winds of Change,4222
Aisling Leprechaun,13
Arboria,125
Avoid Fate,486
Barbary Apes,16
Cat Warriors,38
Cocoon,6
Concordant Crossroads,4237
Craw Giant,24
Deadfall,3
Durkwood Boars,19
Emerald Dragonfly,10
Eureka,144
Fire Sprites,8
Floral Spuzzem,9
Giant Turtle,10
Glyph of Reincarnation,9
Hornet Cobra,23
Ichneumon Druid,36
Killer Bees,93
Living Plane,323
Master of the Hunt,41
Moss Monster,6
Pixie Queen,8
Pradesh Gypsies,1
Rabid Wombat,22
Radjan Spirit,7
Rebirth,0
Reincarnation,292
Revelation,70
Rust,5
Shelkin Brownie,4
Storm Seeker,67
Subdue,3
Sylvan Library,32771
Sylvan Paradise,10
Typhoon,4
Untamed Wilds,341
Whirling Dervish,24
Willow Satyr,125
Winter Blast,30
Wolverine Pack,9
Wood Elemental,16
Adun Oakenshield,49
Angus Mackenzie,107
Arcades Sabboth,73
Axelrod Gunnarson,13
Ayesha Tanaka,16
Barktooth Warbeard,20
Bartel Runeaxe,5
Boris Devilboon,20
Chromium,57
Dakkon Blackblade,84
Gabriel Angelfire,16
Gosta Dirk,4
Gwendlyn Di Corci,30
Halfdane,22
Hazezon Tamar,96
