names,edhrec
"Akroma, Angel of Wrath",3925
Akroma's Devoted,115
Aven Redeemer,30
Aven Warhawk,55
Beacon of Destiny,59
Celestial Gatekeeper,590
Cloudreach Cavalry,20
Daru Mender,13
Daru Sanctifier,17
Daru Stinger,13
Defender of the Order,29
Deftblade Elite,67
Essence Sliver,1308
Gempalm Avenger,40
Glowrider,1092
Liege of the Axe,2
Lowland Tracker,8
Planar Guide,253
Plated Sliver,695
Starlight Invoker,4
Stoic Champion,81
Sunstrike Legionnaire,68
Swooping Talon,16
Wall of Hope,791
Ward Sliver,1285
Whipgrass Entangler,150
White Knight,577
Windborn Muse,6984
Wingbeat Warrior,10
Aven Envoy,19
Cephalid Pathmage,100
Chromeshell Crab,2178
Covert Operative,31
Crookclaw Elder,338
Dermoplasm,129
Dreamborn Muse,2702
Echo Tracer,994
Fugitive Wizard,27
Gempalm Sorcerer,31
Glintwing Invoker,3
Keeneye Aven,72
Keeper of the Nine Gales,382
Master of the Veil,588
Merchant of Secrets,1160
Mistform Seaswift,10
Mistform Sliver,97
Mistform Ultimus,181
Mistform Wakecaster,50
Primoc Escapee,108
Riptide Director,467
Riptide Mangler,43
Shifting Sliver,2418
Synapse Sliver,1243
Voidmage Apprentice,1537
Wall of Deceit,423
Warped Researcher,8
Weaver of Lies,734
Willbender,2960
Aphetto Exterminator,133
Bane of the Living,1995
Blood Celebrant,1206
Corpse Harvester,1921
Crypt Sliver,1981
Dark Supplicant,132
Deathmark Prelate,53
Drinker of Sorrow,10
Dripping Dead,10
Earthblighter,23
Embalmed Brawler,3
Gempalm Polluter,964
Ghastly Remains,33
Goblin Turncoat,8
Graveborn Muse,2528
Havoc Demon,333
Hollow Specter,140
Infernal Caretaker,54
Noxious Ghoul,2012
Phage the Untouchable,1633
Scion of Darkness,737
Skinthinner,1095
Smokespew Invoker,6
Sootfeather Flock,3
Spectral Sliver,142
Toxin Sliver,568
Vile Deacon,115
Withered Wretch,1249
Zombie Brute,18
Blade Sliver,435
Bloodstoke Howler,16
Clickslither,155
Crested Craghorn,18
Flamewave Invoker,75
Frenetic Raptor,11
Gempalm Incinerator,1760
Goblin Assassin,1170
Goblin Clearcutter,18
Goblin Dynamo,42
Goblin Firebug,15
Goblin Goon,257
Goblin Grappler,74
Goblin Lookout,1218
Hunter Sliver,899
Imperial Hellkite,159
Kilnmouth Dragon,690
Lavaborn Muse,212
Macetail Hystrodon,27
Magma Sliver,793
Ridgetop Raptor,15
Rockshard Elemental,21
Shaleskin Plower,28
Skirk Alarmist,124
Skirk Drill Sergeant,302
Skirk Marauder,26
Skirk Outrider,1
Unstable Hulk,12
Warbreak Trumpeter,253
Berserk Murlodont,27
Branchsnap Lorian,18
Brontotherium,17
Brood Sliver,2021
Caller of the Claw,1694
Canopy Crawler,23
Defiant Elf,76
Elvish Soultiller,332
Enormous Baloth,45
Feral Throwback,30
Gempalm Strider,143
Glowering Rogon,9
Hundroog,19
Krosan Cloudscraper,213
Krosan Vorine,65
Nantuko Vigilante,1934
Needleshot Gourna,7
Patron of the Wild,29
Primal Whisperer,332
Quick Sliver,2669
Root Sliver,2136
Seedborn Muse,23229
Stonewood Invoker,14
Timberwatch Elf,2427
Totem Speaker,22
Tribal Forcemage,194
Vexing Beetle,6
Wirewood Channeler,2800
Wirewood Hivemaster,382
