names,edhrec
Animate Wall,113
Armageddon,6181
Balance,4
Benalish Hero,42
Black Ward,82
Blaze of Glory,18
Blessing,88
Blue Ward,83
Castle,256
Circle of Protection: Blue,141
Circle of Protection: Green,171
Circle of Protection: Red,186
Circle of Protection: White,333
Consecrate Land,69
Conversion,23
Crusade,866
Death Ward,195
Disenchant,7542
Farmstead,2
Green Ward,77
Guardian Angel,7
Healing Salve,52
Holy Armor,18
Holy Strength,97
Island Sanctuary,1486
Karma,230
Lance,11
Mesa Pegasus,53
Northern Paladin,150
Pearled Unicorn,14
Personal Incarnation,13
Purelace,5
Red Ward,80
Resurrection,759
Reverse Damage,121
Righteousness,265
Samite Healer,23
Savannah Lions,436
Serra Angel,910
Swords to Plowshares,94323
Veteran Bodyguard,38
Wall of Swords,230
White Knight,578
White Ward,40
Wrath of God,26504
Air Elemental,132
Ancestral Recall,5
Animate Artifact,21
Blue Elemental Blast,644
Braingeyser,1005
Clone,4476
Control Magic,4356
Copy Artifact,4325
Counterspell,88169
Creature Bond,10
Drain Power,232
Feedback,7
Flight,48
Invisibility,317
Jump,9
Lifetap,25
Lord of Atlantis,1645
Magical Hack,45
Mahamoti Djinn,54
Mana Short,266
Merfolk of the Pearl Trident,29
Phantasmal Forces,4
Phantasmal Terrain,50
Phantom Monster,11
Pirate Ship,146
Power Leak,16
Power Sink,1017
Prodigal Sorcerer,475
Psionic Blast,133
Psychic Venom,28
Sea Serpent,17
Siren's Call,38
Sleight of Mind,213
Spell Blast,136
Stasis,2610
Steal Artifact,428
Thoughtlace,7
Time Walk,2
Timetwister,3967
Twiddle,193
Unsummon,2340
Vesuvan Doppelganger,613
Volcanic Eruption,21
Wall of Air,658
Wall of Water,60
Water Elemental,8
Animate Dead,24574
Bad Moon,1223
Black Knight,502
Bog Wraith,17
Contract from Below,0
Cursed Land,30
Dark Ritual,21642
Darkpact,0
Deathgrip,159
Deathlace,5
Demonic Attorney,0
Demonic Hordes,87
Demonic Tutor,57451
Drain Life,485
Drudge Skeletons,128
Evil Presence,62
Fear,196
Frozen Shade,26
Gloom,48
Howl from Beyond,379
Hypnotic Specter,1206
Lich,136
Lord of the Pit,161
Mind Twist,966
Nether Shadow,183
Nettling Imp,122
Nightmare,604
Paralyze,64
Pestilence,3009
Plague Rats,25
Raise Dead,622
Royal Assassin,2600
Sacrifice,576
Scathe Zombies,11
Scavenging Ghoul,6
Sengir Vampire,277
Simulacrum,64
Sinkhole,346
Terror,831
Unholy Strength,87
Wall of Bone,190
Warp Artifact,5
Weakness,4
Will-o'-the-Wisp,325
Word of Command,78
Zombie Master,2634
Burrowing,31
Chaoslace,7
Disintegrate,324
Dragon Whelp,224
Dwarven Demolition Team,25
Dwarven Warriors,45
Earth Elemental,11
Earthbind,28
Earthquake,7705
False Orders,32
Fire Elemental,81
Fireball,3115
Firebreathing,128
Flashfires,141
Fork,1920
Goblin Balloon Brigade,214
Goblin King,3412
Granite Gargoyle,11
Gray Ogre,7
Hill Giant,10
Hurloon Minotaur,16
Ironclaw Orcs,8
Keldon Warlord,89
Lightning Bolt,9931
Mana Flare,2464
Manabarbs,3861
Mons's Goblin Raiders,21
Orcish Artillery,29
Orcish Oriflamme,101
Power Surge,65
Raging River,99
Red Elemental Blast,13090
Roc of Kher Ridges,7
Rock Hydra,97
Sedge Troll,8
Shatter,392
Shivan Dragon,819
Smoke,1810
Stone Giant,10
Stone Rain,561
Tunnel,4
Two-Headed Giant of Foriys,3
Uthden Troll,15
Wall of Fire,117
Wall of Stone,149
Wheel of Fortune,11996
Aspect of Wolf,113
Berserk,2360
Birds of Paradise,41419
Camouflage,22
Channel,1
Cockatrice,49
Craw Wurm,49
Elvish Archers,49
Fastbond,2
Fog,3150
Force of Nature,21
Fungusaur,181
Gaea's Liege,70
Giant Growth,1146
Giant Spider,223
Grizzly Bears,964
Hurricane,1559
Ice Storm,63
Instill Energy,1550
Ironroot Treefolk,18
Kudzu,31
Ley Druid,213
Lifeforce,185
Lifelace,2
Living Artifact,9
Living Lands,78
Llanowar Elves,45081
Lure,636
Natural Selection,13
Regeneration,243
Regrowth,15726
Scryb Sprites,811
Shanodin Dryads,146
Stream of Life,206
Thicket Basilisk,22
Timber Wolves,48
Tranquility,263
Tsunami,129
Verduran Enchantress,5601
Wall of Brambles,46
Wall of Ice,656
Wall of Wood,82
Wanderlust,12
War Mammoth,27
Web,34
Wild Growth,13973
Ankh of Mishra,1997
Basalt Monolith,15921
Black Lotus,1
Black Vise,533
Celestial Prism,39
Clockwork Beast,12
Conservator,3
Copper Tablet,45
Crystal Rod,21
Cyclopean Tomb,14
Dingus Egg,606
Disrupting Scepter,35
Forcefield,324
Gauntlet of Might,777
Glasses of Urza,476
Helm of Chatzuk,88
Howling Mine,10561
Icy Manipulator,1092
Illusionary Mask,25
Iron Star,18
Ivory Cup,17
Jade Monolith,264
Jade Statue,15
Jayemdae Tome,308
Juggernaut,113
Kormus Bell,316
Library of Leng,5867
Living Wall,264
Mana Vault,32556
Meekstone,4697
Mox Emerald,1
Mox Jet,1
Mox Pearl,0
Mox Ruby,0
Mox Sapphire,1
Nevinyrral's Disk,19159
Obsianus Golem,10
Rod of Ruin,35
Sol Ring,292582
Soul Net,42
Sunglasses of Urza,45
The Hive,38
Throne of Bone,39
Time Vault,1
Winter Orb,8281
Wooden Sphere,16
Badlands,11356
Bayou,12650
Plateau,10113
Savannah,11956
Scrubland,11777
Taiga,10365
Tropical Island,13075
Tundra,11805
Underground Sea,13013
Plains,159832
Island,184755
Swamp,179364
Mountain,164428
Forest,172804
