names,edhrec
Ajani Goldmane,1625
Arbiter of Knollridge,883
Austere Command,21571
Avian Changeling,918
Battle Mastery,4153
"Brigid, Hero of Kinsbaile",282
Burrenton Forge-Tender,59
Cenn's Heir,67
Changeling Hero,739
Cloudgoat Ranger,431
Crib Swap,3763
Dawnfluke,33
Entangling Trap,5
Favor of the Mighty,143
Galepowder Mage,414
Goldmeadow Dodger,38
Goldmeadow Harrier,113
Goldmeadow Stalwart,41
Harpoon Sniper,243
Hillcomber Giant,11
Hoofprints of the Stag,686
Judge of Currents,301
Kinsbaile Balloonist,56
Kinsbaile Skirmisher,40
Kithkin Greatheart,14
Kithkin Harbinger,87
Kithkin Healer,22
Knight of Meadowgrain,428
Lairwatch Giant,34
Militia's Pride,345
Mirror Entity,9992
Neck Snap,16
Oaken Brawler,51
Plover Knights,57
Pollen Lullaby,148
Purity,394
Sentry Oak,42
Shields of Velis Vel,536
Soaring Hope,12
Springjack Knight,37
Summon the School,333
Surge of Thoughtweft,56
Thoughtweft Trio,75
Triclopean Sight,171
Veteran of the Depths,153
Wellgabber Apothecary,25
Wispmare,607
Wizened Cenn,76
Aethersnipe,612
Amoeboid Changeling,2268
Aquitect's Will,981
Benthicore,80
Broken Ambitions,169
Captivating Glance,115
Cryptic Command,11629
Deeptread Merrow,39
Drowner of Secrets,294
Ego Erasure,82
Ethereal Whiskergill,9
Faerie Harbinger,671
Faerie Trickery,1434
Fallowsage,1202
Familiar's Ruse,2552
Fathom Trawl,95
Forced Fruition,2139
Glen Elendra Pranksters,250
Glimmerdust Nap,8
Guile,1894
Inkfathom Divers,102
Jace Beleren,7195
Merrow Commerce,1790
Merrow Harbinger,1516
Merrow Reejerey,2073
Mistbind Clique,574
Mulldrifter,21898
Paperfin Rascal,9
Pestermite,2202
Ponder,42311
Protective Bubble,393
Ringskipper,53
Scattering Stroke,199
Scion of Oona,1451
Sentinels of Glen Elendra,12
Shapesharer,1630
Silvergill Adept,1375
Silvergill Douser,154
Sower of Temptation,4267
Spellstutter Sprite,2004
Stonybrook Angler,192
Streambed Aquitects,617
Surgespanner,1330
Tideshaper Mystic,230
Turtleshell Changeling,286
Wanderwine Prophets,1519
Whirlpool Whelm,45
Wings of Velis Vel,134
Zephyr Net,26
Black Poplar Shaman,362
Bog Hoodlums,11
Boggart Birth Rite,176
Boggart Harbinger,561
Boggart Loggers,13
Boggart Mob,461
Cairn Wanderer,1016
Colfenor's Plans,20
Dread,1607
Dreamspoiler Witches,130
Exiled Boggart,7
Eyeblight's Ending,495
Facevaulter,39
Faerie Tauntings,181
Final Revels,4
Fodder Launch,173
Footbottom Feast,481
Ghostly Changeling,508
Hoarder's Greed,117
Hornet Harasser,18
Hunter of Eyeblights,222
Knucklebone Witch,191
Liliana Vess,9784
Lys Alana Scarblade,202
Mad Auntie,840
Makeshift Mannequin,398
Marsh Flitter,803
Moonglove Winnower,22
Mournwhelk,51
Nameless Inversion,451
Nath's Buffoon,6
Nectar Faerie,203
Nettlevine Blight,153
