names,edhrec
Ajani Goldmane,1616
Ajani's Mantra,552
Ajani's Pridemate,3990
Angelic Arbiter,3548
Armored Ascension,1067
Baneslayer Angel,2599
Blinding Mage,56
Cloud Crusader,40
Condemn,4713
Excommunicate,35
Goldenglow Moth,150
Holy Strength,97
Infantry Veteran,39
Inspired Charge,289
Knight Exemplar,2070
Leyline of Sanctity,1867
Palace Guard,195
Serra Ascendant,6912
Silence,7078
Solemn Offering,555
Squadron Hawk,12
Tireless Missionaries,12
Vengeful Archon,127
White Knight,574
Wild Griffin,55
Air Servant,40
Armored Cancrix,45
Augury Owl,2033
Azure Drake,8
Call to Mind,2231
Cloud Elemental,9
Conundrum Sphinx,976
Diminish,144
Foresee,1129
Jace Beleren,7130
Jace's Ingenuity,1372
Leyline of Anticipation,18407
Maritime Guard,20
Mass Polymorph,421
Merfolk Sovereign,2203
Merfolk Spy,589
Phantom Beast,10
Preordain,29801
Tome Scour,501
Traumatize,4092
Wall of Frost,3589
Water Servant,15
Assassinate,221
Barony Vampire,33
Black Knight,497
Blood Tithe,390
Bog Raiders,20
Captivating Vampire,4499
Corrupt,1030
Dark Tutelage,1192
Demon of Death's Gate,558
Haunting Echoes,13
Howling Banshee,78
Leyline of the Void,3682
Liliana Vess,9716
Liliana's Caress,4416
Liliana's Specter,1354
Nantuko Shade,203
Necrotic Plague,143
Nether Horror,2
Nightwing Shade,19
Quag Sickness,98
Relentless Rats,721
Rotting Legion,1
Stabbing Pain,12
Unholy Strength,86
Viscera Seer,22792
Ancient Hellkite,220
Arc Runner,307
Berserkers of Blood Ridge,12
Bloodcrazed Goblin,26
Chandra Nalaar,674
Chandra's Spitfire,672
Cyclops Gladiator,196
Demolish,527
Destructive Force,790
Earth Servant,26
Ember Hauler,337
Fire Servant,1577
Goblin Balloon Brigade,210
Hoarding Dragon,2337
Incite,10
Leyline of Punishment,1026
Lightning Bolt,9766
Magma Phoenix,306
Prodigal Pyromancer,547
Pyretic Ritual,2966
Pyroclasm,2529
Shiv's Embrace,127
Thunder Strike,101
Vulshok Berserker,2
Wild Evocation,1269
Awakener Druid,81
Back to Nature,1024
Cultivate,88779
Dryad's Favor,46
Fauna Shaman,10826
Gaea's Revenge,990
Garruk Wildspeaker,7296
Giant Growth,1131
Hornet Sting,32
Hunters' Feast,33
Leyline of Vitality,764
Mitotic Slime,1627
Nature's Spiral,1014
Obstinate Baloth,148
Overwhelming Stampede,14877
Primal Cocoon,54
Prized Unicorn,173
Protean Hydra,2524
Spined Wurm,31
Sylvan Ranger,3238
Wall of Vines,506
Yavimaya Wurm,52
Brittle Effigy,775
Crystal Ball,3719
Gargoyle Sentinel,44
Jinxed Idol,572
Juggernaut,113
Ornithopter,6482
Platinum Angel,6439
Sorcerer's Strongbox,448
Steel Overseer,2202
Stone Golem,24
Sword of Vengeance,8250
Temple Bell,6995
Triskelion,5134
Voltaic Key,8124
Warlord's Axe,34
Whispersilk Cloak,25607
Mystifying Maze,4833
Terramorphic Expanse,110238
