names,edhrec
Akroan Jailer,39
Ampryn Tactician,44
Anointer of Champions,53
Archangel of Tithes,4071
Auramancer,4661
Aven Battle Priest,18
Blessed Spirits,218
Celestial Flare,360
Charging Griffin,55
Cleric of the Forward Order,9
Consul's Lieutenant,449
Enlightened Ascetic,642
Enshrouding Mist,95
Gideon's Phalanx,416
Grasp of the Hieromancer,187
Hallowed Moonlight,462
Healing Hands,134
Heavy Infantry,4
"Hixus, Prison Warden",381
Knight of the Pilgrim's Road,34
Knight of the White Orchid,9847
"Kytheon, Hero of Akros",1268
Kytheon's Irregulars,196
Kytheon's Tactics,76
Murder Investigation,469
Patron of the Valiant,135
Relic Seeker,1989
Sentinel of the Eternal Watch,224
Sigil of the Empty Throne,9077
Stalwart Aven,45
Starfield of Nyx,4064
Suppression Bonds,312
Swift Reckoning,60
Topan Freeblade,90
Totem-Guide Hartebeest,720
Tragic Arrogance,4487
Valor in Akros,492
Vryn Wingmare,2203
War Oracle,47
"Alhammarret, High Arbiter",688
Anchor to the Aether,60
Artificer's Epiphany,553
Aspiring Aeronaut,96
Calculated Dismissal,377
Clash of Wills,497
Claustrophobia,335
Day's Undoing,2492
Deep-Sea Terror,41
Disciple of the Ring,751
Displacement Wave,1991
Dreadwaters,311
Harbinger of the Tides,2316
Hydrolash,38
"Jace, Vryn's Prodigy",5881
Jace's Sanctum,8102
Jhessian Thief,451
Maritime Guard,20
Mizzium Meddler,706
Nivix Barrier,124
Psychic Rebuttal,280
Ringwarden Owl,19
Scrapskin Drake,43
Screeching Skaab,172
Send to Sleep,106
Separatist Voidmage,286
Sigiled Starfish,876
Skaab Goliath,86
Soulblade Djinn,319
Sphinx's Tutelage,4622
Stratus Walk,150
Talent of the Telepath,1694
Thopter Spy Network,7452
Tower Geist,88
Turn to Frog,626
Watercourser,18
Whirler Rogue,3556
Willbreaker,2547
Blightcaster,205
Catacomb Slug,14
Consecrated by Blood,57
Cruel Revival,377
Dark Dabbling,315
Dark Petition,10034
Deadbridge Shaman,132
Demonic Pact,387
Despoiler of Souls,62
Erebos's Titan,130
Eyeblight Assassin,42
Eyeblight Massacre,147
Fetid Imp,100
Fleshbag Marauder,17437
Gilt-Leaf Winnower,388
Gnarlroot Trapper,299
Graveblade Marauder,411
Infinite Obliteration,41
"Kothophed, Soul Hoarder",1936
Languish,3654
"Liliana, Heretical Healer",5428
Malakir Cullblade,595
Nantuko Husk,1272
Necromantic Summons,498
Nightsnare,40
Priest of the Blood Rite,669
Rabid Bloodsucker,51
Read the Bones,23646
Reave Soul,142
Returned Centaur,301
Revenant,223
Shadows of the Past,1566
Shambling Ghoul,40
Tainted Remedy,2440
Thornbow Archer,105
Tormented Thoughts,65
Touch of Moonglove,125
Unholy Hunger,86
Weight of the Underworld,31
Abbot of Keral Keep,433
Acolyte of the Inferno,31
Akroan Sergeant,19
Avaricious Dragon,671
Bellows Lizard,29
Call of the Full Moon,44
"Chandra, Fire of Kaladesh",1479
Chandra's Fury,230
Chandra's Ignition,9072
Cobblebrute,23
Demolish,527
Dragon Fodder,5356
Embermaw Hellion,1606
Enthralling Victor,209
Exquisite Firecraft,450
Fiery Conclusion,73
Fiery Impulse,170
Firefiend Elemental,25
Flameshadow Conjuring,5069
Ghirapur Aether Grid,581
Ghirapur Gearcrafter,371
Goblin Glory Chaser,304
Goblin Piledriver,2069
Infectious Bloodlust,14
Lightning Javelin,47
Mage-Ring Bully,36
Magmatic Insight,1653
Molten Vortex,273
Pia and Kiran Nalaar,3073
Prickleboar,19
Ravaging Blaze,497
Scab-Clan Berserker,1283
Seismic Elemental,112
Skyraker Giant,19
Smash to Smithereens,1277
Subterranean Scout,44
Thopter Engineer,2204
Titan's Strength,3151
Volcanic Rambler,34
Aerial Volley,55
Animist's Awakening,4631
Caustic Caterpillar,11000
Conclave Naturalists,719
"Dwynen, Gilt-Leaf Daen",3193
Dwynen's Elite,1819
Elemental Bond,13761
Elvish Visionary,9821
Evolutionary Leap,6770
Gaea's Revenge,990
Gather the Pack,341
The Great Aurora,1842
Herald of the Pantheon,5642
Hitchclaw Recluse,177
Honored Hierarch,458
Joraga Invocation,49
Leaf Gilder,1016
Llanowar Empath,364
Managorger Hydra,7767
Mantle of Webs,68
"Nissa, Vastwood Seer",7853
Nissa's Pilgrimage,8741
Nissa's Revelation,811
Orchard Spirit,28
Outland Colossus,403
Pharika's Disciple,56
Reclaim,2951
Rhox Maulers,38
Skysnare Spider,383
Somberwald Alpha,441
Sylvan Messenger,1154
Timberpack Wolf,32
Undercity Troll,36
Valeron Wardens,13
Vastwood Gorger,22
Vine Snare,43
Wild Instincts,74
Woodland Bellower,5259
Yeva's Forcemage,42
Zendikar's Roil,6747
Blazing Hellhound,66
Blood-Cursed Knight,253
Bounding Krasis,975
Citadel Castellan,101
Iroas's Champion,333
Possessed Skaab,901
Reclusive Artificer,95
Shaman of the Pack,700
Thunderclap Wyvern,981
Zendikar Incarnate,1255
Alchemist's Vial,827
Alhammarret's Archive,9339
Angel's Tomb,85
Bonded Construct,75
Brawler's Plate,338
Chief of the Foundry,3341
Gold-Forged Sentinel,16
Guardian Automaton,33
Guardians of Meletis,417
