names,edhrec
Afterlife,398
Alabaster Wall,24
Armistice,181
Ballista Squad,93
Charm Peddler,13
Charmed Griffin,83
Cho-Arrim Alchemist,33
Cho-Arrim Bruiser,48
Cho-Arrim Legate,21
"Cho-Manno, Revolutionary",261
Cho-Manno's Blessing,148
Common Cause,11
Cornered Market,47
Crackdown,717
Crossbow Infantry,31
Devout Witness,163
Disenchant,7532
Fountain Watch,520
Fresh Volunteers,17
Honor the Fallen,167
Ignoble Soldier,5
Inviolability,184
Ivory Mask,225
Jhovall Queen,49
Jhovall Rider,27
Last Breath,19
Moment of Silence,56
Moonlit Wake,172
Muzzle,43
Nightwind Glider,62
Noble Purpose,297
Orim's Cure,12
Pious Warrior,42
Ramosian Captain,114
Ramosian Commander,89
Ramosian Lieutenant,131
Ramosian Rally,25
Ramosian Sergeant,137
Ramosian Sky Marshal,76
Rappelling Scouts,71
Renounce,43
Revered Elder,6
Reverent Mantra,138
Righteous Aura,568
Righteous Indignation,8
Security Detail,13
Soothing Balm,11
Spiritual Focus,24
Steadfast Guard,39
Story Circle,422
Task Force,95
Thermal Glider,54
Tonic Peddler,2
Trap Runner,34
Wave of Reckoning,2212
Wishmonger,110
Aerial Caravan,4
Balloon Peddler,10
Blockade Runner,19
Brainstorm,58787
Bribery,4834
Buoyancy,15
Chambered Nautilus,6
Chameleon Spirit,55
Charisma,403
Cloud Sprite,589
Coastal Piracy,4774
Counterspell,87994
Cowardice,429
Customs Depot,23
Darting Merfolk,60
Dehydration,9
Diplomatic Escort,104
Diplomatic Immunity,2149
Drake Hatchling,2
Embargo,281
Energy Flux,975
Extravagant Spirit,3
False Demise,203
Glowing Anemone,19
Gush,2963
High Seas,65
Hoodwink,42
Indentured Djinn,239
Karn's Touch,36
Misdirection,4648
Misstep,17
Overtaker,221
Port Inspector,9
Rishadan Airship,48
Rishadan Brigand,381
Rishadan Cutpurse,554
Rishadan Footpad,532
Sailmonger,28
Sand Squid,63
Saprazzan Bailiff,32
Saprazzan Breaker,5
Saprazzan Heir,113
Saprazzan Legate,18
Saprazzan Outrigger,4
Saprazzan Raider,2
Shoving Match,13
Soothsaying,1874
Squeeze,73
Statecraft,800
Stinging Barrier,54
Thwart,603
Tidal Bore,55
Tidal Kraken,423
Timid Drake,5
Trade Routes,1551
War Tax,715
Waterfront Bouncer,221
Alley Grifters,38
Black Market,13456
Bog Smugglers,15
Bog Witch,754
Cackling Witch,26
Cateran Brute,18
Cateran Enforcer,20
Cateran Kidnappers,19
Cateran Overlord,19
Cateran Persuader,12
Cateran Slaver,18
Cateran Summons,110
Conspiracy,2290
Corrupt Official,20
Dark Ritual,21593
Deathgazer,6
Deepwood Ghoul,89
Deepwood Legate,76
Delraich,38
Enslaved Horror,62
Extortion,18
Forced March,182
Ghoul's Feast,43
Haunted Crossroads,1138
Highway Robber,33
Instigator,30
Insubordination,8
Intimidation,187
Larceny,677
Liability,89
Maggot Therapy,5
Midnight Ritual,37
Misshapen Fiend,15
Molting Harpy,10
Nether Spirit,84
Notorious Assassin,89
Pretender's Claim,19
Primeval Shambler,17
Putrefaction,18
Quagmire Lamprey,14
Rain of Tears,128
Rampart Crawler,10
Rouse,13
Scandalmonger,63
Sever Soul,22
Silent Assassin,66
Skulking Fugitive,8
Snuff Out,3443
Soul Channeling,382
Specter's Wail,19
Strongarm Thug,18
Thrashing Wumpus,218
Undertaker,341
Unmask,211
Unnatural Hunger,34
Vendetta,841
Wall of Distortion,9
Arms Dealer,1054
Battle Rampart,107
Battle Squadron,995
Blaster Mage,4
Blood Hound,29
Blood Oath,26
Brawl,35
Cave Sense,18
Cave-In,119
Cavern Crawler,6
Ceremonial Guard,1
Cinder Elemental,139
Close Quarters,43
Crag Saurian,6
Crash,40
Flailing Manticore,17
Flailing Ogre,14
