names,edhrec
Alarum,23
Auspicious Ancestor,5
Benevolent Unicorn,19
Celestial Dawn,863
Civic Guildmage,11
Dazzling Beauty,7
Disempower,49
Divine Offering,377
Divine Retribution,6
Ekundu Griffin,52
Enlightened Tutor,40285
Ethereal Champion,15
Favorable Destiny,47
Femeref Healer,11
Femeref Knight,15
Femeref Scouts,5
Illumination,145
Iron Tusk Elephant,22
Ivory Charm,28
Jabari's Influence,30
Mangara's Blessing,4
Mangara's Equity,11
Melesse Spirit,14
Mtenda Griffin,55
Mtenda Herder,9
Noble Elephant,44
Null Chamber,49
Pearl Dragon,19
Prismatic Circle,14
Rashida Scalebane,9
Ritual of Steel,20
Sacred Mesa,980
Shadowbane,4
Sidar Jabari,44
Soul Echo,79
Spectral Guardian,11
Sunweb,88
Teremko Griffin,62
Unyaro Griffin,50
Vigilant Martyr,64
Wall of Resistance,191
Ward of Lights,143
Yare,8
Zhalfirin Commander,48
Zhalfirin Knight,14
"Zuberi, Golden Feather",5
Ancestral Memories,122
Azimaet Drake,4
Bay Falcon,43
Bazaar of Wonders,20
Boomerang,1490
Cerulean Wyvern,9
Cloak of Invisibility,108
Coral Fighters,112
Daring Apprentice,430
Dissipate,7560
Dream Fighter,33
Energy Vortex,39
Ether Well,42
Flash,2835
Floodgate,126
"Hakim, Loreweaver",21
Harmattan Efreet,4
Jolt,34
Kukemssa Pirates,369
Kukemssa Serpent,36
Memory Lapse,3684
Merfolk Raiders,13
Merfolk Seer,8
Mind Bend,236
Mind Harness,179
Mist Dragon,47
Mystical Tutor,47913
Political Trickery,414
Polymorph,885
Prismatic Lace,31
Psychic Transfer,3
Ray of Command,507
Reality Ripple,144
Sandbar Crocodile,11
Sapphire Charm,143
Sea Scryer,567
Shaper Guildmage,10
Shimmer,170
Soar,4
Suq'Ata Firewalker,170
Taniwha,90
Teferi's Curse,44
Teferi's Drake,12
Teferi's Imp,20
Thirst,5
Tidal Wave,59
Vaporous Djinn,8
Wave Elemental,2
Abyssal Hunter,34
Ashen Powder,216
Barbed-Back Wurm,6
Binding Agony,47
Blighted Shaman,14
Bone Harvest,300
Breathstealer,13
Cadaverous Knight,49
Carrion,318
Catacomb Dragon,41
Choking Sands,108
Crypt Cobra,36
Dirtwater Wraith,12
Drain Life,484
Dread Specter,26
Ebony Charm,210
Feral Shadow,13
Fetid Horror,21
Forbidden Crypt,60
Forsaken Wastes,213
Grave Servitude,4
Gravebane Zombie,24
Harbinger of Night,562
Infernal Contract,279
Kaervek's Hex,6
Mire Shade,15
Nocturnal Raid,9
Painful Memories,11
Phyrexian Tribute,109
Purraj of Urborg,20
Ravenous Vampire,4
Reign of Terror,9
Restless Dead,55
Sewer Rats,71
Shadow Guildmage,17
Shallow Grave,501
"Shauku, Endbringer",401
Skulking Ghost,16
Soul Rend,19
Soulshriek,38
Spirit of the Night,234
Stupor,66
Tainted Specter,41
Tombstone Stairwell,569
Urborg Panther,15
Wall of Corpses,62
Withering Boon,1124
Zombie Mob,6
Agility,33
Aleatory,447
Armorer Guildmage,8
Barreling Attack,11
Blind Fury,26
Blistering Barrier,94
Builder's Bane,68
Burning Palm Efreet,3
Burning Shield Askari,9
Chaos Charm,58
Chaosphere,250
Cinder Cloud,30
Consuming Ferocity,5
Crimson Hellkite,49
Crimson Roc,0
Dwarven Miner,866
Dwarven Nomad,41
Ekundu Cyclops,5
Emberwilde Djinn,31
Final Fortune,1207
Firebreathing,128
Flame Elemental,8
Flare,53
Goblin Elite Infantry,11
Goblin Scouts,110
Goblin Soothsayer,333
Goblin Tinkerer,296
Hammer of Bogardan,120
Hivis of the Scale,6
Illicit Auction,721
Incinerate,896
Kaervek's Torch,237
Lightning Reflexes,10
Pyric Salamander,1
Raging Spirit,4
Reckless Embermage,1
Reign of Chaos,25
Searing Spear Askari,14
Sirocco,12
Spitting Earth,109
Subterranean Spirit,73
Talruum Minotaur,30
Telim'Tor,15
Telim'Tor's Edict,67
Torrent of Lava,33
Viashino Warrior,4
Volcanic Dragon,243
Volcanic Geyser,430
Wildfire Emissary,7
Zirilan of the Claw,219
Afiya Grove,66
Armor of Thorns,17
Barbed Foliage,19
Brushwagg,19
Canopy Dragon,17
Crash of Rhinos,17
Cycle of Life,6
Decomposition,2
Early Harvest,1168
Fallow Earth,22
Femeref Archers,41
Fog,3142
Foratog,94
Giant Mantis,17
Gibbering Hyenas,3
Granger Guildmage,9
Hall of Gemstone,997
Jolrael's Centaur,15
Jungle Patrol,17
Jungle Wurm,7
Karoo Meerkat,13
Locust Swarm,23
Lure of Prey,63
Maro,127
Mindbender Spores,123
Mtenda Lion,0
Natural Balance,195
Nettletooth Djinn,0
Preferred Selection,33
Regeneration,243
Roots of Life,65
Sabertooth Cobra,278
Sandstorm,13
Seedling Charm,195
Seeds of Innocence,305
Serene Heart,7
Stalking Tiger,32
Superior Numbers,6
Tranquil Domain,27
Tropical Storm,20
Uktabi Faerie,28
Uktabi Wildcats,60
Unseen Walker,29
Unyaro Bee Sting,5
Village Elder,108
Waiting in the Weeds,156
Wall of Roots,4006
Wild Elephant,35
Worldly Tutor,21285
"Asmira, Holy Avenger",53
Benthic Djinn,2
Cadaverous Bloom,115
Circle of Despair,101
Delirium,305
Discordant Spirit,5
Emberwilde Caliph,6
Energy Bolt,42
Frenetic Efreet,583
Grim Feast,157
Harbor Guardian,1
Haunting Apparition,6
Hazerider Drake,0
Jungle Troll,3
Kaervek's Purge,28
Leering Gargoyle,2
Malignant Growth,21
Phyrexian Purge,296
Prismatic Boon,6
Purgatory,60
Radiant Essence,1
Reflect Damage,104
Reparations,133
Rock Basilisk,5
Sawback Manticore,0
Sealed Fate,32
Shauku's Minion,1
Spatial Binding,13
Unfulfilled Desires,171
Vitalizing Cascade,23
Warping Wurm,16
Wellspring,56
Windreaper Falcon,6
Zebra Unicorn,13
Acidic Dagger,7
Amber Prison,52
Amulet of Unmaking,13
Basalt Golem,20
Bone Mask,13
Charcoal Diamond,7593
Chariot of the Sun,8
Crystal Golem,12
Cursed Totem,4142
Elixir of Vitality,12
Ersatz Gnomes,8
Fire Diamond,10054
Grinning Totem,224
Horrible Hordes,13
Igneous Golem,1
Lead Golem,1
