names,edhrec
Altar's Light,62
Arrest,1512
Auriok Bladewarden,29
Auriok Steelshaper,996
Auriok Transfixer,23
Awe Strike,133
Blinding Beam,46
Leonin Abunas,1835
Leonin Den-Guard,114
Leonin Elder,350
Leonin Skyhunter,608
Loxodon Mender,11
Loxodon Peacekeeper,81
Loxodon Punisher,219
Luminous Angel,201
Raise the Alarm,1410
Razor Barrier,113
Roar of the Kha,147
Rule of Law,3433
Second Sunrise,1297
Skyhunter Cub,116
Skyhunter Patrol,139
Slith Ascendant,15
Solar Tide,624
Soul Nova,9
Sphere of Purity,7
Taj-Nar Swordsmith,2309
Tempest of Light,132
Annul,748
Assert Authority,247
Broodstar,550
Disarm,6
Domineer,23
Dream's Grip,91
Fabricate,18556
Fatespinner,2222
Inertia Bubble,4
Looming Hoverguard,4
Lumengrid Augur,40
Lumengrid Sentinel,64
Lumengrid Warden,4
March of the Machines,618
Neurok Familiar,11
Neurok Spy,29
Override,113
Psychic Membrane,475
Quicksilver Elemental,722
Regress,51
Shared Fate,539
Slith Strider,35
Somber Hoverguard,21
Temporal Cascade,438
Thirst for Knowledge,5622
Thoughtcast,2986
Vedalken Archmage,3063
Wanderguard Sentry,3
Barter in Blood,1694
Betrayal of Flesh,120
Chimney Imp,41
Consume Spirit,897
Contaminated Bond,42
Disciple of the Vault,1695
Dross Harvester,454
Dross Prowler,6
Flayed Nim,51
Grim Reminder,11
Irradiate,22
Moriok Scavenger,18
Necrogen Mists,1505
Nim Devourer,147
Nim Lasher,12
Nim Shambler,12
Nim Shrieker,23
Promise of Power,2131
Reiver Demon,2157
Relic Bane,22
Slith Bloodletter,13
Spoils of the Vault,147
Terror,831
Vermiculos,9
Wail of the Nim,172
Wall of Blood,981
Woebearer,107
Wrench Mind,187
Arc-Slogger,25
Atog,190
Confusion in the Ranks,1360
Detonate,64
Electrostatic Bolt,34
Fiery Gambit,1438
Fists of the Anvil,556
Forge Armor,10
Fractured Loyalty,63
Goblin Striker,48
Grab the Reins,1364
Incite War,78
Krark-Clan Grunt,6
Krark-Clan Shaman,34
Mass Hysteria,1438
Megatog,158
Molten Rain,694
Ogre Leadfoot,7
Rustmouth Ogre,23
Seething Song,6623
Shatter,392
Shrapnel Blast,152
Slith Firewalker,58
Spikeshot Goblin,198
Trash for Treasure,2483
Vulshok Battlemaster,272
Vulshok Berserker,2
War Elemental,441
Battlegrowth,62
Bloodscent,49
Brown Ouphe,42
Copperhoof Vorrac,105
Creeping Mold,534
Deconstruct,119
Fangren Hunter,3
Glissa Sunseeker,704
Groffskithur,0
Hum of the Radix,87
Journey of Discovery,2250
Living Hive,502
Molder Slug,603
One Dozen Eyes,192
Plated Slagwurm,296
Predator's Strike,267
Slith Predator,22
Sylvan Scrying,10693
Tel-Jilad Archers,25
Tel-Jilad Chosen,10
Tel-Jilad Exile,6
Tooth and Nail,7763
Troll Ascetic,618
Trolls of Tel-Jilad,113
Turn to Dust,17
Viridian Joiner,1028
Viridian Shaman,900
Wurmskin Forger,23
Aether Spellbomb,3619
Alpha Myr,128
Altar of Shadows,229
Banshee's Blade,399
Blinkmoth Urn,6581
Bonesplitter,1251
"Bosh, Iron Golem",1643
Bottle Gnomes,560
Cathodion,1418
Chalice of the Void,480
Chromatic Sphere,2817
Chrome Mox,21691
Clockwork Beetle,63
Clockwork Condor,18
Clockwork Dragon,111
Clockwork Vorrac,44
Cobalt Golem,7
Copper Myr,1016
Crystal Shard,3840
Culling Scales,49
Damping Matrix,552
Dead-Iron Sledge,95
Dragon Blood,146
Dross Scorpion,819
