names,edhrec
Angelic Favor,24
Avenger en-Dal,85
Blinding Angel,706
Chieftain en-Dal,80
Defender en-Vec,2
Defiant Falcon,161
Defiant Vanguard,132
Fanatical Devotion,1685
Lashknife,18
Lawbringer,109
Lightbringer,109
"Lin Sivvi, Defiant Hero",139
Netter en-Dal,2
Noble Stand,25
Off Balance,2
Oracle's Attendants,10
Parallax Wave,1042
Seal of Cleansing,3037
Silkenfist Fighter,0
Silkenfist Order,0
Sivvi's Ruse,15
Sivvi's Valor,47
Spiritual Asylum,293
Topple,20
Voice of Truth,22
Accumulated Knowledge,21
Aether Barrier,503
Air Bladder,11
Cloudskate,5
Daze,2008
Dominate,666
Ensnare,393
Infiltrate,104
Jolting Merfolk,17
Oraxid,36
Pale Moon,13
Parallax Tide,503
Rising Waters,700
Rootwater Commando,23
Rootwater Thief,567
Seahunter,1243
Seal of Removal,908
Sliptide Serpent,15
Sneaky Homunculus,17
Stronghold Biologist,106
Stronghold Machinist,170
Stronghold Zeppelin,0
Submerge,975
Trickster Mage,70
Wandering Eye,152
Ascendant Evincar,717
Battlefield Percher,2
Belbe's Percher,1
Carrion Wall,28
Dark Triumph,47
Death Pit Offering,102
Divining Witch,158
Massacre,500
Mind Slash,1281
Mind Swords,58
Murderous Betrayal,36
Parallax Dementia,17
Parallax Nexus,41
Phyrexian Driver,15
Phyrexian Prowler,5
Plague Witch,33
Rathi Assassin,55
Rathi Fiend,22
Rathi Intimidator,18
Spineless Thug,5
Spiteful Bully,10
Stronghold Discipline,47
Vicious Hunger,8
Volrath the Fallen,77
Ancient Hydra,18
Arc Mage,13
Bola Warrior,5
Downhill Charge,789
Flame Rift,1429
Flowstone Crusher,3
Flowstone Overseer,23
Flowstone Slide,101
Flowstone Strike,2
Flowstone Surge,32
Flowstone Wall,30
Laccolith Grunt,3
Laccolith Rig,57
Laccolith Titan,11
Laccolith Warrior,6
Laccolith Whelp,7
Mana Cache,253
Mogg Alarm,418
Mogg Salvage,716
Mogg Toady,6
Moggcatcher,1509
Rupture,129
Shrieking Mogg,131
Stronghold Gambit,34
Animate Land,35
Blastoderm,23
Coiling Woodworm,42
Fog Patch,76
Harvest Mage,19
Mossdog,20
Nesting Wurm,2
Overlaid Terrain,100
Pack Hunt,97
Refreshing Rain,6
Reverent Silence,91
Rhox,138
Saproling Burst,379
Saproling Cluster,123
Seal of Strength,64
Skyshroud Behemoth,7
Skyshroud Claim,27912
Skyshroud Cutter,13
Skyshroud Poacher,756
Skyshroud Ridgeback,5
Skyshroud Sentinel,2
Stampede Driver,84
Treetop Bracers,139
Wild Mammoth,11
Woodripper,27
Belbe's Armor,232
Belbe's Portal,1123
Complex Automaton,5
Eye of Yawgmoth,17
Flint Golem,15
Flowstone Armor,4
Flowstone Thopter,15
Kill Switch,145
Parallax Inhibitor,1
"Predator, Flagship",936
Rackling,165
Rejuvenation Chamber,2
Rusting Golem,3
Tangle Wire,3021
Viseling,810
Kor Haven,4239
Rath's Edge,151
Terrain Generator,6167
