names,edhrec
Karn Liberated,4704
Apostle's Blessing,2106
Auriok Survivors,131
Blade Splicer,1051
Cathedral Membrane,329
Chancellor of the Annex,911
Dispatch,4405
Due Respect,58
"Elesh Norn, Grand Cenobite",13671
Exclusion Ritual,223
Forced Worship,109
Inquisitor Exarch,218
Lost Leonin,1137
Loxodon Convert,18
Marrow Shards,38
Master Splicer,418
Norn's Annex,5650
Phyrexian Unlife,1881
Porcelain Legionnaire,127
Puresteel Paladin,4714
Remember the Fallen,632
Sensor Splicer,235
Shattered Angel,1187
Shriek Raptor,295
Suture Priest,6811
War Report,213
Argent Mutation,20
Arm with Aether,271
Blighted Agent,3688
Chained Throatseeker,189
Chancellor of the Spires,1471
Corrupted Resolve,262
Deceiver Exarch,2049
Defensive Stance,4
Gitaxian Probe,15549
Impaler Shrike,236
"Jin-Gitaxias, Core Augur",6802
Mental Misstep,10663
Mindculling,20
Numbing Dose,29
Phyrexian Ingester,2435
Phyrexian Metamorph,13836
Psychic Barrier,199
Psychic Surgery,419
Spined Thopter,50
Spire Monitor,13
Tezzeret's Gambit,8597
Vapor Snag,1056
Viral Drake,2864
Wing Splicer,465
Xenograft,2182
Blind Zealot,140
Caress of Phyrexia,855
Chancellor of the Dross,503
Dementia Bat,12
Despise,302
Dismember,4171
Enslave,444
Entomber Exarch,659
Evil Presence,62
Geth's Verdict,716
Glistening Oil,1927
Grim Affliction,2874
Ichor Explosion,55
Life's Finale,4450
Mortis Dogs,38
Parasitic Implant,42
Phyrexian Obliterator,1917
Pith Driller,104
Postmortem Lunge,256
Praetor's Grasp,4843
Reaper of Sheoldred,1265
"Sheoldred, Whispering One",16468
Surgical Extraction,68
Toxic Nim,413
Vault Skirge,472
Whispering Specter,1135
Act of Aggression,1449
Artillerize,51
Bludgeon Brawl,348
Chancellor of the Forge,2383
Fallen Ferromancer,353
Flameborn Viron,6
Furnace Scamp,20
Geosurge,562
Gut Shot,438
Invader Parasite,564
Moltensteel Dragon,1455
Ogre Menial,113
Priest of Urabrask,985
Rage Extractor,9
Razor Swine,361
Ruthless Invasion,62
Scrapyard Salvo,20
Slag Fiend,41
Slash Panther,23
Tormentor Exarch,15
Urabrask the Hidden,5523
Victorious Destruction,8
Volt Charge,809
Vulshok Refugee,27
Whipflare,701
Beast Within,60031
Birthing Pod,11730
Brutalizer Exarch,2571
Chancellor of the Tangle,140
Corrosive Gale,105
Death-Hood Cobra,218
Fresh Meat,1947
Glissa's Scorn,56
Glistener Elf,1875
Greenhilt Trainee,10
Leeching Bite,6
Maul Splicer,144
"Melira, Sylvok Outcast",1895
Mutagenic Growth,492
Mycosynth Fiend,94
Noxious Revival,9730
Phyrexian Swarmlord,1846
Rotted Hystrix,8
Spinebiter,1061
Thundering Tanadon,29
Triumph of the Hordes,11952
Viridian Betrayers,210
Viridian Harvest,19
Vital Splicer,122
"Vorinclex, Voice of Hunger",8716
"Jor Kadeen, the Prevailer",1256
Alloy Myr,1964
Batterskull,2947
Blinding Souleater,59
Caged Sun,21855
Conversion Chamber,91
Darksteel Relic,802
Etched Monstrosity,262
Gremlin Mine,10
Hex Parasite,1180
Hovermyr,471
Immolating Souleater,207
Insatiable Souleater,16
Isolation Cell,614
Kiln Walker,6
Lashwrithe,2766
Mindcrank,7087
Mycosynth Wellspring,4014
Myr Superion,478
Necropouncer,58
Omen Machine,1596
Pestilent Souleater,290
Phyrexian Hulk,38
Pristine Talisman,7903
Shrine of Boundless Growth,129
Shrine of Burning Rage,362
Shrine of Limitless Power,36
Shrine of Loyal Legions,391
Shrine of Piercing Vision,101
Sickleslicer,83
Soul Conduit,854
Spellskite,3607
Surge Node,184
Sword of War and Peace,3501
Torpor Orb,5003
Trespassing Souleater,77
Unwinding Clock,10646
Phyrexia's Core,3469
