names,edhrec
Aven Flock,7
Blessed Orator,56
Blinding Angel,705
Blinking Spirit,122
Chastise,143
Circle of Protection: Black,186
Circle of Protection: Red,182
Crossbow Infantry,30
Foot Soldiers,5
Gift of Estates,2256
Glory Seeker,27
Inspirit,17
Ivory Mask,224
Kami of Old Stone,148
Leonin Skyhunter,604
Marble Titan,782
Master Decoy,36
Master Healer,25
Mending Hands,7
Oracle's Attendants,10
Peace of Mind,55
Pegasus Charger,29
Reverse Damage,121
Sacred Ground,515
Sacred Nectar,15
Sanctum Guardian,20
Savannah Lions,435
Seasoned Marshal,16
Serra's Blessing,514
Veteran Cavalier,10
Weathered Wayfarer,4910
Worship,1178
Zealous Inquisitor,12
Annex,313
Archivist,534
Baleful Stare,18
Confiscate,936
Cowardice,426
Daring Apprentice,428
Dream Prowler,11
Exhaustion,211
Fishliver Oil,47
Fleeting Image,18
Imaginary Pet,9
Sage Aven,33
Sea's Claim,275
Sleight of Hand,3652
Storm Crow,162
Temporal Adept,298
Thought Courier,387
Tidal Kraken,419
Time Ebb,65
Trade Routes,1533
Treasure Trove,124
Wanderguard Sentry,3
Withering Gaze,17
Zur's Weirding,877
Blackmail,146
Bog Imp,14
Coercion,73
Dark Banishing,195
Death Pits of Rath,517
Deathgazer,6
Enfeeblement,7
Execute,23
Final Punishment,58
Foul Imp,15
Giant Cockroach,5
Gluttonous Zombie,12
Hell's Caretaker,2684
Hollow Dogs,15
Horror of Horrors,43
Mindslicer,2642
Persecute,135
Phyrexian Arena,37115
Phyrexian Gargantua,419
Raise Dead,618
Razortooth Rats,89
Serpent Warrior,2
Slay,12
Swarm of Rats,658
Will-o'-the-Wisp,315
Yawgmoth Demon,8
Zombify,1023
Anaba Shaman,62
Anarchist,530
Balduvian Barbarians,34
Blood Moon,7747
Boiling Seas,177
Enrage,146
Flame Wave,134
Flashfires,141
Flowstone Crusher,3
Flowstone Shambler,1
Form of the Dragon,351
Goblin Brigand,18
Goblin Chariot,33
Goblin Mountaineer,79
Karplusan Yeti,14
Kird Ape,111
Magnivore,39
Mana Clash,790
Mogg Sentry,100
Ogre Taskmaster,5
Rathi Dragon,13
Reflexes,49
Rogue Kavu,7
Rukh Egg,363
Sandstone Warrior,5
Seething Song,6544
Shard Phoenix,203
Stone Rain,556
Thundermare,332
Viashino Sandstalker,31
Volcanic Hammer,191
Whip Sergeant,19
Wildfire,2054
Anaconda,67
Ancient Silverback,76
Biorhythm,0
Early Harvest,1137
Elvish Bard,60
Elvish Warrior,77
Emperor Crocodile,20
Force of Nature,21
Greater Good,11549
Groundskeeper,1298
King Cheetah,12
Ley Druid,210
Llanowar Behemoth,12
Maro,125
Natural Affinity,683
Needle Storm,18
Norwood Ranger,25
Order of the Sacred Bell,13
River Bear,686
Rootbreaker Wurm,37
Scaled Wurm,47
Stream of Life,202
Summer Bloom,2313
Trained Armodon,41
Tree Monkey,10
Utopia Tree,662
Verduran Enchantress,5542
Web,34
Weird Harvest,969
Wood Elves,29703
Zodiac Monkey,15
Aladdin's Ring,51
Beast of Burden,154
Booby Trap,29
Dancing Scimitar,45
Defense Grid,2041
Disrupting Scepter,36
Fellwar Stone,57655
Jade Statue,15
Jester's Cap,457
Slate of Ancestry,2264
Storage Matrix,849
Tanglebloom,19
Teferi's Puzzle Box,5464
Ur-Golem's Eye,3677
Vulshok Morningstar,105
Urza's Mine,4156
Urza's Power Plant,4151
Urza's Tower,4154
