names,edhrec
Deceiver of Form,1662
Eldrazi Mimic,1441
Endbringer,4243
"Kozilek, the Great Distortion",5790
Kozilek's Pathfinder,286
Matter Reshaper,1525
Reality Smasher,1487
Spatial Contortion,925
Thought-Knot Seer,1762
Walker of the Wastes,640
Warden of Geometries,956
Warping Wail,2492
Eldrazi Displacer,5733
Affa Protector,38
Allied Reinforcements,396
Call the Gatewatch,2453
Dazzling Reflection,371
Expedition Raptor,58
General Tazri,135
Immolating Glare,325
Iona's Blessing,185
Isolation Zone,222
Kor Scythemaster,62
Kor Sky Climber,35
"Linvala, the Preserver",1038
Make a Stand,3562
Makindi Aeronaut,75
Munda's Vanguard,503
Oath of Gideon,3326
Ondu War Cleric,86
Relief Captain,135
Searing Light,13
Shoulder to Shoulder,244
Spawnbinder Mage,49
Steppe Glider,26
Stone Haven Outfitter,960
Stoneforge Acolyte,96
Wall of Resurgence,384
Abstruse Interference,161
Blinding Drone,122
Cultivator Drone,218
Deepfathom Skulker,1460
Dimensional Infiltrator,273
Gravity Negator,106
Prophet of Distortion,357
Slip Through Space,2138
Thought Harvester,379
Void Shatter,3228
Comparative Analysis,243
Containment Membrane,76
Crush of Tentacles,2936
Cyclone Sire,77
Gift of Tusks,90
Grip of the Roil,142
Hedron Alignment,41
Jwar Isle Avenger,264
Oath of Jace,2688
Overwhelming Denial,1551
Roiling Waters,33
Sphinx of the Final Word,2456
Sweep Away,125
Umara Entangler,45
Unity of Purpose,306
Bearer of Silence,267
Dread Defiler,244
Essence Depleter,88
Flaying Tendrils,177
Havoc Sower,29
Inverter of Truth,142
Kozilek's Shrieker,28
Kozilek's Translator,70
Oblivion Strike,604
Reaver Drone,31
Sifter of Skulls,5877
Sky Scourer,36
Slaughter Drone,52
Unnatural Endurance,231
Visions of Brutality,191
Witness the End,61
Drana's Chosen,162
Grasp of Darkness,627
"Kalitas, Traitor of Ghet",4644
Malakir Soothsayer,173
Null Caller,35
Remorseless Punishment,214
Tar Snare,12
Untamed Hunger,115
Vampire Envoy,228
Zulaport Chainmage,45
Consuming Sinkhole,16
Eldrazi Aggressor,23
Eldrazi Obligator,234
Immobilizer Eldrazi,52
Kozilek's Return,422
Maw of Kozilek,9
Reality Hemorrhage,23
Akoum Flameseeker,76
Boulder Salvo,29
"Chandra, Flamecaller",4753
Cinder Hellion,56
Devour in Flames,96
Embodiment of Fury,545
Expedite,5293
Fall of the Titans,2069
Goblin Dark-Dwellers,1670
Goblin Freerunner,154
Kazuul's Toll Collector,495
Oath of Chandra,591
Press into Service,408
Pyromancer's Assault,124
Reckless Bushwhacker,1430
Sparkmage's Gambit,30
Tears of Valakut,50
Tyrant of Valakut,121
Zada's Commando,86
Birthing Hulk,282
Ruin in Their Wake,80
Scion Summoner,266
Stalking Drone,16
Vile Redeemer,406
World Breaker,4111
Baloth Pup,32
Bonds of Mortality,1401
Canopy Gorger,35
Elemental Uprising,71
Embodiment of Insight,947
Gladehart Cavalry,679
Harvester Troll,22
Lead by Example,136
Loam Larva,73
Natural State,1603
Netcaster Spider,278
"Nissa, Voice of Zendikar",6152
Nissa's Judgment,262
Oath of Nissa,4006
Pulse of Murasa,1189
Saddleback Lagac,61
Seed Guardian,228
Sylvan Advocate,998
Tajuru Pathwarden,154
Vines of the Recluse,192
Zendikar Resurgent,26496
Flayer Drone,352
Mindmelter,178
Void Grafter,666
"Ayli, Eternal Pilgrim",4524
Baloth Null,410
Cliffhaven Vampire,3406
Joraga Auxiliary,93
"Jori En, Ruin Diver",2827
"Mina and Denn, Wildborn",8937
Reflector Mage,4748
Relentless Hunter,44
Stormchaser Mage,691
Weapons Trainer,143
Bone Saw,1484
Captain's Claws,1670
Chitinous Cloak,474
Hedron Crawler,3498
Seer's Lantern,3189
Stoneforge Masterwork,4454
Corrupted Crossroads,522
Crumbling Vestige,1147
Hissing Quagmire,5162
Holdout Settlement,2272
Mirrorpool,5697
Needle Spires,4009
Ruins of Oran-Rief,1367
Sea Gate Wreckage,3539
Wandering Fumarole,4533
Wastes,4670
