names,edhrec
Aegis of Honor,98
Ancestral Tribute,27
Angelic Wall,1251
Animal Boneyard,132
Auramancer,4697
Aven Archer,16
Aven Cloudchaser,217
Aven Flock,7
Aven Shrine,14
Balancing Act,137
Beloved Chaplain,188
Blessed Orator,56
Cantivore,14
Cease-Fire,27
Confessor,51
Dedicated Martyr,9
Delaying Shield,557
Devoted Caretaker,280
Divine Sacrament,298
Dogged Hunter,7
Earnest Fellowship,160
Embolden,9
Gallantry,63
Graceful Antelope,22
Hallowed Healer,28
Karmic Justice,6065
Kirtar's Desire,100
Kirtar's Wrath,939
Lieutenant Kirtar,489
Life Burst,4
Luminous Guardian,7
Master Apothecary,190
Mystic Crusader,19
Mystic Penitent,9
Mystic Visionary,2
Mystic Zealot,4
Nomad Decoy,12
Patrol Hound,42
"Pianna, Nomad Captain",159
Pilgrim of Justice,2
Pilgrim of Virtue,6
Ray of Distortion,447
Resilient Wanderer,11
Sacred Rites,24
Second Thoughts,57
Shelter,3372
Soulcatcher,506
Sphere of Duty,79
Sphere of Grace,22
Sphere of Law,29
Sphere of Reason,18
Sphere of Truth,22
Spiritualize,131
Tattoo Ward,29
Testament of Faith,53
Tireless Tribe,111
Wayward Angel,12
"Aboshan, Cephalid Emperor",142
Aboshan's Desire,125
Aether Burst,8
Amugaba,4
Aura Graft,92
Aven Fisher,31
Aven Smokeweaver,38
Aven Windreader,18
Balshan Beguiler,50
Balshan Griffin,2
Bamboozle,30
Battle of Wits,27
Careful Study,3051
Cephalid Broker,256
Cephalid Looter,137
Cephalid Retainer,59
Cephalid Scout,49
Cephalid Shrine,4
Chamber of Manipulation,560
Cognivore,28
Concentrate,1607
Cultural Exchange,671
Deluge,145
Dematerialize,14
Divert,78
Dreamwinder,22
Escape Artist,273
Extract,617
Fervent Denial,220
Immobilizing Ink,45
Laquatus's Creativity,244
Patron Wizard,1096
Pedantic Learning,61
Peek,1441
Persuasion,347
Phantom Whelp,4
Predict,1079
Psionic Gift,190
Pulsating Illusion,6
Puppeteer,439
Repel,28
Rites of Refusal,221
Scrivener,292
Shifty Doppelganger,122
