names,edhrec
Akroma's Blessing,533
Akroma's Vengeance,5828
Ancestor's Prophet,259
Astral Slide,1281
Aura Extraction,68
Aurification,940
Aven Brigadier,434
Aven Soulgazer,4
Battlefield Medic,159
Catapult Master,862
Catapult Squad,58
Chain of Silence,17
Circle of Solace,13
Convalescent Care,21
Crowd Favorites,3
Crown of Awe,99
Crude Rampart,10
Daru Cavalier,2
Daru Healer,7
Daru Lancer,5
Daunting Defender,53
Dawning Purist,17
Defensive Maneuvers,36
Demystify,365
Disciple of Grace,34
Dive Bomber,3
Doubtless One,263
Exalted Angel,258
Foothill Guide,3
Glarecaster,195
Glory Seeker,27
Grassland Crusader,3
Gravel Slinger,2
Gustcloak Harrier,73
Gustcloak Runner,8
Gustcloak Savior,594
Gustcloak Sentinel,17
Gustcloak Skirmisher,57
Harsh Mercy,1040
Improvised Armor,24
Inspirit,17
Ironfist Crusher,36
"Jareth, Leonine Titan",1840
Mobilization,1382
Nova Cleric,113
Oblation,5788
Pacifism,2367
Pearlspear Courier,6
Piety Charm,35
Renewed Faith,331
Righteous Cause,777
Sandskin,20
Shared Triumph,795
Shieldmage Elder,84
Sigil of the New Dawn,768
Sunfire Balm,11
True Believer,314
Unified Strike,85
Weathered Wayfarer,4998
Whipcorder,122
Words of Worship,309
Airborne Aid,411
Annex,315
Aphetto Alchemist,1514
Aphetto Grifter,127
Arcanis the Omnipotent,8484
Artificial Evolution,178
Ascending Aven,14
Aven Fateshaper,83
Backslide,270
Blatant Thievery,7015
Callous Oppressor,492
Chain of Vapor,9915
Choking Tethers,306
Clone,4469
Complicate,1088
Crafty Pathmage,50
Crown of Ascension,33
Discombobulate,282
Dispersing Orb,29
Disruptive Pitmage,490
Essence Fracture,23
Fleeting Aven,1
Future Sight,5895
Ghosthelm Courier,41
Graxiplon,3
Imagecrafter,76
Information Dealer,467
"Ixidor, Reality Sculptor",869
Ixidor's Will,97
Mage's Guile,235
Meddle,43
Mistform Dreamer,10
Mistform Mask,14
Mistform Mutant,23
Mistform Shrieker,12
Mistform Skyreaver,9
Mistform Stalker,12
Mistform Wall,25
Nameless One,143
Peer Pressure,301
Psychic Trance,69
Quicksilver Dragon,355
Read the Runes,966
Reminisce,313
Riptide Biologist,8
Riptide Chronologist,49
Riptide Entrancer,768
Riptide Shapeshifter,153
Rummaging Wizard,2
Sage Aven,34
Screaming Seahawk,5
Sea's Claim,277
Slipstream Eel,48
Spy Network,277
Standardize,107
Supreme Inquisitor,331
Trade Secrets,18
Trickery Charm,156
Voidmage Prodigy,1586
Wheel and Deal,1844
Words of Wind,1146
Accursed Centaur,52
Anurid Murkdiver,16
Aphetto Dredging,772
Aphetto Vulture,24
Blackmail,149
Boneknitter,287
Cabal Archon,145
Cabal Executioner,72
Cabal Slaver,111
Chain of Smog,203
Cover of Darkness,1803
Crown of Suspicion,14
Cruel Revival,381
Death Match,116
Death Pulse,66
Dirge of Dread,319
Disciple of Malice,46
Doomed Necromancer,2812
Ebonblade Reaper,167
Endemic Plague,31
Entrails Feaster,66
Fade from Memory,136
Fallen Cleric,2
False Cure,146
Feeding Frenzy,105
Festering Goblin,136
Frightshroud Courier,22
Gangrenous Goliath,9
Gluttonous Zombie,12
Gravespawn Sovereign,969
Grinning Demon,72
Haunted Cadaver,30
Head Games,539
Headhunter,62
Infest,160
Misery Charm,71
Nantuko Husk,1283
Oversold Cemetery,1448
Patriarch's Bidding,3711
Profane Prayers,107
Prowling Pangolin,20
Rotlung Reanimator,533
Screeching Buzzard,61
Severed Legion,38
Shade's Breath,20
