names,edhrec
Abolish,419
Aura Fracture,125
Avatar of Hope,73
Blessed Wind,32
Celestial Convergence,293
Diving Griffin,61
Entangler,298
Excise,24
Flowering Field,4
Glittering Lion,57
Glittering Lynx,177
Jeweled Spirit,3
Mageta the Lion,221
Mageta's Boon,9
Mercenary Informer,26
Mine Bearer,36
Mirror Strike,147
Reveille Squad,175
Rhystic Circle,28
Rhystic Shield,4
Samite Sanctuary,10
Sheltering Prayers,2
Shield Dancer,87
Soul Charmer,17
Sword Dancer,25
Trenching Steed,16
Troubled Healer,15
"Alexi, Zephyr Mage",140
Alexi's Cloak,621
Avatar of Will,46
Coastal Hornclaw,1
Denying Wind,131
Excavation,208
Foil,3914
Gulf Squid,61
Hazy Homunculus,15
Heightened Awareness,40
Mana Vapors,84
Overburden,1483
Psychic Theft,25
Quicksilver Wall,86
Rethink,164
Rhystic Deluge,34
Rhystic Scrying,21
Rhystic Study,50993
Ribbon Snake,6
Shrouded Serpent,31
Spiketail Drake,35
Spiketail Hatchling,552
Stormwatch Eagle,2
Sunken Field,206
Troublesome Spirit,4
Windscouter,3
Withdraw,132
Agent of Shauku,10
Avatar of Woe,4751
Bog Elemental,6
Bog Glider,10
Chilling Apparition,75
Coffin Puppets,15
Death Charmer,12
Despoil,53
Endbringer's Revel,62
Fen Stalker,0
Flay,5
"Greel, Mind Raker",117
Greel's Caress,2
Infernal Genesis,361
Nakaya Shade,24
Noxious Field,131
Outbreak,14
Pit Raptor,6
Plague Fiend,10
Plague Wind,3764
Rebel Informer,25
Rhystic Syphon,13
Rhystic Tutor,391
Soul Strings,7
Steal Strength,3
Wall of Vipers,30
Whipstitched Zombie,1
Avatar of Fury,316
Barbed Field,22
Branded Brawlers,2
Brutal Suppression,3
Citadel of Pain,1612
Devastate,49
Fault Riders,2
Fickle Efreet,150
Flameshot,31
Keldon Arsonist,22
Keldon Berserker,4
Keldon Firebombers,893
"Latulla, Keldon Overseer",68
Latulla's Orders,104
Lesser Gargadon,3
Panic Attack,22
Rhystic Lightning,38
Ridgeline Rager,2
Scoria Cat,5
Search for Survivors,18
Searing Wind,147
Spur Grappler,1
Task Mage Assembly,40
Veteran Brawlers,6
Whip Sergeant,19
Zerapa Minotaur,12
Avatar of Might,203
Calming Verse,769
Darba,2
Dual Nature,260
Elephant Resurgence,46
Forgotten Harvest,12
"Jolrael, Empress of Beasts",495
Jolrael's Favor,69
Living Terrain,65
Marsh Boa,184
Mungha Wurm,7
Pygmy Razorback,19
Rib Cage Spider,69
Root Cage,10
Silt Crawler,2
Snag,94
Spitting Spider,157
Spore Frog,7122
Squirrel Wrangler,226
Thresher Beast,54
Verdant Field,3
Vintara Elephant,6
Vintara Snapper,12
Vitalizing Wind,169
Wild Might,11
Wing Storm,6
Chimeric Idol,21
Copper-Leaf Angel,43
Hollow Warrior,4
Keldon Battlewagon,13
Well of Discovery,54
Well of Life,9
Rhystic Cave,141
Wintermoon Mesa,36
