names,edhrec
Angel of Grace,560
Angelic Exaltation,1249
Archway Angel,168
Arrester's Zeal,188
Bring to Trial,181
Civic Stalwart,35
Concordia Pegasus,80
Expose to Daylight,286
Forbidding Spirit,530
Haazda Officer,20
Hero of Precinct One,512
Impassioned Orator,1086
Justiciar's Portal,864
Knight of Sorrows,136
Lumbering Battlement,630
Ministrant of Obligation,1955
Prowling Caracal,43
Rally to Battle,79
Resolute Watchdog,809
Sentinel's Mark,108
Sky Tether,159
Smothering Tithe,46649
Spirit of the Spires,177
Summary Judgment,99
Syndicate Messenger,154
Tenth District Veteran,59
Tithe Taker,2440
Twilight Panther,32
Unbreakable Formation,5505
Watchful Giant,18
Arrester's Admonition,164
Benthic Biomancer,978
Chillbringer,83
Clear the Mind,1654
Code of Constraint,54
Coral Commando,29
Essence Capture,917
Eyes Everywhere,545
Faerie Duelist,115
Gateway Sneak,265
Humongulus,26
Mass Manipulation,2599
Mesmerizing Benthid,639
Persistent Petitioners,722
Precognitive Perception,1271
Prying Eyes,64
Pteramander,714
Quench,433
Sage's Row Savant,145
Senate Courier,24
Shimmer of Possibility,815
Skatewing Spy,871
Skitter Eel,108
Slimebind,42
Sphinx of Foresight,1113
Swirling Torrent,23
Thought Collapse,1754
Verity Circle,2142
Wall of Lost Thoughts,748
Windstorm Drake,308
Awaken the Erstwhile,1353
Bankrupt in Blood,957
Blade Juggler,125
Bladebrand,300
Bloodmist Infiltrator,90
Carrion Imp,50
Catacomb Crocodile,28
Clear the Stage,55
Consign to the Pit,46
Cry of the Carnarium,251
Dead Revels,442
Debtors' Transport,140
Drill Bit,153
Font of Agonies,2686
Grotesque Demise,97
Gutterbones,1415
Ill-Gotten Inheritance,921
Noxious Groodion,38
Orzhov Enforcer,2217
Orzhov Racketeers,241
Pestilent Spirit,223
Plague Wight,38
Priest of Forgotten Gods,7053
Rakdos Trumpeter,22
Spawn of Mayhem,909
Spire Mangler,13
Thirsting Shade,96
Undercity Scavenger,52
Undercity's Embrace,108
Vindictive Vampire,6239
Act of Treason,2380
Amplifire,175
Burn Bright,235
Burning-Tree Vandal,179
Cavalcade of Calamity,848
Clamor Shaman,200
Dagger Caster,413
Deface,139
Electrodominance,4942
Feral Maaka,14
Flames of the Raze-Boar,70
Gates Ablaze,489
Ghor-Clan Wrecker,38
Goblin Gathering,154
Gravel-Hide Goblin,20
Immolation Shaman,1497
Light Up the Stage,1917
Mirror March,3391
Rix Maadi Reveler,460
Rubble Reading,125
Rubblebelt Recluse,33
Rumbling Ruin,49
Scorchmark,71
Skarrgan Hellkite,479
Skewer the Critics,608
Smelt-Ward Ignus,57
Spear Spewer,1413
Spikewheel Acrobat,41
Storm Strike,286
Tin Street Dodger,344
Axebane Beast,11
Biogenic Ooze,1334
Biogenic Upgrade,1756
End-Raze Forerunners,6169
Enraged Ceratok,24
Gatebreaker Ram,315
Growth-Chamber Guardian,55
Gruul Beastmaster,132
Guardian Project,19323
Incubation Druid,8380
Mammoth Spider,131
Open the Gates,1854
Rampage of the Clans,920
Rampaging Rendhorn,54
Regenesis,423
Root Snare,563
Sagittars' Volley,32
Saruli Caretaker,640
Sauroform Hybrid,94
Silhana Wayfinder,417
Steeple Creeper,35
Stony Strength,511
Sylvan Brushstrider,23
Territorial Boar,41
Titanic Brawl,665
Tower Defense,2630
Trollbred Guardian,613
Wilderness Reclamation,11107
Wrecking Beast,122
Absorb,2119
Aeromunculus,104
Applied Biomancy,188
Azorius Knight-Arbiter,95
Azorius Skyguard,81
Basilica Bell-Haunt,411
Bedevil,9786
Biomancer's Familiar,3510
Bolrac-Clan Crusher,56
Captive Audience,2244
Cindervines,2387
Clan Guildmage,190
Combine Guildmage,651
Cult Guildmage,110
Deputy of Detention,996
"Domri, Chaos Bringer",1694
"Dovin, Grand Arbiter",931
Dovin's Acuity,407
Emergency Powers,1542
Ethereal Absolution,2997
Final Payment,865
Fireblade Artist,220
Frenzied Arynx,116
Frilled Mystic,4236
Galloping Lizrog,586
Get the Point,133
Grasping Thrull,120
Growth Spiral,11890
Gruul Spellbreaker,644
Gyre Engineer,2034
Hackrobat,93
High Alert,1849
Hydroid Krasis,3097
Imperious Oligarch,1114
"Judith, the Scourge Diva",3248
"Kaya, Orzhov Usurper",857
Kaya's Wrath,5633
Knight of the Last Breath,217
"Lavinia, Azorius Renegade",3062
Lawmage's Binding,1283
Macabre Mockery,263
Mortify,24763
Nikya of the Old Ways,1082
Pitiless Pontiff,1081
Prime Speaker Vannifar,2382
Rafter Demon,118
Rakdos Firewheeler,186
Rakdos Roustabout,59
"Rakdos, the Showstopper",895
Ravager Wurm,1144
Rhythm of the Wild,17001
Rubblebelt Runner,45
Savage Smash,155
Senate Guildmage,195
Seraph of the Scales,1221
Sharktocrab,854
Simic Ascendancy,5633
Sphinx of New Prahv,135
Sphinx's Insight,201
Sunder Shaman,1699
Syndicate Guildmage,122
Teysa Karlov,3526
Theater of Horrors,1993
"Zegana, Utopian Speaker",2149
Zhur-Taa Goblin,163
Footlight Fiend,269
Rubble Slinger,37
Scuttlegator,145
Senate Griffin,31
Vizkopa Vampire,108
Bedeck,98
Carnival,151
Collision,258
Consecrate,449
Depose,319
Incubation,1601
Repudiate,1588
Revival,1905
Thrash,245
Warrant,240
Azorius Locket,3087
Gate Colossus,382
Glass of the Guildpact,493
Gruul Locket,1219
Junktroller,1198
Orzhov Locket,2975
Rakdos Locket,3522
Scrabbling Claws,1521
Screaming Shield,114
Simic Locket,1450
Sphinx of the Guildpact,86
Tome of the Guildpact,1469
Azorius Guildgate,14292
Blood Crypt,40587
Breeding Pool,47778
Godless Shrine,43610
Gruul Guildgate,11867
Hallowed Fountain,44712
Plaza of Harmony,1269
Rakdos Guildgate,13993
Stomping Ground,38100
"Dovin, Architect of Law",283
Elite Arrester,18
Dovin's Dismissal,45
Dovin's Automaton,16
"Domri, City Smasher",131
Ragefire,9
Charging War Boar,23
Domri's Nodorog,35
The Haunt of Hightower,1896
