names,edhrec
Angel of Serenity,5748
Armory Guard,27
Arrest,1512
Avenging Arrow,69
Azorius Arrester,188
Azorius Justiciar,213
Bazaar Krovod,15
Ethereal Armor,6794
Eyes in the Skies,356
Fencing Ace,506
Keening Apparition,146
Knightly Valor,206
Martial Law,586
Palisade Giant,662
Phantom General,797
Precinct Captain,1629
Rest in Peace,7716
Rootborn Defenses,7600
Security Blockade,25
Selesnya Sentry,43
Seller of Songbirds,107
Soul Tithe,379
Sphere of Safety,16902
Sunspire Griffin,61
Swift Justice,551
Trained Caracal,435
Trostani's Judgment,733
Aquus Steed,3
Blustersquall,1501
Chronic Flooding,415
Conjured Currency,701
Crosstown Courier,80
Cyclonic Rift,83742
Doorkeeper,1097
Downsize,92
Faerie Impostor,468
Hover Barrier,2545
Inaction Injunction,112
Inspiration,244
Isperia's Skywatch,44
"Jace, Architect of Thought",3410
Mizzium Skin,798
Paralyzing Grasp,49
Psychic Spiral,2169
Runewing,27
Search the City,5
Skyline Predator,12
Soulsworn Spirit,94
Sphinx of the Chimes,115
Stealer of Secrets,250
Tower Drake,4
Voidwielder,54
Assassin's Strike,61
Catacomb Slug,14
Cremate,827
Daggerdrome Imp,145
Dark Revenant,32
Dead Reveler,82
Desecration Demon,1902
Destroy the Evidence,160
Deviant Glee,62
Drainpipe Vermin,305
Grave Betrayal,6335
Grim Roustabout,127
Launch Party,36
Necropolis Regent,2873
Ogre Jailbreaker,21
Pack Rat,2089
Perilous Shadow,25
Sewer Shambler,61
Shrieking Affliction,919
Slum Reaper,1286
Stab Wound,262
Tavern Swindler,298
Terrus Wurm,41
Thrill-Kill Assassin,256
Underworld Connections,8666
Zanikev Locust,13
Annihilating Fire,108
Ash Zealot,624
Batterhorn,73
Bellows Lizard,30
Bloodfray Giant,121
Chaos Imps,250
Cobblebrute,24
Dynacharge,585
Electrickery,812
Explosive Impact,20
Goblin Rally,2315
Gore-House Chainwalker,127
Guild Feud,291
Guttersnipe,13664
Lobber Crew,1103
Minotaur Aggressor,121
Mizzium Mortars,7610
Pursuit of Flight,23
Pyroconvergence,63
Racecourse Fury,74
Splatter Thug,152
Street Spasm,307
Survey the Wreckage,64
Tenement Crasher,4
Traitorous Instinct,447
Utvara Hellkite,8078
Vandalblast,35011
Viashino Racketeer,35
Aerial Predation,57
Archweaver,182
Axebane Guardian,2638
Axebane Stag,52
Brushstrider,12
Centaur's Herald,70
Chorus of Might,133
Deadbridge Goliath,367
Death's Presence,3431
Drudge Beetle,26
Druid's Deliverance,2621
Gatecreeper Vine,2960
Gobbling Ooze,128
Golgari Decoy,184
Horncaller's Chant,78
Korozda Monitor,30
Mana Bloom,1124
Oak Street Innkeeper,340
Rubbleback Rhino,25
Slime Molding,397
Stonefare Crocodile,9
Towering Indrik,3
Urban Burgeoning,286
Wild Beastmaster,816
Worldspine Wurm,3374
Abrupt Decay,11497
Archon of the Triumvirate,351
Armada Wurm,2784
Auger Spree,145
Azorius Charm,2661
Call of the Conclave,611
Carnival Hellsteed,206
Centaur Healer,111
Chemister's Trick,53
Collective Blessing,2557
Common Bond,76
Corpsejack Menace,7465
Counterflux,9370
Coursers' Accord,134
Detention Sphere,6612
Dramatic Rescue,158
Dreadbore,7803
Dreg Mangler,210
Epic Experiment,2630
Essence Backlash,391
Fall of the Gavel,86
Firemind's Foresight,2009
Golgari Charm,8283
Grisly Salvage,8730
Havoc Festival,1927
Hellhole Flailer,217
Heroes' Reunion,72
Hussar Patrol,37
Hypersonic Dragon,2285
"Isperia, Supreme Judge",2006
Izzet Charm,7843
Izzet Staticaster,326
"Jarad, Golgari Lich Lord",7316
Jarad's Orders,6359
Korozda Guildmage,2047
Lotleth Troll,1530
Loxodon Smiter,280
Lyev Skyknight,275
Mercurial Chemister,2652
New Prahv Guildmage,224
Nivix Guildmage,1605
"Niv-Mizzet, Dracogenius",3060
Rakdos Charm,14205
Rakdos Ragemutt,88
Rakdos Ringleader,59
"Rakdos, Lord of Riots",2052
Rakdos's Return,1625
Righteous Authority,2182
Risen Sanctuary,45
Rites of Reaping,9
Rix Maadi Guildmage,125
Search Warrant,79
Selesnya Charm,3025
Skull Rend,1014
Skymark Roc,233
Slaughter Games,69
Sluiceway Scorpion,82
Spawn of Rix Maadi,80
Sphinx's Revelation,7867
Supreme Verdict,21942
Teleportal,697
Thoughtflare,213
Treasured Find,2412
Trestle Troll,44
"Trostani, Selesnya's Voice",4641
Vitu-Ghazi Guildmage,2453
Vraska the Unseen,5420
Wayfaring Temple,2436
Azor's Elocutors,1747
Blistercoil Weird,137
Cryptborn Horror,650
Deathrite Shaman,17900
Dryad Militant,482
Frostburn Weird,24
Golgari Longlegs,14
Growing Ranks,4016
Judge's Familiar,684
Nivmagus Elemental,109
Rakdos Cackler,283
Rakdos Shred-Freak,116
Slitherhead,182
Sundering Growth,5459
Vassal Soul,17
Azorius Keyrune,1778
Civic Saber,236
Codex Shredder,4512
Golgari Keyrune,929
Izzet Keyrune,1800
Pithing Needle,2809
Rakdos Keyrune,1638
Selesnya Keyrune,715
Street Sweeper,1
Tablet of the Guilds,621
Volatile Rig,421
Grove of the Guardian,2785
Rogue's Passage,62290
Transguild Promenade,6818
