names,edhrec
Animate Wall,113
Armageddon,6162
Balance,4
Benalish Hero,42
Black Ward,82
Blessing,87
Blue Ward,83
Castle,256
Circle of Protection: Black,189
Circle of Protection: Blue,140
Circle of Protection: Green,170
Circle of Protection: Red,185
Circle of Protection: White,331
Conversion,23
Crusade,862
Death Ward,195
Disenchant,7520
Eye for an Eye,49
Farmstead,2
Green Ward,75
Guardian Angel,7
Healing Salve,52
Holy Armor,18
Holy Strength,97
Island Sanctuary,1476
Karma,228
Lance,11
Mesa Pegasus,53
Northern Paladin,150
Pearled Unicorn,14
Personal Incarnation,13
Purelace,5
Red Ward,80
Resurrection,754
Reverse Damage,121
Reverse Polarity,6
Righteousness,265
Samite Healer,23
Savannah Lions,435
Serra Angel,909
Swords to Plowshares,93922
Veteran Bodyguard,37
Wall of Swords,230
White Knight,576
White Ward,40
Wrath of God,26411
Air Elemental,132
Animate Artifact,21
Blue Elemental Blast,643
Braingeyser,998
Clone,4460
Control Magic,4343
Copy Artifact,4309
Counterspell,87830
Creature Bond,10
Drain Power,231
Energy Flux,974
Feedback,7
Flight,47
Hurkyl's Recall,2406
Island Fish Jasconius,13
Jump,9
Lifetap,25
Lord of Atlantis,1644
Magical Hack,45
Mahamoti Djinn,54
Mana Short,265
Merfolk of the Pearl Trident,29
Phantasmal Forces,4
Phantasmal Terrain,50
Phantom Monster,11
Pirate Ship,146
Power Leak,16
Power Sink,1007
Prodigal Sorcerer,474
Psychic Venom,28
Reconstruction,250
Sea Serpent,17
Serendib Efreet,23
Siren's Call,38
Sleight of Mind,212
Spell Blast,135
Stasis,2605
Steal Artifact,423
Thoughtlace,7
Unstable Mutation,89
Unsummon,2331
Vesuvan Doppelganger,610
Volcanic Eruption,21
Wall of Air,658
Wall of Water,60
Water Elemental,8
Animate Dead,24469
Bad Moon,1219
Black Knight,501
Bog Wraith,17
Contract from Below,0
Cursed Land,30
Dark Ritual,21545
Darkpact,0
Deathgrip,158
Deathlace,5
Demonic Attorney,0
Demonic Hordes,87
Demonic Tutor,57185
Drain Life,483
Drudge Skeletons,129
El-Hajjâj,5
Erg Raiders,6
Evil Presence,62
Fear,195
Frozen Shade,26
Gloom,48
Howl from Beyond,379
Hypnotic Specter,1204
Lord of the Pit,161
Mind Twist,963
Nether Shadow,183
Nettling Imp,122
Nightmare,603
Paralyze,64
Pestilence,2998
Plague Rats,25
Raise Dead,620
Royal Assassin,2590
Sacrifice,576
Scathe Zombies,11
Scavenging Ghoul,6
Sengir Vampire,277
Simulacrum,64
Sorceress Queen,278
Terror,829
Unholy Strength,87
Wall of Bone,190
Warp Artifact,5
Weakness,4
Will-o'-the-Wisp,321
Zombie Master,2625
Atog,190
Burrowing,31
Chaoslace,7
Disintegrate,324
Dragon Whelp,224
Dwarven Warriors,44
Dwarven Weaponsmith,32
Earth Elemental,11
Earthbind,28
Earthquake,7669
Fire Elemental,81
Fireball,3103
Firebreathing,128
Flashfires,141
Fork,1914
Goblin Balloon Brigade,214
Goblin King,3404
Granite Gargoyle,11
Gray Ogre,7
Hill Giant,10
Hurloon Minotaur,16
Keldon Warlord,89
Kird Ape,111
Lightning Bolt,9880
Magnetic Mountain,98
Mana Flare,2458
Manabarbs,3843
Mijae Djinn,229
Mons's Goblin Raiders,21
Orcish Artillery,29
Orcish Oriflamme,101
Power Surge,65
Red Elemental Blast,13011
Roc of Kher Ridges,7
Rock Hydra,97
Sedge Troll,8
Shatter,391
Shatterstorm,635
Shivan Dragon,815
Smoke,1799
Stone Giant,10
Stone Rain,560
Tunnel,4
Uthden Troll,15
Wall of Fire,117
Wall of Stone,149
Wheel of Fortune,11933
Aspect of Wolf,113
Birds of Paradise,41191
Channel,1
Cockatrice,48
Craw Wurm,49
Crumble,63
Desert Twister,1005
Elvish Archers,49
Fastbond,2
Fog,3139
Force of Nature,21
Fungusaur,180
Gaea's Liege,70
Giant Growth,1137
Giant Spider,219
Grizzly Bears,960
Hurricane,1550
Instill Energy,1542
Ironroot Treefolk,18
Kudzu,31
Ley Druid,212
Lifeforce,185
Lifelace,2
Living Artifact,9
Living Lands,78
Llanowar Elves,44866
Lure,633
Regeneration,243
Regrowth,15657
Scryb Sprites,807
Shanodin Dryads,146
Stream of Life,204
Thicket Basilisk,22
Timber Wolves,48
Titania's Song,205
Tranquility,262
Tsunami,129
Verduran Enchantress,5586
Wall of Brambles,46
Wall of Ice,655
Wall of Wood,82
Wanderlust,12
War Mammoth,27
Web,34
Wild Growth,13894
Aladdin's Lamp,57
Aladdin's Ring,51
Ankh of Mishra,1989
Armageddon Clock,146
Basalt Monolith,15860
Black Vise,530
Bottle of Suleiman,76
Brass Man,38
Celestial Prism,39
Clockwork Beast,12
Conservator,3
Crystal Rod,21
Dancing Scimitar,45
Dingus Egg,604
Disrupting Scepter,35
Dragon Engine,22
Ebony Horse,67
Flying Carpet,37
Glasses of Urza,474
Helm of Chatzuk,88
Howling Mine,10524
Iron Star,18
Ivory Cup,17
Ivory Tower,703
Jade Monolith,264
Jandor's Ring,12
Jandor's Saddlebags,438
Jayemdae Tome,308
Juggernaut,113
Kormus Bell,317
Library of Leng,5848
Living Wall,263
Mana Vault,32411
Meekstone,4688
Millstone,321
Mishra's War Machine,19
Nevinyrral's Disk,19104
Obsianus Golem,10
Onulet,5
Ornithopter,6563
Primal Clay,84
Rocket Launcher,57
Rod of Ruin,35
Sol Ring,291400
Soul Net,42
Sunglasses of Urza,44
The Hive,38
The Rack,366
Throne of Bone,39
Winter Orb,8245
Wooden Sphere,16
Badlands,11303
Bayou,12575
Plateau,10055
Savannah,11893
Scrubland,11718
Taiga,10306
Tropical Island,12983
Tundra,11730
Underground Sea,12938
Volcanic Island,10761
Plains,159169
Island,184024
Swamp,178660
Mountain,163742
Forest,172073
