names,edhrec
All Is Dust,8845
Artisan of Kozilek,11638
Eldrazi Conscription,5413
"Emrakul, the Aeons Torn",0
Hand of Emrakul,937
"Kozilek, Butcher of Truth",11851
It That Betrays,8795
Not of This World,2312
Pathrazer of Ulamog,4987
Skittering Invasion,1290
Spawnsire of Ulamog,1038
"Ulamog, the Infinite Gyre",11047
Ulamog's Crusher,4000
Affa Guard Hound,50
Caravan Escort,97
Dawnglare Invoker,218
Deathless Angel,736
Demystify,365
Eland Umbra,924
Emerge Unscathed,1563
Gideon Jura,1770
Glory Seeker,27
Guard Duty,142
Harmless Assault,43
Hedron-Field Purists,150
Hyena Umbra,3523
Ikiral Outrider,37
Kabira Vindicator,441
Knight of Cliffhaven,84
Kor Line-Slinger,15
Kor Spiritdancer,3354
Lightmine Field,1333
"Linvala, Keeper of Silence",7555
Lone Missionary,118
Luminous Wake,58
Makindi Griffin,47
Mammoth Umbra,983
Near-Death Experience,545
Nomads' Assembly,1321
Oust,422
Puncturing Light,36
Repel the Darkness,115
Smite,135
Soul's Attendant,5641
Soulbound Guardians,18
Stalwart Shield-Bearers,2290
Student of Warfare,504
Survival Cache,652
Time of Heroes,20
Totem-Guide Hartebeest,720
Transcendent Master,384
Umbra Mystic,2090
Wall of Omens,6618
Aura Finesse,68
Cast Through Time,543
Champion's Drake,9
Coralhelm Commander,1052
Crab Umbra,698
Deprive,2040
Distortion Strike,1388
Domestication,114
Dormant Gomazoa,15
Drake Umbra,456
Echo Mage,1245
Eel Umbra,1950
Enclave Cryptologist,1214
Fleeting Distraction,235
Frostwind Invoker,32
Gravitational Shift,2132
Guard Gomazoa,1963
Hada Spy Patrol,160
Halimar Wavewatch,78
Jwari Scuttler,45
Lay Bare,150
Lighthouse Chronologist,1185
Merfolk Observer,26
Merfolk Skyscout,122
Mnemonic Wall,6074
Narcolepsy,57
Phantasmal Abomination,18
Reality Spasm,634
Recurring Insight,2790
Regress,51
Renegade Doppelganger,384
Sea Gate Oracle,4240
See Beyond,567
Shared Discovery,292
Skywatcher Adept,77
Sphinx of Magosi,1716
Surrakar Spellblade,658
Training Grounds,5952
Unified Will,816
Venerated Teacher,35
Arrogant Bloodlord,101
Bala Ged Scorpion,15
Baneful Omen,961
Bloodrite Invoker,67
Bloodthrone Vampire,2248
Cadaver Imp,1367
Consume the Meek,492
Consuming Vapors,1223
Contaminated Ground,113
Corpsehatch,88
Curse of Wizardry,273
Death Cultist,339
Demonic Appetite,17
"Drana, Kalastria Bloodchief",3166
Dread Drone,188
Escaped Null,47
Essence Feed,38
Gloomhunter,6
Guul Draz Assassin,1176
Hellcarver Demon,140
Induce Despair,39
Inquisition of Kozilek,1869
Last Kiss,16
Mortician Beetle,603
Nighthaze,287
Nirkana Cutthroat,154
Nirkana Revenant,5403
Null Champion,47
Pawn of Ulamog,10308
Perish the Thought,10
Pestilence Demon,2311
Repay in Kind,1248
Shrivel,29
Skeletal Wurm,73
Suffer the Past,378
Thought Gorger,218
Vendetta,841
Virulent Swipe,152
Zof Shade,16
Zulaport Enforcer,53
Akoum Boulderfoot,13
Battle Rampart,107
Battle-Rattle Shaman,119
Brimstone Mage,162
Brood Birthing,76
Conquering Manticore,1244
Devastating Summons,139
Disaster Radius,583
Emrakul's Hatcher,2247
Explosive Revelation,46
Fissure Vent,110
Flame Slash,1071
Forked Bolt,376
Goblin Arsonist,395
Goblin Tunneler,372
Grotag Siege-Runner,4
Heat Ray,137
Hellion Eruption,415
Kargan Dragonlord,324
Kiln Fiend,483
Lagac Lizard,2
Lavafume Invoker,45
Lord of Shatterskull Pass,482
Lust for War,47
Magmaw,204
Ogre Sentry,22
Rage Nimbus,226
Raid Bombardment,656
Rapacious One,1158
Soulsurge Elemental,27
Spawning Breath,630
Splinter Twin,2437
Staggershock,156
Surreal Memoir,233
Traitorous Instinct,447
Tuktuk the Explorer,1079
Valakut Fireboar,50
Vent Sentinel,130
World at War,3215
Wrap in Flames,48
Ancient Stirrings,458
Aura Gnarlid,931
Awakening Zone,6434
Bear Umbra,8686
Beastbreaker of Bala Ged,67
Boar Umbra,1085
Bramblesnap,52
Broodwarden,52
Daggerback Basilisk,89
Gelatinous Genesis,1528
Gigantomancer,408
Gravity Well,625
Growth Spasm,1496
Haze Frog,115
Irresistible Prey,187
Jaddi Lifestrider,105
Joraga Treespeaker,6003
Kazandu Tuskcaller,1285
Khalni Hydra,962
Kozilek's Predator,568
Leaf Arrow,6
Living Destiny,13
Might of the Masses,738
Momentous Fall,5531
Mul Daya Channelers,485
Nema Siltlurker,4
Nest Invader,677
Ondu Giant,766
Overgrown Battlement,2842
Pelakka Wurm,1812
Prey's Vengeance,122
Realms Uncharted,4384
Snake Umbra,5354
Spider Umbra,1910
Sporecap Spider,346
Stomper Cub,10
Tajuru Preserver,1406
Vengevine,364
Wildheart Invoker,261
Sarkhan the Mad,732
Angelheart Vial,258
Dreamstone Hedron,10548
Enatu Golem,22
Hedron Matrix,1022
Keening Stone,2534
Ogre's Cleaver,252
Pennon Blade,414
Prophetic Prism,3211
Reinforced Bulwark,30
Runed Servitor,377
Sphinx-Bone Wand,1773
Warmonger's Chariot,186
Eldrazi Temple,3390
