names,edhrec
Baffling End,178
Bishop of Binding,559
Blazing Hope,38
Cleansing Ray,38
Divine Verdict,208
Everdawn Champion,112
Exultant Skymarcher,106
Famished Paladin,285
Forerunner of the Legion,2382
Imperial Ceratops,348
Legion Conquistador,8
Majestic Heliopterus,1083
Martyr of Dusk,853
Moment of Triumph,358
Paladin of Atonement,706
Pride of Conquerors,120
Radiant Destiny,3931
Raptor Companion,149
Sanguine Glorifier,73
Skymarcher Aspirant,609
Slaughter the Strong,4129
Snubhorn Sentry,209
Sphinx's Decree,169
Squire's Devotion,300
Sun Sentinel,29
Sun-Crested Pterodon,140
Temple Altisaur,2757
Trapjaw Tyrant,2585
"Zetalpa, Primal Dawn",5886
Admiral's Order,871
Aquatic Incursion,480
Crafty Cutpurse,821
Crashing Tide,172
Curious Obsession,875
Deadeye Rig-Hauler,124
Expel from Orazca,734
Flood of Recollection,1723
Hornswoggle,896
Induced Amnesia,343
Kitesail Corsair,172
Kumena's Awakening,2571
Mist-Cloaked Herald,3710
Negate,43384
"Nezahal, Primal Tide",9553
Release to the Wind,1081
River Darter,17
Riverwise Augur,1802
Sailor of Means,788
Sea Legs,56
Seafloor Oracle,1867
Secrets of the Golden City,1005
Silvergill Adept,1374
Siren Reaver,121
Slippery Scoundrel,898
Soul of the Rapids,54
Spire Winder,18
Sworn Guardian,25
Timestream Navigator,2246
Warkite Marauder,1028
Waterknot,156
Arterial Flow,1137
Canal Monitor,9
Champion of Dusk,2354
Dark Inquiry,66
Dead Man's Chest,1083
Dinosaur Hunter,22
Dire Fleet Poisoner,876
Dusk Charger,29
Dusk Legion Zealot,4021
Fathom Fleet Boarder,47
Forerunner of the Coalition,1028
Golden Demise,318
Grasping Scoundrel,90
Gruesome Fate,984
Impale,181
Mastermind's Acquisition,3956
Mausoleum Harpy,75
Moment of Craving,145
Oathsworn Vampire,932
Pitiless Plunderer,12545
Ravenous Chupacabra,14536
Reaver Ambush,37
Recover,537
Sadistic Skymarcher,213
"Tetzimoc, Primal Death",1377
Tomb Robber,424
Twilight Prophet,6504
Vampire Revenant,25
Vona's Hunger,3300
Voracious Vampire,87
Blood Sun,871
Bombard,154
Brass's Bounty,5463
Brazen Freebooter,277
Buccaneer's Bravado,183
Charging Tuskodon,1148
Daring Buccaneer,188
Dire Fleet Daredevil,2873
"Etali, Primal Storm",13869
Fanatical Firebrand,611
Forerunner of the Empire,2827
Form of the Dinosaur,63
Frilled Deathspitter,486
Goblin Trailblazer,187
Mutiny,287
Needletooth Raptor,1378
Orazca Raptor,37
Pirate's Pillage,1726
Reckless Rage,1128
Rekindling Phoenix,679
See Red,68
Shake the Foundations,579
Shatter,391
Silverclad Ferocidons,3579
Stampeding Horncrest,86
Storm Fleet Swashbuckler,309
Sun-Collared Raptor,113
Swaggering Corsair,57
Tilonalli's Crown,322
Tilonalli's Summoner,3167
Aggressive Urge,187
Cacophodon,657
Cherished Hatchling,465
Colossal Dreadmaw,812
Crested Herdcaller,680
Deeproot Elite,1443
Enter the Unknown,749
Forerunner of the Heralds,1455
"Ghalta, Primal Hunger",8086
Giltgrove Stalker,72
Hardy Veteran,29
Hunt the Weak,578
Jade Bearer,358
Jadecraft Artisan,36
Jadelight Ranger,1333
Jungleborn Pioneer,540
Knight of the Stampede,2284
Naturalize,7903
Orazca Frillback,67
Overgrown Armasaur,552
Path of Discovery,5730
Polyraptor,2989
Strength of the Pack,303
Swift Warden,530
Tendershoot Dryad,7335
Thrashing Brontodon,5895
Thunderherd Migration,1488
Wayward Swordtooth,12441
World Shaper,11052
"Angrath, the Flame-Chained",2980
Atzocan Seer,2621
"Azor, the Lawbringer",2923
Deadeye Brawler,786
Dire Fleet Neckbreaker,935
"Elenda, the Dusk Rose",5521
Hadana's Climb,5293
"Huatli, Radiant Champion",3147
Journey to Eternity,10134
Jungle Creeper,69
"Kumena, Tyrant of Orazca",412
Legion Lieutenant,3198
Merfolk Mistbinder,1565
Path of Mettle,751
Profane Procession,2695
Protean Raider,1165
Raging Regisaur,1831
Relentless Raptor,308
Resplendent Griffin,50
Siegehorn Ceratops,1505
Storm Fleet Sprinter,945
Storm the Vault,5837
"Zacama, Primal Calamity",4920
Awakened Amalgam,261
Azor's Gateway,2223
Captain's Hook,335
Gleaming Barrier,983
Golden Guardian,2323
The Immortal Sun,6861
Orazca Relic,1339
Silent Gravestone,947
Strider Harness,662
Arch of Orazca,9455
Forsaken Sanctuary,7023
Foul Orchard,6186
Highland Lake,7768
Stone Quarry,5884
Woodland Stream,7125
"Vraska, Scheming Gorgon",532
Vampire Champion,64
Vraska's Conquistador,27
Vraska's Scorn,80
"Angrath, Minotaur Pirate",580
Angrath's Ambusher,19
Swab Goblin,23
Angrath's Fury,204
Cinder Barrens,5144
