names,edhrec
Aether Shockwave,186
Araba Mothrider,188
Celestial Kirin,195
Charge Across the Araba,96
Cowed by Wisdom,87
Curtain of Light,52
Descendant of Kiyomaro,8
Eiganjo Free-Riders,160
Enduring Ideal,544
Ghost-Lit Redeemer,42
Hail of Arrows,35
Hand of Honor,223
Inner-Chamber Guard,179
"Kataki, War's Wage",2176
Kitsune Bonesetter,37
Kitsune Dawnblade,155
Kitsune Loreweaver,48
"Kiyomaro, First to Stand",106
"Michiko Konda, Truth Seeker",1712
Moonwing Moth,4
Nikko-Onna,533
Plow Through Reito,30
Presence of the Wise,7
Promise of Bunrei,413
Pure Intentions,42
Reverence,389
"Rune-Tail, Kitsune Ascendant",1506
Shinen of Stars' Light,10
Spiritual Visit,201
Torii Watchward,39
Cloudhoof Kirin,120
Cut the Earthly Bond,20
Descendant of Soramaro,240
Dreamcatcher,47
"Erayo, Soratami Ascendant",27
Eternal Dominion,481
Freed from the Real,4611
Ghost-Lit Warder,56
Ideas Unbound,507
"Kaho, Minamo Historian",235
Kami of the Crescent Moon,4364
Kiri-Onna,193
"Meishin, the Mind Cage",673
Minamo Scrollkeeper,99
Moonbow Illusionist,78
Murmurs from Beyond,153
Oboro Breezecaller,344
Oboro Envoy,148
Oppressive Will,70
Overwhelming Intellect,685
Rushing-Tide Zubera,29
Sakashima the Impostor,2920
Secretkeeper,6
Shape Stealer,86
Shifting Borders,465
Shinen of Flight's Wings,5
"Soramaro, First to Dream",415
Trusted Advisor,96
Twincast,3378
"Akuta, Born of Ash",144
Choice of Damnations,737
Death Denied,1427
Death of a Thousand Stings,43
Deathknell Kami,51
Deathmask Nezumi,34
Exile into Darkness,29
Footsteps of the Goryo,494
Ghost-Lit Stalker,124
Gnat Miser,753
Hand of Cruelty,130
Infernal Kirin,450
"Kagemaro, First to Suffer",569
Kagemaro's Clutch,9
Kami of Empty Graves,64
Kemuri-Onna,118
Kiku's Shadow,37
"Kuon, Ogre Ascendant",222
Kuro's Taken,226
Locust Miser,714
"Maga, Traitor to Mortals",525
Measure of Wickedness,45
Neverending Torment,87
One with Nothing,156
Pain's Reward,328
Raving Oni-Slave,8
Razorjaw Oni,36
Shinen of Fear's Chill,6
Sink into Takenuma,34
Skull Collector,220
"Adamaro, First to Desire",148
Akki Drillmaster,69
Akki Underling,10
Barrel Down Sokenzan,121
Burning-Eye Zubera,23
Captive Flame,46
Feral Lightning,21
Gaze of Adamaro,122
Ghost-Lit Raider,27
Glitterfang,149
Godo's Irregulars,18
Hidetsugu's Second Rite,62
"Homura, Human Ascendant",476
Iizuka the Ruthless,144
Inner Fire,1148
Into the Fray,57
"Jiwari, the Earth Aflame",172
Oni of Wild Places,178
Path of Anger's Flame,98
Rally the Horde,69
Ronin Cavekeeper,45
Shinen of Fury's Fire,18
Skyfire Kirin,181
Sokenzan Renegade,34
Sokenzan Spellblade,78
Spiraling Embers,132
Sunder from Within,55
Thoughts of Ruin,318
Undying Flames,64
Yuki-Onna,359
"Arashi, the Sky Asunder",372
"Ayumi, the Last Visitor",125
Bounteous Kirin,387
Briarknit Kami,141
Dense Canopy,65
Descendant of Masumaro,40
Dosan's Oldest Chant,20
Elder Pine of Jukai,472
Endless Swarm,191
Fiddlehead Kami,20
Ghost-Lit Nourisher,33
Haru-Onna,371
"Inner Calm, Outer Strength",103
Kami of the Tended Garden,30
Kashi-Tribe Elite,345
"Masumaro, First to Live",268
Matsu-Tribe Birdstalker,68
Molting Skin,106
Nightsoil Kami,42
Okina Nightwatch,5
Promised Kannushi,190
"Reki, the History of Kamigawa",1740
Rending Vines,287
Sakura-Tribe Scout,3717
"Sasaya, Orochi Ascendant",237
Seed the Land,694
Seek the Horizon,1613
"Sekki, Seasons' Guide",472
Shinen of Life's Roar,190
Stampeding Serow,100
Iname as One,310
Ashes of the Fallen,164
Blood Clock,404
Ebony Owl Netsuke,374
Ivory Crane Netsuke,60
Manriki-Gusari,142
O-Naginata,1232
Pithing Needle,2812
Scroll of Origins,41
Soratami Cloud Chariot,32
Wine of Blood and Iron,77
"Mikokoro, Center of the Sea",6086
"Miren, the Moaning Well",2206
"Oboro, Palace in the Clouds",1535
Tomb of Urami,152
