names,edhrec
Abuna Acolyte,32
Arrest,1512
Auriok Edgewright,134
Auriok Sunchaser,47
Dispense Justice,175
Elspeth Tirel,1894
Fulgent Distraction,3
Ghalma's Warden,25
Glimmerpoint Stag,415
Glint Hawk,329
Indomitable Archangel,2039
"Kemba, Kha Regent",2677
Kemba's Skyguard,137
Leonin Arbiter,3051
Loxodon Wayfarer,37
Myrsmith,453
Razor Hippogriff,137
Revoke Existence,1965
Salvage Scout,558
Seize the Initiative,13
Soul Parry,37
Sunblast Angel,3727
Sunspear Shikari,821
Tempered Steel,832
True Conviction,9167
Vigil for the Lost,37
Whitesun's Passage,48
Argent Sphinx,685
Bonds of Quicksilver,42
Darkslick Drake,27
Disperse,884
Dissipation Field,2833
Grand Architect,3956
Halt Order,20
Inexorable Tide,7400
Lumengrid Drake,7
Neurok Invisimancer,354
Plated Seastrider,11
Quicksilver Gargantuan,707
Riddlesmith,2460
Scrapdiver Serpent,220
Screeching Silcaw,25
Shape Anew,114
Sky-Eel School,16
Steady Progress,2477
Stoic Rebuttal,2236
Thrummingbird,5904
Trinket Mage,15681
Turn Aside,1659
Twisted Image,294
Vault Skyward,24
Vedalken Certarch,49
Volition Reins,547
Blackcleave Goblin,507
Bleak Coven Vampires,23
Blistergrub,128
Carnifex Demon,2264
Contagious Nim,681
Corrupted Harvester,9
Dross Hopper,98
Exsanguinate,16706
Flesh Allergy,49
Fume Spitter,1231
"Geth, Lord of the Vault",4571
Grasp of Darkness,628
Hand of the Praetors,1833
Ichor Rats,3064
Instill Infection,130
Memoricide,32
Moriok Reaver,5
Necrogen Scudder,9
Necrotic Ooze,3090
Painful Quandary,5715
Painsmith,41
Plague Stinger,1973
Psychic Miasma,24
Relic Putrescence,215
Skinrender,2341
"Skithiryx, the Blight Dragon",3127
Tainted Strike,5150
Arc Trail,244
Assault Strobe,1351
Barrage Ogre,23
Blade-Tribe Berserkers,13
Bloodshot Trainee,114
Cerebral Eruption,134
Embersmith,26
Ferrovore,7
Flameborn Hellion,12
Furnace Celebration,147
Galvanic Blast,478
Goblin Gaveleer,159
Hoard-Smelter Dragon,1909
Koth of the Hammer,2708
Kuldotha Phoenix,206
Kuldotha Rebirth,598
Melt Terrain,94
Molten Psyche,4519
Ogre Geargrabber,46
Oxidda Daredevil,3
Oxidda Scrapmelter,59
Scoria Elemental,6
Shatter,392
Spikeshot Elder,611
Tunnel Ignus,330
Turn to Slag,21
Vulshok Heartstoker,4
Acid Web Spider,305
Alpha Tyrranax,52
Asceticism,9704
Bellowing Tanglewurm,1922
Blight Mamba,1891
Blunt the Assault,486
Carapace Forger,10
Carrion Call,442
Copperhorn Scout,2618
Cystbearer,790
Engulfing Slagwurm,844
"Ezuri, Renegade Leader",3281
Ezuri's Archers,257
Ezuri's Brigade,50
Genesis Wave,11403
Liege of the Tangle,1311
Lifesmith,18
Molder Beast,14
Putrefax,1329
Slice in Twain,1513
Tangle Angler,468
Tel-Jilad Defiance,18
Tel-Jilad Fallen,220
Untamed Might,118
Viridian Revel,69
Wing Puncture,8
Withstand Death,1220
"Venser, the Sojourner",6934
Accorder's Shield,1679
Argentum Armor,6618
Auriok Replica,31
Barbed Battlegear,187
Bladed Pinions,645
Chimeric Mass,454
Chrome Steed,45
Clone Shell,716
Contagion Clasp,6822
Contagion Engine,7605
Copper Myr,1016
Corpse Cur,1718
Culling Dais,1745
Darksteel Axe,1125
Darksteel Juggernaut,2249
Darksteel Myr,1272
Darksteel Sentinel,361
Echo Circlet,148
Etched Champion,1292
Flight Spellbomb,286
Glint Hawk Idol,41
Gold Myr,2685
Golden Urn,139
Golem Artisan,155
Golem Foundry,1012
Golem's Heart,466
Grafted Exoskeleton,6713
Grindclock,803
Heavy Arbalest,65
Horizon Spellbomb,674
Ichorclaw Myr,2094
Infiltration Lens,2510
Iron Myr,5925
Kuldotha Forgemaster,5566
Leaden Myr,3731
Liquimetal Coating,1636
Livewire Lash,342
Lux Cannon,1929
Memnite,3186
Mimic Vat,12333
Mindslaver,4056
Molten-Tail Masticore,41
Moriok Replica,505
Mox Opal,10659
Myr Battlesphere,13374
Myr Galvanizer,801
Myr Propagator,538
Myr Reservoir,460
Necrogen Censer,8
Necropede,1789
Neurok Replica,63
Nihil Spellbomb,7767
Nim Deathmantle,7235
Origin Spellbomb,275
Palladium Myr,8924
Panic Spellbomb,279
Perilous Myr,1159
Platinum Emperion,2203
Precursor Golem,1120
Prototype Portal,2701
Ratchet Bomb,1076
Razorfield Thresher,8
Rust Tick,16
Rusted Relic,51
Saberclaw Golem,13
Semblance Anvil,3442
Silver Myr,4865
Snapsail Glider,25
Soliton,158
Steel Hellkite,18314
Strata Scythe,3519
Strider Harness,662
Sword of Body and Mind,3145
Sylvok Lifestaff,209
Sylvok Replica,898
Throne of Geth,1187
Tower of Calamities,124
Trigon of Corruption,500
Trigon of Infestation,329
Trigon of Mending,15
Trigon of Rage,16
Trigon of Thought,41
Tumble Magnet,47
Vector Asp,801
Venser's Journal,8030
Vulshok Replica,13
Wall of Tanglecord,1790
Wurmcoil Engine,11350
Blackcleave Cliffs,1780
Copperline Gorge,1800
Darkslick Shores,3696
Glimmerpost,462
Razorverge Thicket,3240
Seachrome Coast,2692
