names,edhrec
Ageless Sentinels,40
Astral Steel,87
Aven Farseer,12
Aven Liberator,25
Daru Spiritualist,140
Daru Warchief,770
Dawn Elemental,64
Decree of Justice,2874
Dimensional Breach,224
Dragon Scales,109
Dragonstalker,20
Eternal Dragon,1477
Exiled Doomsayer,1
Force Bubble,148
Frontline Strategist,87
Gilded Light,369
Guilty Conscience,206
Karona's Zealot,16
Noble Templar,177
Rain of Blades,14
Recuperate,8
Reward the Faithful,32
Silver Knight,240
Trap Digger,1
Wing Shards,1202
Wipe Clean,222
Zealous Inquisitor,12
Aphetto Runecaster,867
Brain Freeze,1394
Coast Watcher,98
Day of the Dragons,293
Decree of Silence,1882
Dispersal Shield,157
Dragon Wings,254
Faces of the Past,305
Hindering Touch,113
Long-Term Plans,4229
Mercurial Kite,4
Metamorphose,46
Mind's Desire,4295
Mischievous Quanar,1297
Mistform Warchief,202
Parallel Thoughts,407
Pemmin's Aura,2967
Raven Guild Initiate,3
Raven Guild Master,392
Riptide Survivor,643
Rush of Knowledge,1337
Scornful Egotist,48
Shoreline Ranger,284
Stifle,2911
Temporal Fissure,1461
Thundercloud Elemental,16
Bladewing's Thrall,258
Cabal Conditioning,267
Cabal Interrogator,130
Call to the Grave,1433
Carrion Feeder,11659
Chill Haunting,7
Clutch of Undeath,22
Consumptive Goo,137
Death's-Head Buzzard,27
Decree of Pain,16070
Dragon Shadow,303
Fatal Mutation,1
Final Punishment,58
Lethal Vapors,1008
Lingering Death,57
Nefashu,154
Putrid Raptor,3
Reaping the Graves,136
Skulltap,233
Soul Collector,250
Tendrils of Agony,2213
Twisted Abomination,644
Unburden,184
Undead Warchief,4348
Unspeakable Symbol,2405
Vengeful Dead,2299
Zombie Cutthroat,9
Bonethorn Valesk,6
Carbonize,36
Chartooth Cougar,240
Decree of Annihilation,2094
Dragon Breath,534
Dragon Mage,6038
Dragon Tyrant,679
Dragonspeaker Shaman,4305
Dragonstorm,1084
Enrage,146
Extra Arms,10
Form of the Dragon,353
Goblin Brigand,18
Goblin Psychopath,91
Goblin War Strike,2164
Goblin Warchief,4469
Grip of Chaos,1113
Misguided Rage,12
Pyrostatic Pillar,497
Rock Jockey,8
Scattershot,66
Siege-Gang Commander,9089
Skirk Volcanist,5
Spark Spray,49
Sulfuric Vortex,4089
Torrent of Fire,21
Uncontrolled Infestation,46
Accelerated Mutation,42
Alpha Status,637
Ambush Commander,379
Ancient Ooze,215
Break Asunder,86
Claws of Wirewood,21
Decree of Savagery,347
Divergent Growth,19
Dragon Fangs,276
Elvish Aberration,966
Fierce Empath,10918
Forgotten Ancient,11368
Hunting Pack,345
Krosan Drover,478
Krosan Warchief,266
Kurgadon,16
One with Nature,987
Primitive Etchings,171
Root Elemental,86
Sprouting Vines,1032
Titanic Bulvox,17
Treetop Scout,910
Upwelling,698
Wirewood Guardian,153
Wirewood Symbiote,4753
Woodcloaker,13
Xantid Swarm,357
Bladewing the Risen,4568
Edgewalker,1059
"Karona, False God",190
Sliver Overlord,1099
Ark of Blight,48
Proteus Machine,95
Stabilizer,11
Temple of the False God,84432
