names,edhrec
Apothecary Initiate,60
Armored Ascension,1080
Ballynock Cohort,114
Barrenton Medic,24
Boon Reflection,1168
Goldenglow Moth,151
Greater Auramancy,2948
Inquisitor's Snare,21
Kithkin Rabble,87
Kithkin Shielddare,42
Last Breath,19
Mass Calcify,3846
Mine Excavation,294
Mistmeadow Skulk,166
Niveous Wisps,923
Order of Whiteclay,393
Pale Wayfarer,13
Prison Term,1797
Resplendent Mentor,190
Rune-Cervin Rider,12
Runed Halo,303
Safehold Sentry,3
Spectral Procession,1082
Strip Bare,9
Twilight Shepherd,1113
Windbrisk Raptor,473
Woeleecher,3
Advice from the Fae,122
Biting Tether,60
Briarberry Cohort,61
Cerulean Wisps,554
Consign to Dream,81
Counterbore,19
Cursecatcher,866
Deepchannel Mentor,1209
Drowner Initiate,134
Faerie Swarm,430
Flow of Ideas,717
Ghastly Discovery,39
Isleback Spawn,245
Kinscaer Harpoonist,7
Knacksaw Clique,854
Leech Bonder,355
Merrow Wavebreakers,28
Parapet Watchers,5
Prismwake Merrow,17
Puca's Mischief,1056
Put Away,88
River Kelpie,2904
Savor the Moment,739
Sinking Feeling,16
Spell Syphon,206
Thought Reflection,2236
Whimwader,3
Aphotic Wisps,485
Ashenmoor Cohort,4
Beseech the Queen,7232
Blowfly Infestation,2493
Cinderbones,159
Cinderhaze Wretch,446
Corrosive Mentor,1188
Corrupt,1037
Crowd of Cinders,26
Disturbing Plot,55
Dusk Urchins,1331
Faerie Macabre,934
Gloomlance,4
Hollowborn Barghest,177
Hollowsage,95
Incremental Blight,1568
Loch Korrigan,2
Midnight Banshee,2196
Plague of Vermin,797
Polluted Bonds,2069
Puppeteer Clique,6918
Rite of Consumption,417
Sickle Ripper,149
Smolder Initiate,37
Splitting Headache,17
Torture,104
Wound Reflection,2376
Blistering Dieflyn,4
Bloodmark Mentor,1462
Bloodshed Fever,26
Boggart Arsonists,17
Burn Trail,19
Cragganwick Cremator,22
Crimson Wisps,3244
Deep-Slumber Titan,53
Elemental Mastery,761
Ember Gale,22
Flame Javelin,281
Furystoke Giant,627
Horde of Boggarts,522
Inescapable Brute,19
Intimidator Initiate,97
Jaws of Stone,92
Knollspine Dragon,1830
Knollspine Invocation,45
Mudbrawler Cohort,68
Power of Fire,74
Puncture Bolt,85
Pyre Charger,22
Rage Reflection,865
Rustrazor Butcher,84
Slinking Giant,7
Smash to Smithereens,1293
Wild Swing,127
Crabapple Cohort,33
Devoted Druid,6138
Dramatic Entrance,103
Drove of Elves,1681
Farhaven Elf,16345
Flourishing Defenses,1215
Foxfire Oak,4
Gleeful Sabotage,336
Gloomwidow,87
Gloomwidow's Feast,125
Howl of the Night Pack,1307
Hungry Spriggan,27
Juvenile Gloomwidow,386
Mana Reflection,4505
Mossbridge Troll,643
Nurturer Initiate,51
Presence of Gond,1312
Prismatic Omen,3257
Raking Canopy,202
Roughshod Mentor,104
Spawnwrithe,1155
Toil to Renown,49
Tower Above,113
Viridescent Wisps,255
Wildslayer Elves,41
Witherscale Wurm,135
Woodfall Primus,6539
Aethertow,39
Augury Adept,488
Barrenton Cragtreads,4
Curse of Chains,73
Enchanted Evening,1580
Glamer Spinners,35
Godhead of Awe,338
Mirrorweave,711
Mistmeadow Witch,3040
Plumeveil,455
Puresight Merrow,75
Repel Intruders,65
Silkbind Faerie,22
Somnomancer,11
Steel of the Godhead,5546
Swans of Bryn Argoll,410
Thistledown Duo,16
Thistledown Liege,339
Thoughtweft Gambit,51
Turn to Mist,953
Worldpurge,236
Zealous Guardian,24
Cemetery Puca,361
Dire Undercurrents,1309
Dream Salvage,282
